,name,20/7/2023 price,t+90 Day price,pct change
0,ADANIENT,2441.4749,2414.8,1.1046422063939034
1,ADANIPORTS,737.40704,737.8,-0.0532610463540123
2,APOLLOHOSP,5162.115,5162.05,0.0012591896630137216
3,ASIANPAINT,3326.7893,3318.7,0.2437490583662306
4,AXISBANK,976.059,974.85,0.12401907985843426
5,BAJAJ-AUTO,4663.6597,4662.0,0.03560060060060397
6,BAJAJFINSV,1523.8195,1521.05,0.18207816968542173
7,BAJFINANCE,7270.728,7248.8,0.302505242246991
8,BHARTIARTL,829.71295,831.2,-0.17890399422522466
9,BPCL,372.71188,372.45,0.07031279366358416
10,BRITANNIA,5056.1396,5056.45,-0.00613869414311207
11,CIPLA,1012.9111,1011.15,0.17416802650448063
12,COALINDIA,227.2668,227.25,0.00739273927392267
13,DIVISLAB,3573.9048,3566.2,0.21605069822219666
14,DRREDDY,4912.423,4901.2,0.22898473843140368
15,EICHERMOT,3552.38,3562.1,-0.27287274360629404
16,GRASIM,1769.3655,1769.1,0.01500763099882437
17,HCLTECH,1167.211,1168.65,-0.12313353014162308
18,HDFC,2657.3677,2658.55,-0.044471610464365756
19,HDFCBANK,1610.6666,1607.5,0.19698911353032764
20,HDFCLIFE,643.8163,643.7,0.018067422712429723
21,HEROMOTOCO,2794.282,2800.7,-0.2291569964651575
22,HINDALCO,429.0568,428.95,0.02489800676069964
23,HINDUNILVR,2680.8123,2676.1,0.17608833750607755
24,ICICIBANK,926.4529,925.55,0.09755280643941928
25,INDUSINDBK,1301.8055,1298.4,0.26228434996918104
26,INFY,1303.0366,1303.4,-0.027880926806827015
27,ITC,451.86023,452.85,-0.21856464613006985
28,JSWSTEEL,771.61285,773.15,-0.1988165297807666
29,KOTAKBANK,1847.1595,1844.0,0.17133947939262364
30,LT,2380.76,2382.0,-0.052057094878244406
31,MARUTI,9501.587,9492.1,0.09994627110965087
32,M_M,1397.0828,1396.45,0.04531490565361173
33,NESTLEIND,23010.379,22955.55,0.23884855732056756
34,NTPC,187.91376,187.5,0.22067199999999806
35,ONGC,156.82765,157.25,-0.26858505564387564
36,POWERGRID,248.23297,248.75,-0.2078512562814092
37,RELIANCE,2552.582,2557.1,-0.17668452543897498
38,SBILIFE,1293.9965,1295.35,-0.10448913421082642
39,SBIN,565.70667,567.4,-0.29843672893901063
40,SUNPHARMA,991.14087,991.95,-0.08156963556631842
41,TATACONSUM,859.29706,858.9,0.046228897426942646
42,TATAMOTORS,1395.4204,1396.45,-0.07372981488775632
43,TATASTEEL,114.223015,114.25,-0.0236192560175022
44,TCS,3223.4597,3227.7,-0.1313721845276802
45,TECHM,1109.495,1107.35,0.19370569377342142
46,TITAN,2973.914,2974.0,-0.0028917283120304424
47,ULTRACEMCO,8261.635,8243.45,0.22059938496623974
48,UPL,685.5683,683.45,0.3099422049893886
49,WIPRO,382.4655,382.5,-0.009019607843132023
