,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2435.00,2435.00,2390.00,2401.40,2419.00,2414.80,2413.71,4190.00,1017.45,2479711,5985305541.70,94144
1,19-Jun-2023,EQ,2504.00,2521.60,2350.00,2509.60,2411.45,2401.40,2414.19,4190.00,1017.45,11475674,27704469849.00,240481
2,16-Jun-2023,EQ,2499.20,2526.90,2487.40,2485.65,2504.90,2509.60,2509.05,4190.00,1017.45,7999982,20072330922.65,119702
3,15-Jun-2023,EQ,2469.00,2527.00,2462.90,2457.15,2488.00,2485.65,2497.56,4190.00,1017.45,3744029,9350929369.80,128109
4,14-Jun-2023,EQ,2469.90,2484.80,2452.35,2462.55,2457.00,2457.15,2466.03,4190.00,1017.45,1364403,3364663380.20,52469
5,13-Jun-2023,EQ,2499.00,2505.00,2442.20,2484.80,2464.05,2462.55,2477.69,4190.00,1017.45,2210990,5478147126.60,84140
6,12-Jun-2023,EQ,2460.00,2505.00,2432.60,2451.15,2492.40,2484.80,2475.91,4190.00,1017.45,2804898,6944666332.20,109217
7,09-Jun-2023,EQ,2447.95,2458.90,2428.00,2429.15,2454.00,2451.15,2446.22,4190.00,1017.45,1948506,4766477363.00,70948
8,08-Jun-2023,EQ,2450.00,2475.90,2369.05,2439.55,2436.20,2429.15,2432.48,4190.00,1017.45,3781621,9198736069.95,143560
9,07-Jun-2023,EQ,2453.00,2466.95,2435.00,2433.65,2440.50,2439.55,2449.14,4190.00,1017.45,2522516,6178005370.60,85030
10,06-Jun-2023,EQ,2475.00,2506.95,2425.90,2433.95,2430.05,2433.65,2446.03,4190.00,1017.45,6473608,15834607233.95,142108
11,05-Jun-2023,EQ,2463.20,2514.00,2428.00,2445.05,2440.00,2433.95,2465.50,4190.00,1017.45,2956768,7289898971.70,124934
12,02-Jun-2023,EQ,2535.00,2538.90,2425.00,2492.15,2440.00,2445.05,2459.27,4190.00,1017.45,5543791,13633668219.65,141696
13,01-Jun-2023,EQ,2499.90,2560.00,2485.30,2493.35,2496.00,2492.15,2507.49,4190.00,1017.45,1704946,4275137755.20,72211
14,31-May-2023,EQ,2482.00,2573.00,2428.00,2496.45,2494.00,2493.35,2506.49,4190.00,1017.45,4268439,10698799708.45,181970
15,30-May-2023,EQ,2529.30,2554.15,2475.15,2534.05,2497.00,2496.45,2522.15,4190.00,1017.45,1736953,4380850868.55,80071
16,29-May-2023,EQ,2570.00,2583.50,2523.00,2544.35,2533.00,2534.05,2549.41,4190.00,1017.45,2779432,7085912286.85,113984
17,26-May-2023,EQ,2565.00,2599.95,2535.15,2537.45,2540.00,2544.35,2559.29,4190.00,1017.45,3963515,10143788505.15,170861
18,25-May-2023,EQ,2440.00,2558.80,2386.65,2475.60,2548.00,2537.45,2470.91,4190.00,1017.45,8434009,20839672856.80,345309
19,24-May-2023,EQ,2709.00,2750.00,2425.35,2633.70,2475.00,2475.60,2554.26,4190.00,1017.45,23465761,59937752898.10,834165
20,23-May-2023,EQ,2410.90,2759.45,2400.00,2326.10,2639.95,2633.70,2636.02,4190.00,1017.45,28432888,74949700740.80,873248
21,22-May-2023,EQ,2010.00,2347.00,1983.40,1956.05,2338.55,2326.10,2212.95,4190.00,1017.45,26311368,58225795208.90,779253
22,19-May-2023,EQ,1888.00,1983.00,1872.10,1890.00,1955.00,1956.05,1933.65,4190.00,1017.45,7541150,14581971986.60,249199
23,18-May-2023,EQ,1910.05,1924.00,1877.20,1899.50,1883.00,1890.00,1900.73,4190.00,1017.45,2437396,4632836955.00,73391
24,17-May-2023,EQ,1900.00,1919.95,1857.75,1889.15,1897.05,1899.50,1889.86,4190.00,1017.45,3632797,6865480354.60,121068
25,16-May-2023,EQ,1927.00,1935.00,1881.00,1916.05,1898.00,1889.15,1907.38,4190.00,1017.45,3058799,5834282250.60,93909
26,15-May-2023,EQ,1959.90,1964.70,1880.00,1964.70,1910.00,1916.05,1910.98,4190.00,1017.45,4836782,9242986976.85,166552
27,12-May-2023,EQ,2009.00,2010.00,1946.55,1984.65,1965.00,1964.70,1972.68,4190.00,1017.45,3816201,7528132764.95,124303
28,11-May-2023,EQ,1925.00,2013.75,1910.00,1892.15,1988.00,1984.65,1973.81,4190.00,1017.45,8835941,17440495295.55,291184
29,10-May-2023,EQ,1899.00,1914.90,1883.95,1896.10,1891.00,1892.15,1900.91,4190.00,1017.45,1970906,3746524065.50,71745
30,09-May-2023,EQ,1900.00,1930.00,1889.10,1887.50,1895.40,1896.10,1910.03,4190.00,1017.45,2700563,5158155691.85,88427
31,08-May-2023,EQ,1920.30,1926.90,1876.00,1920.30,1892.00,1887.50,1893.79,4190.00,1017.45,2835197,5369263788.00,101164
