,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,738.0,742.0,730.2,735.65,738.4,737.8,734.34,987.85,395.1,6753358,4959251295.35,102342
1,19-Jun-2023,EQ,749.9,749.9,731.0,747.4,736.0,735.65,738.34,987.85,395.1,5256363,3880967015.50,75603
2,16-Jun-2023,EQ,741.0,749.7,740.8,739.5,744.55,747.4,744.54,987.85,395.1,6800269,5063082262.65,77204
3,15-Jun-2023,EQ,737.3,748.7,737.0,739.35,737.05,739.5,742.55,987.85,395.1,6448934,4788685950.75,85893
4,14-Jun-2023,EQ,736.35,742.75,735.8,737.85,738.85,739.35,739.35,987.85,395.1,3900945,2884158036.15,63517
5,13-Jun-2023,EQ,741.0,742.4,735.05,742.1,736.3,737.85,738.92,987.85,395.1,3636359,2686977618.65,62181
6,12-Jun-2023,EQ,735.2,746.55,733.55,734.95,741.8,742.1,742.71,987.85,395.1,4571836,3395551908.05,60465
7,09-Jun-2023,EQ,738.0,742.0,733.0,736.4,734.0,734.95,737.13,987.85,395.1,1335172,984194827.00,28748
8,08-Jun-2023,EQ,744.95,749.0,733.0,743.75,738.5,736.4,740.78,987.85,395.1,2141709,1586528352.70,43163
9,07-Jun-2023,EQ,750.0,751.0,741.95,745.4,743.45,743.75,746.07,987.85,395.1,2129238,1588565483.55,47226
10,06-Jun-2023,EQ,742.9,747.0,740.0,738.8,744.9,745.4,744.6,987.85,395.1,5492469,4089692296.55,66991
11,05-Jun-2023,EQ,738.0,744.0,735.0,736.6,737.7,738.8,740.54,987.85,395.1,5166097,3825705777.05,65724
12,02-Jun-2023,EQ,738.0,744.0,734.0,732.05,735.0,736.6,737.9,987.85,395.1,5554473,4098642831.35,80412
13,01-Jun-2023,EQ,730.5,744.95,729.0,738.85,733.0,732.05,736.11,987.85,395.1,3771760,2776423260.05,66793
14,31-May-2023,EQ,736.0,749.0,721.3,734.05,740.0,738.85,736.74,987.85,395.1,13649365,10056031034.90,153368
15,30-May-2023,EQ,740.0,742.35,727.65,737.5,734.0,734.05,734.41,987.85,395.1,4785799,3514743227.30,80819
16,29-May-2023,EQ,731.0,740.0,728.05,726.85,737.05,737.5,734.06,987.85,395.1,4302323,3158183780.55,77787
17,26-May-2023,EQ,729.1,730.35,720.6,724.5,726.0,726.85,725.99,987.85,395.1,4507617,3272506893.75,67608
18,25-May-2023,EQ,717.0,727.0,705.6,718.25,725.7,724.5,719.19,987.85,395.1,7458008,5363721347.65,111008
19,24-May-2023,EQ,739.0,739.0,708.75,734.05,717.8,718.25,723.11,987.85,395.1,12809164,9262417057.00,217870
20,23-May-2023,EQ,744.3,785.65,730.0,729.7,735.0,734.05,756.58,987.85,395.1,39497528,29883221401.30,569760
21,22-May-2023,EQ,698.9,753.4,693.15,688.1,732.2,729.7,732.52,987.85,395.1,30204070,22125072606.30,470198
22,19-May-2023,EQ,664.0,694.15,659.5,664.95,691.0,688.1,677.74,987.85,395.1,6340270,4297049568.20,105193
23,18-May-2023,EQ,689.7,689.7,661.3,684.6,664.55,664.95,672.36,987.85,395.1,4405410,2962035063.55,77856
24,17-May-2023,EQ,687.25,691.95,682.55,687.0,684.6,684.6,686.36,987.85,395.1,2295396,1575462995.20,43317
25,16-May-2023,EQ,694.05,698.8,685.3,694.05,687.5,687.0,692.58,987.85,395.1,1403759,972211248.60,32405
26,15-May-2023,EQ,699.8,701.7,687.5,700.0,693.0,694.05,695.0,987.85,395.1,2616737,1818627630.60,54830
27,12-May-2023,EQ,712.0,712.0,695.05,708.8,699.9,700.0,701.11,987.85,395.1,4025355,2822228720.35,64776
28,11-May-2023,EQ,694.0,714.0,692.25,691.0,708.0,708.8,706.21,987.85,395.1,5979387,4222702381.95,125175
29,10-May-2023,EQ,692.0,692.4,685.55,690.5,690.5,691.0,689.52,987.85,395.1,1794579,1237395570.60,39257
30,09-May-2023,EQ,685.1,695.9,684.5,685.1,689.45,690.5,691.81,987.85,395.1,4029312,2787523887.75,64519
31,08-May-2023,EQ,684.7,690.65,678.6,683.9,685.9,685.1,684.86,987.85,395.1,3671007,2514114384.20,58366
32,05-May-2023,EQ,682.8,693.6,677.5,679.75,683.1,683.9,684.47,987.85,395.1,5193692,3554950230.95,65110
33,04-May-2023,EQ,670.0,682.0,667.7,669.65,680.15,679.75,674.08,987.85,395.1,5124811,3454517851.20,87207
34,03-May-2023,EQ,675.0,684.85,656.75,681.5,668.0,669.65,673.54,987.85,395.1,5645727,3802602342.35,82651
35,02-May-2023,EQ,683.8,685.9,672.6,681.3,681.0,681.5,679.76,987.85,395.1,5563089,3781577392.65,99001
36,28-Apr-2023,EQ,666.2,683.0,662.15,659.75,681.0,681.3,675.79,987.85,395.1,6162262,4164399869.45,101274
37,27-Apr-2023,EQ,667.9,668.2,657.2,664.7,659.55,659.75,661.6,987.85,395.1,3197568,2115515512.55,60707
38,26-Apr-2023,EQ,671.0,671.6,662.1,671.45,664.2,664.7,665.91,987.85,395.1,3373385,2246355325.65,58117
39,25-Apr-2023,EQ,675.0,682.5,668.85,671.3,670.8,671.45,675.95,987.85,395.1,4814190,3254149313.35,75479
40,24-Apr-2023,EQ,665.1,672.75,656.0,661.6,670.0,671.3,665.29,987.85,395.1,3357178,2233503712.30,67207
41,21-Apr-2023,EQ,668.0,670.6,658.65,666.1,661.0,661.6,663.01,987.85,395.1,1982614,1314495344.20,37088
42,20-Apr-2023,EQ,663.0,678.5,661.2,658.4,668.0,666.1,669.29,987.85,395.1,5009410,3352732718.15,85777
43,19-Apr-2023,EQ,659.0,665.0,654.9,658.55,656.65,658.4,660.05,987.85,395.1,2683546,1771268573.90,43183
44,18-Apr-2023,EQ,668.0,671.4,651.05,664.7,657.0,658.55,661.46,987.85,395.1,2964854,1961127938.15,48428
45,17-Apr-2023,EQ,663.0,666.7,658.0,661.65,664.75,664.7,663.04,987.85,395.1,2731225,1810907709.20,46245
46,13-Apr-2023,EQ,659.7,664.9,653.4,657.75,661.1,661.65,659.14,987.85,395.1,3306659,2179552856.25,53943
47,12-Apr-2023,EQ,656.0,662.0,650.0,653.95,657.6,657.75,656.19,987.85,395.1,4271203,2802731244.85,62552
48,11-Apr-2023,EQ,655.0,660.25,647.4,652.0,654.5,653.95,653.76,987.85,395.1,3798770,2483466684.15,61067
49,10-Apr-2023,EQ,646.0,657.0,643.0,641.6,652.25,652.0,651.37,987.85,395.1,4254629,2771358299.10,65451
50,06-Apr-2023,EQ,637.0,651.35,631.55,636.75,641.65,641.6,642.85,987.85,395.1,7094042,4560371616.55,104969
51,05-Apr-2023,EQ,626.9,639.8,625.05,627.8,635.95,636.75,633.92,987.85,395.1,6622367,4198045123.60,102619
52,03-Apr-2023,EQ,638.55,639.0,622.15,631.9,629.15,627.8,626.98,987.85,395.1,6072184,3807119230.45,83672
53,31-Mar-2023,EQ,643.9,655.4,627.35,636.65,631.95,631.9,638.68,987.85,395.1,9466910,6046330917.50,134957
54,29-Mar-2023,EQ,593.35,642.55,590.1,593.4,636.05,636.65,621.97,987.85,395.1,17057169,10609060670.35,213230
55,28-Mar-2023,EQ,622.6,627.8,571.55,629.1,596.5,593.4,594.06,987.85,395.1,19860622,11798499775.05,255631
56,27-Mar-2023,EQ,638.0,644.85,625.5,638.0,626.85,629.1,632.85,987.85,395.1,5621870,3557807063.85,84603
57,24-Mar-2023,EQ,658.2,660.65,633.95,654.95,637.35,638.0,648.45,987.85,395.1,6072701,3937843869.50,100225
58,23-Mar-2023,EQ,655.0,667.35,652.05,657.15,653.5,654.95,659.65,987.85,395.1,4491324,2962684412.30,79446
59,22-Mar-2023,EQ,669.9,671.9,654.15,664.8,655.85,657.15,662.03,987.85,395.1,4457720,2951154355.60,78562
60,21-Mar-2023,EQ,671.5,674.4,661.2,666.75,665.5,664.8,667.25,987.85,395.1,5011027,3343588448.65,81539
61,20-Mar-2023,EQ,671.0,677.75,659.3,680.35,667.0,666.75,666.12,987.85,395.1,5250369,3497372890.40,94806
62,17-Mar-2023,EQ,688.5,691.75,671.3,679.6,681.0,680.35,678.95,987.85,395.1,7625895,5177623559.80,108111
63,16-Mar-2023,EQ,686.9,692.35,675.15,679.35,679.9,679.6,681.8,987.85,395.1,12992236,8858116734.10,164713
64,15-Mar-2023,EQ,661.55,687.85,657.25,654.5,681.95,679.35,673.55,987.85,395.1,15514873,10450083211.30,226984
65,14-Mar-2023,EQ,681.2,684.55,638.6,681.2,653.5,654.5,658.36,987.85,395.1,18147337,11947420019.50,253304
66,13-Mar-2023,EQ,703.7,710.55,677.15,697.8,679.0,681.2,692.33,987.85,395.1,9693337,6710958455.30,152319
67,10-Mar-2023,EQ,684.8,701.75,680.65,697.25,699.0,697.8,693.22,987.85,395.1,12138642,8414705007.30,177666
68,09-Mar-2023,EQ,713.9,716.6,686.0,712.05,696.1,697.25,699.41,987.85,395.1,17041388,11918998798.70,291915
69,08-Mar-2023,EQ,700.0,715.0,682.0,690.75,711.9,712.05,701.66,987.85,395.1,20232587,14196424034.35,326843
70,06-Mar-2023,EQ,690.0,722.75,681.1,684.65,688.0,690.75,701.08,987.85,395.1,37435406,26245289711.90,584481
71,03-Mar-2023,EQ,663.0,704.0,650.55,622.9,683.7,684.65,673.52,987.85,395.1,42832968,28848901481.90,530895
72,02-Mar-2023,EQ,603.95,625.0,585.6,602.1,620.5,622.9,610.83,987.85,395.1,21080489,12876661541.30,285079
73,01-Mar-2023,EQ,598.0,616.0,594.6,592.45,601.7,602.1,605.56,987.85,395.1,18661166,11300528142.95,265676
74,28-Feb-2023,EQ,563.0,614.45,551.95,562.0,590.7,592.45,587.83,987.85,395.1,25360275,14907510722.95,337506
75,27-Feb-2023,EQ,559.0,571.95,553.1,558.9,562.3,562.0,561.8,987.85,395.1,8484384,4766492331.95,129400
76,24-Feb-2023,EQ,557.0,565.9,543.2,551.85,559.8,558.9,554.34,987.85,395.1,8631548,4784824964.15,128775
77,23-Feb-2023,EQ,539.5,558.15,533.65,547.1,553.6,551.85,547.75,987.85,395.1,10711597,5867321506.50,158032
