,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,5174.95,5197.90,5101.10,5145.00,5161.00,5162.05,5159.43,5294.00,3635.20,334154,1724045065.30,30983
1,19-Jun-2023,EQ,5220.00,5261.95,5135.30,5200.05,5150.00,5145.00,5188.33,5294.00,3635.20,327818,1700829067.60,25044
2,16-Jun-2023,EQ,5218.75,5294.00,5163.05,5218.75,5206.05,5200.05,5208.67,5294.00,3556.10,797312,4152938160.10,62671
3,15-Jun-2023,EQ,5039.95,5259.80,5018.00,5009.00,5207.00,5218.75,5146.07,5259.80,3556.10,1712253,8811370319.75,108108
4,14-Jun-2023,EQ,4965.00,5022.55,4951.05,4951.05,5009.00,5009.00,4995.49,5040.00,3556.10,360156,1799156292.10,33097
5,13-Jun-2023,EQ,4925.00,4990.00,4916.75,4924.75,4953.55,4951.05,4955.08,5040.00,3556.10,308751,1529884816.15,34274
6,12-Jun-2023,EQ,4949.00,4995.00,4915.05,4926.70,4935.00,4924.75,4947.48,5040.00,3556.10,343835,1701115187.50,38989
7,09-Jun-2023,EQ,4926.65,4965.85,4907.05,4926.65,4920.00,4926.70,4934.88,5040.00,3525.00,249400,1230759762.95,29236
8,08-Jun-2023,EQ,5020.00,5028.55,4920.00,5026.45,4930.10,4926.65,4948.78,5040.00,3525.00,411502,2036432063.85,38507
9,07-Jun-2023,EQ,4964.45,5040.00,4950.05,4940.10,5024.00,5026.45,5016.86,5040.00,3525.00,552840,2773519655.10,47472
10,06-Jun-2023,EQ,4969.00,4969.45,4893.50,4950.20,4946.00,4940.10,4927.74,5009.20,3525.00,382992,1887283447.60,39327
11,05-Jun-2023,EQ,4967.95,5009.20,4934.05,4967.30,4950.30,4950.20,4973.58,5009.20,3525.00,698352,3473306064.60,60987
12,02-Jun-2023,EQ,4839.65,5002.20,4806.00,4814.25,4960.00,4967.30,4922.37,5002.20,3525.00,1326161,6527859385.95,93360
13,01-Jun-2023,EQ,4689.00,4847.00,4686.00,4621.95,4823.00,4814.25,4797.84,4901.95,3525.00,1692479,8120244772.30,144942
14,31-May-2023,EQ,4600.00,4731.00,4525.00,4599.15,4618.00,4621.95,4637.99,4901.95,3525.00,1655511,7678246894.35,140208
15,30-May-2023,EQ,4672.00,4795.00,4535.45,4640.45,4600.00,4599.15,4671.33,4901.95,3525.00,1298380,6065162904.65,90653
16,29-May-2023,EQ,4635.00,4665.00,4580.65,4609.90,4652.00,4640.45,4620.52,4901.95,3525.00,332364,1535695012.05,27306
17,26-May-2023,EQ,4590.00,4620.00,4551.25,4568.15,4600.00,4609.90,4602.11,4901.95,3361.55,289579,1332673780.90,19530
18,25-May-2023,EQ,4569.00,4597.95,4530.95,4536.45,4583.00,4568.15,4558.60,4901.95,3361.55,202680,923936396.65,24187
19,24-May-2023,EQ,4540.95,4607.00,4523.35,4550.40,4540.00,4536.45,4565.46,4901.95,3361.55,225979,1031698965.45,23831
20,23-May-2023,EQ,4605.00,4617.05,4533.00,4605.30,4541.00,4550.40,4570.43,4901.95,3361.55,433331,1980509514.95,35220
21,22-May-2023,EQ,4459.80,4625.00,4451.95,4447.15,4605.00,4605.30,4554.58,4901.95,3361.55,361967,1648609230.15,29486
22,19-May-2023,EQ,4455.00,4465.00,4410.25,4442.00,4440.00,4447.15,4438.09,4901.95,3361.55,177405,787338965.70,16161
23,18-May-2023,EQ,4510.00,4529.90,4433.00,4482.15,4443.05,4442.00,4478.95,4901.95,3361.55,167057,748239872.85,15125
24,17-May-2023,EQ,4580.05,4599.60,4458.00,4555.10,4476.00,4482.15,4499.71,4901.95,3361.55,266803,1200535833.30,33409
25,16-May-2023,EQ,4625.00,4642.25,4541.00,4625.85,4555.70,4555.10,4592.96,4901.95,3361.55,310725,1427148801.15,29868
26,15-May-2023,EQ,4609.95,4689.00,4591.10,4605.25,4622.00,4625.85,4652.61,4901.95,3361.55,401847,1869638615.35,37584
