,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,3315.00,3326.85,3277.10,3309.70,3312.70,3318.70,3300.28,3582.90,2588.35,866290,2859001340.75,78457
1,19-Jun-2023,EQ,3318.85,3344.95,3303.25,3316.85,3311.20,3309.70,3318.54,3582.90,2588.35,516915,1715404356.00,45543
2,16-Jun-2023,EQ,3291.75,3322.00,3286.55,3294.35,3318.15,3316.85,3307.13,3582.90,2560.00,984671,3256430329.95,62695
3,15-Jun-2023,EQ,3276.00,3304.00,3273.35,3270.20,3291.00,3294.35,3291.01,3582.90,2560.00,806994,2655828012.60,92700
4,14-Jun-2023,EQ,3265.00,3289.90,3253.00,3262.85,3270.75,3270.20,3270.11,3582.90,2560.00,741615,2425163503.10,81023
5,13-Jun-2023,EQ,3210.00,3272.00,3205.15,3194.75,3256.10,3262.85,3256.54,3582.90,2560.00,1598821,5206621879.85,107400
6,12-Jun-2023,EQ,3185.20,3202.35,3151.15,3180.55,3197.40,3194.75,3180.24,3582.90,2560.00,1029156,3272962229.95,49670
7,09-Jun-2023,EQ,3209.80,3238.90,3168.55,3212.25,3178.90,3180.55,3198.83,3582.90,2560.00,1239045,3963489132.60,67292
8,08-Jun-2023,EQ,3220.00,3247.00,3193.00,3224.80,3215.80,3212.25,3216.20,3582.90,2560.00,561161,1804806404.20,51824
9,07-Jun-2023,EQ,3217.00,3229.25,3206.25,3212.75,3227.00,3224.80,3220.53,3582.90,2560.00,470038,1513770533.85,59601
10,06-Jun-2023,EQ,3207.75,3238.90,3195.00,3199.75,3213.00,3212.75,3216.85,3582.90,2560.00,577698,1858367579.40,64101
11,05-Jun-2023,EQ,3239.95,3239.95,3195.00,3237.25,3201.80,3199.75,3208.79,3582.90,2560.00,492565,1580536275.70,48058
12,02-Jun-2023,EQ,3239.40,3249.95,3219.00,3240.70,3232.00,3237.25,3237.82,3582.90,2560.00,781973,2531888968.15,66607
13,01-Jun-2023,EQ,3235.35,3249.90,3207.00,3192.95,3240.00,3240.70,3236.48,3582.90,2560.00,1104861,3575856348.15,93247
14,31-May-2023,EQ,3151.95,3219.35,3136.45,3144.40,3195.00,3192.95,3190.32,3582.90,2560.00,2349066,7494260796.65,106339
15,30-May-2023,EQ,3146.90,3155.00,3127.55,3137.40,3141.45,3144.40,3143.77,3582.90,2560.00,506026,1590827208.40,48386
16,29-May-2023,EQ,3147.20,3155.00,3116.05,3128.40,3139.00,3137.40,3129.99,3582.90,2560.00,535712,1676774540.05,43842
17,26-May-2023,EQ,3123.00,3136.95,3111.75,3123.55,3127.00,3128.40,3126.59,3582.90,2560.00,568249,1776683403.35,34782
