,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,965.95,977.0,958.55,965.65,976.0,974.85,967.92,989.7,618.25,7596593,7352863737.85,139616
1,19-Jun-2023,EQ,983.85,986.0,961.0,981.55,966.7,965.65,970.62,989.7,618.25,11025846,10701929039.25,231527
2,16-Jun-2023,EQ,982.8,985.45,977.2,977.15,982.0,981.55,980.99,989.7,618.25,8860900,8692481894.50,176892
3,15-Jun-2023,EQ,988.35,989.0,972.2,977.7,978.55,977.15,976.92,989.7,618.25,15978311,15609586954.25,199937
4,14-Jun-2023,EQ,986.0,988.2,976.0,985.85,977.3,977.7,980.71,989.7,618.25,8644423,8477633173.15,134898
5,13-Jun-2023,EQ,974.3,989.7,974.3,974.2,986.95,985.85,985.65,989.7,618.25,15233785,15015135976.55,171656
6,12-Jun-2023,EQ,973.0,977.9,968.6,974.75,974.9,974.2,974.53,981.7,618.25,7465375,7275268091.35,128054
7,09-Jun-2023,EQ,967.0,981.7,963.3,962.1,974.6,974.75,974.99,981.7,618.25,12947464,12623639248.95,170187
8,08-Jun-2023,EQ,973.05,974.85,959.9,976.75,961.7,962.1,966.83,981.25,618.25,10209982,9871364694.45,155125
9,07-Jun-2023,EQ,972.95,981.25,968.1,968.2,975.0,976.75,976.67,981.25,618.25,15795824,15427253807.75,193021
10,06-Jun-2023,EQ,951.1,970.75,951.1,950.85,966.0,968.2,963.32,970.75,618.25,14457988,13927667088.75,203343
11,05-Jun-2023,EQ,927.6,953.9,927.6,926.1,951.0,950.85,947.67,970.0,618.25,14520005,13760127782.30,238743
12,02-Jun-2023,EQ,922.65,930.5,920.25,919.7,923.7,926.1,925.22,970.0,618.25,11616991,10748318700.85,155663
13,01-Jun-2023,EQ,922.0,930.95,916.05,914.85,921.5,919.7,923.91,970.0,618.25,11817533,10918348216.70,167684
