,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,4585.00,4670.00,4569.05,4597.35,4666.00,4662.00,4640.84,4829.90,3461.25,453523,2104728186.65,29054
1,19-Jun-2023,EQ,4645.00,4655.00,4586.65,4641.95,4599.00,4597.35,4610.19,4829.90,3461.25,193043,889964144.50,19526
2,16-Jun-2023,EQ,4695.00,4714.75,4620.00,4721.55,4638.00,4641.95,4647.28,4829.90,3461.25,658995,3062536799.55,49250
3,15-Jun-2023,EQ,4741.90,4764.65,4702.50,4730.20,4713.50,4721.55,4731.56,4829.90,3461.25,178304,843655327.85,17412
4,14-Jun-2023,EQ,4751.10,4768.45,4712.00,4755.95,4738.70,4730.20,4729.69,4829.90,3461.25,191238,904496445.05,17150
5,13-Jun-2023,EQ,4770.00,4795.00,4746.45,4769.65,4750.55,4755.95,4763.55,4829.90,3461.25,247078,1176968451.70,38389
6,12-Jun-2023,EQ,4749.95,4790.00,4733.35,4743.40,4790.00,4769.65,4762.11,4829.90,3461.25,137778,656113793.95,16055
7,09-Jun-2023,EQ,4800.65,4821.80,4735.00,4800.65,4740.00,4743.40,4774.43,4829.90,3461.25,208197,994022366.70,27262
8,08-Jun-2023,EQ,4800.85,4829.90,4776.80,4780.75,4810.60,4800.65,4802.65,4829.90,3461.25,295499,1419179736.00,23993
9,07-Jun-2023,EQ,4736.95,4787.90,4736.95,4726.25,4783.45,4780.75,4765.26,4787.90,3461.25,239491,1141235728.10,31941
10,06-Jun-2023,EQ,4717.50,4744.95,4710.05,4710.05,4735.00,4726.25,4725.23,4744.95,3461.25,353149,1668710177.80,30343
11,05-Jun-2023,EQ,4688.00,4716.95,4669.00,4669.10,4711.20,4710.05,4700.21,4716.95,3461.25,234925,1104195685.15,31505
12,02-Jun-2023,EQ,4674.20,4707.00,4647.25,4643.60,4677.00,4669.10,4676.25,4707.00,3461.25,606833,2837702067.40,64239
13,01-Jun-2023,EQ,4587.00,4669.80,4567.25,4567.15,4641.50,4643.60,4644.52,4669.80,3461.25,698733,3245282336.00,50696
14,31-May-2023,EQ,4589.80,4628.95,4552.65,4591.90,4570.00,4567.15,4581.91,4664.55,3461.25,719613,3297201774.20,41557
15,30-May-2023,EQ,4615.10,4635.35,4586.70,4618.50,4598.90,4591.90,4606.34,4664.55,3461.25,229574,1057494766.95,24485
16,29-May-2023,EQ,4659.95,4663.15,4608.10,4615.95,4609.00,4618.50,4631.74,4664.55,3461.25,301343,1395741529.50,20766
17,26-May-2023,EQ,4612.35,4664.55,4605.30,4644.00,4615.00,4615.95,4634.39,4664.55,3461.25,484972,2247550072.40,18747
18,25-May-2023,EQ,4505.65,4651.40,4504.60,4517.60,4651.00,4644.00,4611.31,4651.40,3461.25,1016606,4687884954.05,66458
19,24-May-2023,EQ,4505.55,4552.20,4492.05,4498.10,4511.90,4517.60,4526.72,4628.85,3461.25,395343,1789608961.65,25523
20,23-May-2023,EQ,4534.95,4553.40,4491.10,4523.25,4492.60,4498.10,4513.31,4628.85,3461.25,239196,1079566188.90,22064
21,22-May-2023,EQ,4494.95,4566.65,4494.95,4483.20,4520.00,4523.25,4537.01,4628.85,3461.25,368479,1671792699.65,31099
22,19-May-2023,EQ,4534.00,4550.15,4464.05,4518.65,4488.05,4483.20,4487.04,4628.85,3461.25,398571,1788405316.35,33354
23,18-May-2023,EQ,4539.95,4572.45,4513.25,4529.35,4515.05,4518.65,4533.17,4628.85,3461.25,194233,880490405.85,14533
24,17-May-2023,EQ,4550.00,4600.00,4509.00,4538.35,4528.05,4529.35,4546.50,4628.85,3461.25,346510,1575408004.80,29632
25,16-May-2023,EQ,4583.50,4595.00,4530.00,4564.55,4536.00,4538.35,4571.03,4628.85,3461.25,321308,1468707955.95,21342
26,15-May-2023,EQ,4569.00,4608.50,4542.05,4538.90,4562.00,4564.55,4580.16,4628.85,3461.25,534604,2448573168.95,37902
27,12-May-2023,EQ,4545.00,4628.85,4517.00,4547.90,4523.50,4538.90,4578.98,4628.85,3461.25,620213,2839945532.25,48458
28,11-May-2023,EQ,4594.00,4594.00,4535.10,4555.95,4540.40,4547.90,4553.43,4594.00,3461.25,293197,1335050593.75,15890
29,10-May-2023,EQ,4555.00,4576.50,4529.35,4528.85,4551.10,4555.95,4554.25,4577.00,3461.25,229527,1045323816.05,30773
30,09-May-2023,EQ,4572.85,4577.00,4519.65,4549.25,4520.15,4528.85,4545.41,4577.00,3461.25,329083,1495816300.30,31651
31,08-May-2023,EQ,4475.00,4558.00,4465.20,4463.10,4542.00,4549.25,4535.41,4558.00,3461.25,365732,1658746345.60,34321
32,05-May-2023,EQ,4463.10,4504.30,4427.40,4457.70,4445.80,4463.10,4467.66,4506.50,3460.00,180033,804325714.40,19221
33,04-May-2023,EQ,4446.80,4470.00,4437.25,4447.85,4446.60,4457.70,4457.32,4506.50,3460.00,191019,851432871.20,18938
34,03-May-2023,EQ,4484.50,4489.95,4435.00,4498.00,4446.10,4447.85,4451.83,4506.50,3460.00,351550,1565040695.20,25742
35,02-May-2023,EQ,4439.95,4506.50,4424.05,4431.95,4485.00,4498.00,4483.11,4506.50,3460.00,522701,2343324355.10,47230
36,28-Apr-2023,EQ,4397.35,4439.70,4390.05,4408.20,4410.00,4431.95,4422.28,4439.70,3460.00,457064,2021265601.85,36853
37,27-Apr-2023,EQ,4300.00,4422.55,4294.00,4299.00,4412.00,4408.20,4366.33,4422.55,3460.00,667011,2912391384.35,50051
38,26-Apr-2023,EQ,4345.00,4362.65,4281.00,4342.55,4300.00,4299.00,4318.72,4375.00,3460.00,964051,4163462822.45,62654
39,25-Apr-2023,EQ,4340.00,4375.00,4316.10,4332.10,4342.00,4342.55,4346.66,4375.00,3460.00,367525,1597507787.65,34115
40,24-Apr-2023,EQ,4308.30,4354.95,4282.70,4308.30,4340.00,4332.10,4327.99,4354.95,3460.00,279716,1210608488.65,24773
41,21-Apr-2023,EQ,4323.00,4337.00,4283.05,4314.35,4301.10,4308.30,4308.37,4337.00,3460.00,237639,1023835851.05,25908
42,20-Apr-2023,EQ,4265.00,4330.50,4252.05,4265.80,4322.95,4314.35,4297.83,4330.50,3460.00,409146,1758441484.20,26574
43,19-Apr-2023,EQ,4184.10,4296.90,4180.05,4209.25,4265.00,4265.80,4265.51,4311.00,3460.00,406755,1735016902.45,52782
44,18-Apr-2023,EQ,4254.25,4266.10,4175.05,4254.35,4207.35,4209.25,4209.51,4311.00,3460.00,235015,989299003.20,33470
45,17-Apr-2023,EQ,4311.00,4311.00,4221.05,4288.35,4255.00,4254.35,4259.09,4311.00,3460.00,718984,3062216823.75,84208
46,13-Apr-2023,EQ,4270.00,4305.95,4260.05,4286.00,4290.00,4288.35,4283.80,4307.35,3460.00,371608,1591893136.50,47098
47,12-Apr-2023,EQ,4177.40,4307.35,4170.50,4177.40,4284.00,4286.00,4259.78,4307.35,3460.00,992142,4226305023.85,74037
48,11-Apr-2023,EQ,4080.00,4183.55,4070.55,4061.60,4171.00,4177.40,4139.96,4183.55,3460.00,685931,2839727843.10,52383
49,10-Apr-2023,EQ,4035.05,4072.00,4030.10,4033.60,4060.75,4061.60,4059.94,4131.75,3460.00,218632,887632282.65,31335
50,06-Apr-2023,EQ,4028.00,4065.00,4020.05,4023.15,4033.30,4033.60,4040.67,4131.75,3460.00,321813,1300339022.60,24819
51,05-Apr-2023,EQ,3994.00,4026.95,3960.05,3993.75,4020.05,4023.15,4003.32,4131.75,3460.00,584697,2340727176.25,46795
