,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1543.20,1543.20,1502.15,1541.95,1523.00,1521.05,1516.42,17845.00,1215.00,1943763,2947567250.95,87052
1,19-Jun-2023,EQ,1522.95,1553.30,1516.65,1508.60,1540.15,1541.95,1536.72,17845.00,1215.00,3446484,5296266831.95,113759
2,16-Jun-2023,EQ,1479.00,1515.00,1474.70,1474.70,1509.65,1508.60,1502.69,17845.00,1215.00,2090874,3141935619.85,76338
3,15-Jun-2023,EQ,1479.95,1482.00,1469.60,1480.40,1472.00,1474.70,1475.55,17845.00,1215.00,853566,1259480533.45,45900
4,14-Jun-2023,EQ,1490.00,1491.90,1469.00,1486.20,1481.00,1480.40,1477.19,17845.00,1215.00,763762,1128218960.70,35888
5,13-Jun-2023,EQ,1470.00,1492.00,1470.00,1466.00,1485.35,1486.20,1484.27,17845.00,1215.00,1205104,1788695130.75,53557
6,12-Jun-2023,EQ,1473.00,1473.00,1461.95,1466.50,1469.85,1466.00,1466.57,17845.00,1215.00,465964,683370263.15,29172
7,09-Jun-2023,EQ,1471.00,1476.00,1461.55,1467.40,1464.00,1466.50,1468.78,17845.00,1215.00,499104,733076175.85,31296
8,08-Jun-2023,EQ,1483.00,1485.00,1463.00,1480.90,1466.95,1467.40,1473.05,17845.00,1215.00,722068,1063641788.90,33321
9,07-Jun-2023,EQ,1483.00,1483.20,1472.00,1475.10,1480.20,1480.90,1478.16,17845.00,1215.00,837622,1238143448.65,51258
10,06-Jun-2023,EQ,1466.50,1478.90,1463.10,1458.90,1477.00,1475.10,1471.36,17845.00,1215.00,1472972,2167274499.30,61381
11,05-Jun-2023,EQ,1469.00,1469.50,1456.20,1457.25,1458.00,1458.90,1461.22,17845.00,1215.00,829929,1212711317.25,42375
12,02-Jun-2023,EQ,1460.00,1466.90,1448.40,1450.15,1455.50,1457.25,1457.06,17845.00,1215.00,1129346,1645524103.45,51903
