,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,7376.15,7376.15,7201.00,7386.20,7253.00,7248.80,7246.46,7778.00,5335.05,863826,6259676317.90,89567
1,19-Jun-2023,EQ,7211.95,7398.85,7202.25,7203.20,7368.00,7386.20,7323.26,7778.00,5335.05,1184590,8675066270.80,99108
2,16-Jun-2023,EQ,7170.00,7218.60,7131.00,7126.60,7200.00,7203.20,7188.80,7778.00,5220.00,1414858,10171133864.15,91368
3,15-Jun-2023,EQ,7095.00,7141.70,7056.00,7096.85,7123.00,7126.60,7105.32,7778.00,5220.00,437018,3105154890.80,44338
4,14-Jun-2023,EQ,7182.00,7182.00,7082.05,7166.75,7094.00,7096.85,7109.98,7778.00,5220.00,401520,2854799253.45,48638
5,13-Jun-2023,EQ,7100.00,7200.00,7100.00,7097.70,7164.00,7166.75,7162.07,7778.00,5220.00,800134,5730616878.60,84640
6,12-Jun-2023,EQ,7050.15,7110.00,7041.60,7037.15,7107.90,7097.70,7092.44,7778.00,5220.00,513255,3640231649.80,50861
7,09-Jun-2023,EQ,7012.75,7082.50,7012.05,7010.10,7030.00,7037.15,7045.86,7778.00,5220.00,447361,3152043740.75,51400
8,08-Jun-2023,EQ,7080.00,7111.00,6995.15,7079.95,7012.75,7010.10,7033.76,7778.00,5220.00,455360,3202892036.25,48153
9,07-Jun-2023,EQ,7120.00,7141.00,7062.00,7113.95,7084.95,7079.95,7089.78,7778.00,5220.00,534483,3789368329.50,58110
10,06-Jun-2023,EQ,7025.00,7132.00,7025.00,7043.20,7122.95,7113.95,7087.34,7778.00,5220.00,690586,4894416888.55,68541
11,05-Jun-2023,EQ,7070.00,7091.60,7013.05,7023.90,7043.05,7043.20,7043.38,7778.00,5220.00,577162,4065168904.90,48797
12,02-Jun-2023,EQ,7075.75,7100.00,7005.00,7040.50,7024.50,7023.90,7043.24,7778.00,5220.00,664209,4678185601.45,66630
13,01-Jun-2023,EQ,7024.00,7057.30,6951.10,6989.85,7036.00,7040.50,7018.78,7778.00,5220.00,590026,4141264175.60,62328
