,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,828.1,833.7,826.85,828.15,830.1,831.2,829.46,888.75,628.75,2691557,2232528229.65,69509
1,19-Jun-2023,EQ,840.0,840.0,827.5,837.8,828.1,828.15,833.55,888.75,628.75,3017364,2515112366.10,66431
2,16-Jun-2023,EQ,822.5,840.0,820.8,829.7,836.45,837.8,833.01,888.75,628.75,4907797,4088228585.50,90338
3,15-Jun-2023,EQ,827.0,833.8,824.2,827.95,829.55,829.7,830.09,888.75,628.75,3865201,3208473864.20,86639
4,14-Jun-2023,EQ,832.0,833.95,819.0,834.35,826.6,827.95,825.13,888.75,628.75,5108720,4215333765.20,92375
5,13-Jun-2023,EQ,838.1,844.0,832.75,836.35,834.1,834.35,837.23,888.75,628.75,3224345,2699514267.65,78369
6,12-Jun-2023,EQ,834.85,843.1,831.75,833.5,837.2,836.35,837.54,888.75,628.75,1569715,1314703006.30,57359
7,09-Jun-2023,EQ,838.55,839.8,828.95,836.0,834.0,833.5,832.48,888.75,628.75,3332436,2774189879.75,54072
8,08-Jun-2023,EQ,847.7,849.4,834.55,844.25,836.5,836.0,840.96,888.75,628.75,4050621,3406398442.60,68118
9,07-Jun-2023,EQ,828.9,847.5,827.25,829.45,842.25,844.25,839.52,888.75,628.75,4110739,3451055068.10,79561
10,06-Jun-2023,EQ,834.5,838.25,826.15,834.5,829.6,829.45,829.91,888.75,628.75,2722174,2259156071.20,64064
11,05-Jun-2023,EQ,838.5,841.35,832.15,836.5,832.8,834.5,836.89,888.75,628.75,5298053,4433877024.40,60789
12,02-Jun-2023,EQ,832.8,839.3,826.95,827.95,838.5,836.5,832.66,888.75,628.75,6834131,5690541059.40,104053
13,01-Jun-2023,EQ,837.95,837.95,823.0,849.9,826.85,827.95,828.07,888.75,628.75,9713155,8043168432.40,140155
14,31-May-2023,EQ,819.0,888.75,818.0,818.45,834.0,849.9,846.38,888.75,628.75,47342125,40069594413.90,188351
15,30-May-2023,EQ,821.25,826.35,812.8,821.25,818.5,818.45,820.43,860.55,628.75,5148256,4223782090.05,97622
16,29-May-2023,EQ,829.4,829.4,818.0,817.95,822.0,821.25,821.52,860.55,628.75,3684829,3027154525.95,69552
