,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,45097.0,EQ,375.0,375.05,371.5,374.75,372.0,372.45,372.63,380.45,288.05,1207938.0,450108946.3,21718.0
1,45096.0,EQ,377.0,378.7,374.15,376.8,375.55,374.75,376.17,380.45,288.05,1517385.0,570798404.85,32248.0
2,45093.0,EQ,377.0,378.7,374.4,378.9,376.0,376.8,376.21,380.45,288.05,2139294.0,804814269.95,36804.0
3,45092.0,EQ,375.1,380.45,373.0,373.55,378.95,378.9,378.44,380.45,288.05,6105440.0,2310541466.75,62008.0
4,45091.0,EQ,373.5,378.5,370.9,373.6,373.2,373.55,375.47,378.5,288.05,3357184.0,1260513957.95,59087.0
5,45090.0,EQ,374.5,376.9,372.4,371.65,373.3,373.6,374.57,376.9,288.05,3987317.0,1493537300.1,51491.0
6,45089.0,EQ,360.5,372.5,360.2,359.45,371.4,371.65,367.92,374.9,288.05,4717149.0,1735545105.1,55166.0
7,45086.0,EQ,361.1,364.0,358.8,361.1,360.25,359.45,361.41,374.9,288.05,1542985.0,557650224.55,25542.0
8,45085.0,EQ,367.6,367.6,360.3,368.1,362.0,361.1,362.46,374.9,288.05,3582191.0,1298405437.15,51931.0
9,45084.0,EQ,357.0,369.5,356.75,356.15,367.9,368.1,365.64,374.9,288.05,6415428.0,2345727301.45,68625.0
10,45083.0,EQ,357.05,359.0,354.6,356.8,356.75,356.15,356.69,374.9,288.05,2106537.0,751388003.95,30707.0
11,45082.0,EQ,360.1,362.0,355.0,360.05,357.0,356.8,356.71,374.9,288.05,2929068.0,1044828754.45,30904.0
12,45079.0,EQ,364.6,366.8,359.1,364.55,359.8,360.05,362.85,374.9,288.05,3466237.0,1257716239.0,46335.0
13,45078.0,EQ,365.3,368.9,364.1,363.5,364.5,364.55,366.23,374.9,288.05,1768641.0,647731990.9,33810.0
14,45077.0,EQ,360.4,366.45,360.2,360.4,364.6,363.5,363.67,374.9,288.05,11607240.0,4221202480.8,61028.0
15,45076.0,EQ,363.0,364.0,360.0,361.7,360.2,360.4,361.46,374.9,288.05,1361344.0,492073361.65,33824.0
16,45075.0,EQ,364.3,367.3,361.0,364.3,362.5,361.7,363.12,374.9,288.05,1170519.0,425043552.4,25907.0
17,45072.0,EQ,365.0,367.0,363.1,363.3,364.05,364.3,364.44,374.9,288.05,1092796.0,398256155.45,20938.0
18,45071.0,EQ,363.0,364.2,360.35,363.3,364.0,363.3,362.23,374.9,288.05,1676285.0,607201997.2,23700.0
19,45070.0,EQ,366.55,369.1,361.85,366.6,364.0,363.3,365.7,374.9,288.05,1875480.0,685865288.45,27653.0
20,45069.0,EQ,367.0,371.0,365.0,361.6,366.2,366.6,368.17,374.9,288.05,5971589.0,2198566504.25,73959.0
21,45068.0,EQ,361.95,362.75,358.55,360.3,362.1,361.6,360.94,374.9,288.05,1603444.0,578746575.9,30470.0
22,45065.0,EQ,360.1,362.5,357.6,360.7,360.95,360.3,359.84,374.9,288.05,1157763.0,416607880.35,21350.0
23,45064.0,EQ,366.0,366.0,360.1,364.75,360.25,360.7,362.99,374.9,288.05,1713445.0,621957821.85,37790.0
24,45063.0,EQ,366.75,369.5,363.95,362.3,364.7,364.75,366.61,374.9,288.05,3879878.0,1422421262.0,57236.0
25,45062.0,EQ,358.25,366.3,357.0,357.0,363.0,362.3,361.7,374.9,288.05,3786371.0,1369515581.55,56965.0
26,45061.0,EQ,362.0,363.85,356.35,361.9,356.9,357.0,359.04,374.9,288.05,2404765.0,863417729.2,70816.0
27,45058.0,EQ,371.9,371.9,359.0,372.55,362.15,361.9,362.12,374.9,288.05,3895907.0,1410801915.1,58000.0
28,45057.0,EQ,373.15,374.9,371.5,372.15,372.05,372.55,373.42,374.9,288.05,1693684.0,632461633.65,34295.0
29,45056.0,EQ,368.0,373.0,365.4,367.05,371.7,372.15,370.41,373.0,288.05,2780978.0,1030088711.2,49366.0
30,45055.0,EQ,365.85,370.0,364.7,367.7,366.3,367.05,367.17,370.0,288.05,2089839.0,767321551.35,34601.0
31,45054.0,EQ,365.45,368.7,362.45,365.45,368.0,367.7,367.25,369.65,288.05,1200364.0,440831698.0,24832.0
32,45051.0,EQ,367.1,369.65,364.05,368.35,364.3,365.45,366.93,371.4,288.05,1650115.0,605484769.3,30945.0
33,45050.0,EQ,363.8,369.15,361.15,360.8,367.4,368.35,367.06,371.4,288.05,4141143.0,1520035231.25,61831.0
34,45049.0,EQ,363.25,367.8,359.85,361.1,360.6,360.8,362.6,371.4,288.05,4356479.0,1579679148.45,48750.0
35,45048.0,EQ,358.3,364.9,358.0,357.6,360.6,361.1,361.58,371.4,288.05,3212980.0,1161747223.35,72369.0
36,45044.0,EQ,356.0,358.3,352.45,355.65,356.3,357.6,356.18,385.95,288.05,3371468.0,1200854697.4,45255.0
37,45043.0,EQ,350.0,356.5,348.85,349.0,355.0,355.65,353.42,385.95,288.05,3635526.0,1284883384.6,60151.0
38,45042.0,EQ,346.8,349.5,345.1,347.5,348.85,349.0,348.19,385.95,288.05,1319897.0,459573063.35,27191.0
39,45041.0,EQ,345.25,348.55,345.25,347.2,346.9,347.5,347.61,385.95,288.05,1542196.0,536090237.75,25848.0
40,45040.0,EQ,346.2,347.8,342.75,346.2,346.5,347.2,345.33,385.95,288.05,2122912.0,733103036.75,31233.0
41,45037.0,EQ,343.8,348.9,342.6,343.7,345.65,346.2,346.96,398.8,288.05,3276344.0,1136756552.9,50785.0
42,45036.0,EQ,343.95,345.0,341.35,342.0,343.65,343.7,343.4,398.8,288.05,2432509.0,835311762.15,39027.0
43,45035.0,EQ,334.95,343.3,333.7,334.8,342.8,342.0,337.24,398.8,288.05,4926432.0,1661370913.75,68566.0
44,45034.0,EQ,335.7,338.05,332.8,335.7,334.4,334.8,334.95,398.8,288.05,2903211.0,972437510.95,26252.0
45,45033.0,EQ,332.25,336.0,330.3,332.25,335.5,335.7,333.71,398.8,288.05,1452781.0,484800740.9,34050.0
46,45029.0,EQ,338.9,338.9,330.65,337.3,332.35,332.25,332.83,398.8,288.05,4173647.0,1389129829.2,70277.0
47,45028.0,EQ,339.1,339.25,335.1,339.1,337.5,337.3,336.56,398.8,288.05,2130087.0,716898808.5,45531.0
48,45027.0,EQ,336.15,339.5,335.15,335.8,338.5,339.1,337.9,398.8,288.05,1364947.0,461215794.15,24853.0
49,45026.0,EQ,332.0,336.8,331.6,332.0,335.4,335.8,335.45,398.8,288.05,2465309.0,826992671.35,51691.0
50,45022.0,EQ,329.3,333.5,329.05,328.05,332.2,332.0,331.44,398.8,288.05,2383915.0,790126798.1,47043.0
51,45021.0,EQ,331.9,332.9,327.0,329.95,329.5,328.05,328.56,398.8,288.05,4124579.0,1355186264.8,47433.0
