,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,5021.05,5062.50,5008.05,5021.05,5062.35,5056.45,5034.47,5064.40,3270.95,251372,1265524757.20,23083
1,19-Jun-2023,EQ,5050.00,5064.40,5002.30,5044.70,5014.70,5021.05,5039.63,5064.40,3270.95,197576,995710419.95,21548
2,16-Jun-2023,EQ,4975.45,5058.60,4970.00,4975.45,5040.00,5044.70,5026.94,5058.60,3270.95,407485,2048402790.85,35631
3,15-Jun-2023,EQ,4950.00,5019.90,4914.30,4941.65,4973.00,4975.45,4980.98,5019.90,3270.95,452909,2255932841.80,34299
4,14-Jun-2023,EQ,4947.00,4977.00,4922.00,4940.10,4937.00,4941.65,4951.03,4980.00,3270.95,234174,1159403485.15,22555
5,13-Jun-2023,EQ,4904.95,4951.65,4892.30,4900.25,4931.00,4940.10,4935.51,4980.00,3270.95,326814,1612995370.35,25219
6,12-Jun-2023,EQ,4899.00,4910.00,4865.00,4878.75,4902.00,4900.25,4891.19,4980.00,3270.95,233763,1143379689.80,23440
7,09-Jun-2023,EQ,4886.30,4980.00,4836.10,4875.05,4894.95,4878.75,4914.24,4980.00,3270.95,820375,4031521226.55,73833
8,08-Jun-2023,EQ,4901.90,4914.75,4856.50,4893.15,4880.00,4875.05,4880.44,4914.75,3270.95,381452,1861652591.70,34208
9,07-Jun-2023,EQ,4715.00,4907.95,4715.00,4705.40,4901.45,4893.15,4856.69,4907.95,3270.95,1390193,6751738313.10,88156
10,06-Jun-2023,EQ,4682.60,4717.70,4673.05,4682.60,4705.00,4705.40,4697.09,4718.70,3270.95,185910,873236770.60,18141
11,05-Jun-2023,EQ,4659.90,4712.50,4657.05,4654.15,4674.00,4682.60,4694.98,4718.70,3270.95,349558,1641167914.40,28361
