,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1013.85,1018.80,1002.60,1011.25,1012.20,1011.15,1009.74,1185.25,852.0,1413571,1427335745.35,34048
1,19-Jun-2023,EQ,1006.25,1017.55,999.20,1006.05,1015.50,1011.25,1009.72,1185.25,852.0,1015057,1024920371.30,43906
2,16-Jun-2023,EQ,1000.00,1007.15,993.75,998.20,1006.25,1006.05,1002.31,1185.25,852.0,1572197,1575826479.45,54646
3,15-Jun-2023,EQ,981.95,1000.00,980.60,978.70,998.10,998.20,992.72,1185.25,852.0,1804458,1791326970.75,86016
4,14-Jun-2023,EQ,981.50,981.90,972.60,981.50,979.00,978.70,977.72,1185.25,852.0,1831109,1790309971.55,37371
5,13-Jun-2023,EQ,963.00,983.85,957.00,959.95,982.15,981.50,969.37,1185.25,852.0,2158120,2092014010.60,49498
6,12-Jun-2023,EQ,973.25,973.25,955.15,969.25,960.50,959.95,963.31,1185.25,852.0,1239721,1194229879.60,33080
7,09-Jun-2023,EQ,966.00,971.00,959.15,965.40,970.00,969.25,966.65,1185.25,852.0,717024,693113200.60,21010
8,08-Jun-2023,EQ,964.90,969.85,963.00,960.45,965.85,965.40,966.07,1185.25,852.0,1481632,1431357288.85,36018
9,07-Jun-2023,EQ,972.95,977.90,958.50,972.05,962.50,960.45,965.57,1185.25,852.0,1614117,1558541573.45,66948
10,06-Jun-2023,EQ,972.90,974.95,964.05,974.80,973.50,972.05,970.15,1185.25,852.0,2079735,2017648115.75,54498
11,05-Jun-2023,EQ,970.00,976.90,959.15,965.85,975.75,974.80,970.44,1185.25,852.0,1469770,1426322379.60,48766
12,02-Jun-2023,EQ,965.90,969.65,954.65,964.75,965.00,965.85,962.04,1185.25,852.0,1098485,1056789964.50,43430
13,01-Jun-2023,EQ,950.00,966.50,946.75,953.05,964.10,964.75,959.40,1185.25,852.0,1132919,1086919301.85,37737
14,31-May-2023,EQ,960.20,965.00,942.30,959.85,949.00,953.05,955.66,1185.25,852.0,3561991,3404054382.50,50763
15,30-May-2023,EQ,957.60,961.50,951.00,956.25,959.00,959.85,957.82,1185.25,852.0,1337311,1280902582.70,54859
16,29-May-2023,EQ,952.00,959.20,945.10,951.35,953.10,956.25,951.25,1185.25,852.0,1744868,1659804464.35,47741
17,26-May-2023,EQ,945.90,952.75,940.50,945.45,950.00,951.35,948.43,1185.25,852.0,1130476,1072176480.40,53861
18,25-May-2023,EQ,941.45,947.00,935.00,938.00,945.50,945.45,943.05,1185.25,852.0,2178211,2054166504.30,46284
19,24-May-2023,EQ,923.50,939.90,923.50,930.40,937.90,938.00,934.02,1185.25,852.0,1034319,966077897.40,41311
20,23-May-2023,EQ,926.40,932.30,919.50,924.95,931.30,930.40,928.57,1185.25,852.0,1577827,1465130219.40,34791
21,22-May-2023,EQ,916.25,931.05,915.45,916.25,924.50,924.95,925.64,1185.25,852.0,1402783,1298467749.30,50791
22,19-May-2023,EQ,917.00,922.00,913.00,914.50,917.00,916.25,917.15,1185.25,852.0,1168086,1071308384.20,36598
23,18-May-2023,EQ,929.00,929.65,911.55,923.95,916.00,914.50,918.20,1185.25,852.0,1881606,1727681954.40,69741
24,17-May-2023,EQ,924.95,932.00,917.00,922.10,922.15,923.95,923.85,1185.25,852.0,1866976,1724798436.65,79339
25,16-May-2023,EQ,927.40,942.65,918.40,922.80,920.00,922.10,930.47,1185.25,852.0,2964696,2758547373.85,101341
26,15-May-2023,EQ,940.00,940.00,896.85,937.45,921.45,922.80,913.08,1185.25,852.0,5487301,5010331712.50,312509
27,12-May-2023,EQ,948.85,953.00,913.00,943.60,931.50,937.45,942.43,1185.25,852.0,3850078,3628444421.25,88942
28,11-May-2023,EQ,946.45,947.00,935.00,944.40,943.00,943.60,942.27,1185.25,852.0,1537103,1448373644.00,48086
29,10-May-2023,EQ,943.50,946.70,933.20,939.20,946.15,944.40,939.85,1185.25,852.0,1618668,1521300967.25,47645
30,09-May-2023,EQ,935.00,943.00,929.10,933.30,940.00,939.20,937.44,1185.25,852.0,2657968,2491678044.50,73908
31,08-May-2023,EQ,927.20,934.90,919.65,924.80,933.95,933.30,924.20,1185.25,852.0,3877794,3583838199.10,51913
32,05-May-2023,EQ,935.00,935.20,920.85,933.50,922.00,924.80,925.25,1185.25,852.0,2262141,2093050381.40,50346
33,04-May-2023,EQ,920.65,935.40,920.65,920.65,932.50,933.50,930.07,1185.25,852.0,3393228,3155948163.40,76522
34,03-May-2023,EQ,920.95,924.50,917.00,917.70,920.50,920.65,920.88,1185.25,852.0,2566561,2363503209.55,54656
35,02-May-2023,EQ,910.40,921.00,906.10,908.05,919.05,917.70,912.48,1185.25,852.0,1857324,1694766414.10,58781
36,28-Apr-2023,EQ,918.85,919.00,905.15,913.95,908.95,908.05,909.07,1185.25,852.0,2695819,2450695003.90,61689
37,27-Apr-2023,EQ,911.20,917.30,903.00,911.10,917.20,913.95,909.16,1185.25,852.0,2457652,2234402342.15,52685
38,26-Apr-2023,EQ,911.85,914.20,900.05,909.65,913.00,911.10,908.36,1185.25,852.0,1400796,1272421777.65,50831
39,25-Apr-2023,EQ,904.60,912.00,896.30,903.00,909.00,909.65,905.22,1185.25,852.0,2440358,2209067175.95,56116
40,24-Apr-2023,EQ,916.00,917.20,901.15,915.05,904.50,903.00,904.34,1185.25,852.0,1784945,1614192372.85,43016
41,21-Apr-2023,EQ,903.00,918.55,903.00,904.00,915.90,915.05,911.50,1185.25,852.0,3481218,3173146386.60,51597
42,20-Apr-2023,EQ,912.00,913.70,898.95,911.90,905.00,904.00,904.39,1185.25,852.0,4446158,4021076059.35,59813
43,19-Apr-2023,EQ,925.95,925.95,909.00,924.25,912.80,911.90,916.87,1185.25,852.0,1538261,1410379910.30,55774
44,18-Apr-2023,EQ,905.00,925.50,897.00,906.45,925.10,924.25,915.19,1185.25,852.0,1949777,1784408058.50,84221
45,17-Apr-2023,EQ,915.00,917.45,901.10,915.75,907.00,906.45,905.08,1185.25,852.0,2604979,2357712697.45,95178
46,13-Apr-2023,EQ,921.90,923.05,912.30,917.95,914.70,915.75,916.31,1185.25,852.0,1068355,978943922.90,45033
47,12-Apr-2023,EQ,909.00,920.90,908.20,907.15,919.20,917.95,916.09,1185.25,852.0,3449942,3160470835.20,56854
48,11-Apr-2023,EQ,905.00,908.15,902.00,901.85,907.05,907.15,905.86,1185.25,852.0,1778775,1611312744.85,54860
49,10-Apr-2023,EQ,896.95,904.50,894.20,893.35,902.00,901.85,900.29,1185.25,852.0,919722,828017827.70,34429
50,06-Apr-2023,EQ,899.00,899.75,889.00,895.75,894.90,893.35,893.44,1185.25,852.0,1512783,1351575682.35,31851
51,05-Apr-2023,EQ,889.00,897.35,886.30,891.45,897.00,895.75,893.01,1185.25,852.0,1612376,1439869497.75,49349
52,03-Apr-2023,EQ,910.00,910.00,887.05,900.50,891.15,891.45,892.42,1185.25,852.0,2623264,2341048877.85,67967
53,31-Mar-2023,EQ,888.80,902.70,886.70,887.70,900.50,900.50,897.51,1185.25,852.0,2320879,2083022564.10,68686
54,29-Mar-2023,EQ,893.95,896.60,885.35,889.50,888.50,887.70,888.34,1185.25,852.0,3049688,2709159776.45,57988
55,28-Mar-2023,EQ,891.80,894.25,886.40,889.30,889.30,889.50,889.89,1185.25,852.0,3623017,3224100075.75,72751
56,27-Mar-2023,EQ,881.05,891.35,876.05,877.25,889.55,889.30,886.41,1185.25,852.0,3986238,3533455834.90,72124
57,24-Mar-2023,EQ,869.10,879.00,866.15,869.10,878.40,877.25,874.41,1185.25,852.0,3166046,2768408482.30,41497
