,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,227.75,227.75,225.5,227.15,227.4,227.25,226.64,263.4,174.75,5024593,1138765042.05,54920
1,19-Jun-2023,EQ,228.5,228.8,226.6,228.55,227.5,227.15,227.39,263.4,174.75,8210198,1866938309.40,64800
2,16-Jun-2023,EQ,228.5,229.7,228.0,228.6,228.85,228.55,228.82,263.4,174.75,8518319,1949135019.15,69182
3,15-Jun-2023,EQ,229.2,229.65,227.9,228.95,228.6,228.6,228.55,263.4,174.75,6363240,1454303045.00,82564
4,14-Jun-2023,EQ,229.9,229.9,227.55,228.95,229.0,228.95,228.64,263.4,174.75,7034468,1608360828.70,58096
5,13-Jun-2023,EQ,230.0,230.3,228.0,229.0,229.05,228.95,228.68,263.4,174.75,5574798,1274831584.35,51072
6,12-Jun-2023,EQ,228.25,229.25,226.65,227.65,229.15,229.0,228.4,263.4,174.75,4261576,973364950.40,46251
7,09-Jun-2023,EQ,228.95,229.45,227.35,228.1,227.8,227.65,228.43,263.4,174.75,5137982,1173683139.65,47712
8,08-Jun-2023,EQ,231.4,231.4,227.65,230.7,228.7,228.1,229.01,263.4,174.75,8538256,1955320035.30,80034
9,07-Jun-2023,EQ,228.75,231.5,228.1,227.8,230.9,230.7,230.49,263.4,174.75,21853324,5036954082.00,88914
10,06-Jun-2023,EQ,229.8,230.65,226.75,229.7,228.2,227.8,228.05,263.4,174.75,13495524,3077672911.90,98056
11,05-Jun-2023,EQ,230.5,231.2,229.45,230.9,229.7,229.7,230.17,263.4,174.75,19807347,4559026354.75,102290
12,02-Jun-2023,EQ,228.5,233.4,228.1,230.35,230.6,230.9,230.62,263.4,174.75,36400588,8394806999.15,128726
13,01-Jun-2023,EQ,230.4,231.9,229.15,241.25,230.0,230.35,230.33,263.4,174.75,35509867,8178979486.45,140655
14,31-May-2023,EQ,247.9,247.9,239.3,244.3,241.5,241.25,241.31,263.4,174.75,15727646,3795233319.70,192692
15,30-May-2023,EQ,246.25,247.15,243.3,246.1,244.45,244.3,244.95,263.4,174.75,4657906,1140939030.95,41442
16,29-May-2023,EQ,241.55,247.65,240.8,241.5,246.0,246.1,245.58,263.4,174.75,8069985,1981789742.85,52653
17,26-May-2023,EQ,239.8,242.45,239.1,240.05,241.0,241.5,241.25,263.4,174.75,2646742,638521722.00,27856
18,25-May-2023,EQ,241.25,242.2,237.9,241.0,239.6,240.05,239.61,263.4,174.75,3810138,912940587.00,53030
19,24-May-2023,EQ,238.3,241.5,238.0,239.3,240.7,241.0,240.21,263.4,174.75,2422138,581830745.45,31455
20,23-May-2023,EQ,238.95,240.2,236.8,238.7,239.8,239.3,239.07,263.4,174.75,3213453,768236735.10,34093
21,22-May-2023,EQ,239.4,241.2,237.45,239.9,238.6,238.7,239.66,263.4,174.75,2891415,692968426.60,49625
22,19-May-2023,EQ,240.0,241.6,236.3,239.6,239.7,239.9,239.75,263.4,167.85,3810543,913576805.05,43263
23,18-May-2023,EQ,242.0,242.9,238.95,241.6,240.0,239.6,241.48,263.4,167.85,3512113,848089524.35,44127
24,17-May-2023,EQ,240.95,243.7,240.75,240.95,241.5,241.6,242.16,263.4,167.85,4968232,1203101410.15,61915
25,16-May-2023,EQ,238.75,241.7,237.45,237.7,241.0,240.95,239.83,263.4,167.85,6016484,1442958587.45,54856
26,15-May-2023,EQ,234.6,239.6,233.85,235.05,237.5,237.7,237.44,263.4,167.85,4217892,1001514790.05,51168
27,12-May-2023,EQ,236.15,237.25,234.25,236.15,235.25,235.05,235.5,263.4,164.65,2348435,553052970.40,38346
28,11-May-2023,EQ,236.55,238.15,235.7,236.55,236.5,236.15,236.96,263.4,164.65,2675726,634047846.45,38715
29,10-May-2023,EQ,236.95,237.25,234.55,236.35,236.5,236.55,235.88,263.4,164.65,3650159,860984880.50,44895
30,09-May-2023,EQ,234.8,238.8,233.5,232.85,235.95,236.35,236.45,263.4,164.65,7318928,1730558265.90,85675
31,08-May-2023,EQ,232.5,233.4,230.0,237.4,233.05,232.85,231.54,263.4,164.65,9711437,2248615597.00,77709
32,05-May-2023,EQ,237.85,238.0,236.0,237.45,237.6,237.4,237.1,263.4,164.65,3043479,721622513.45,32793
33,04-May-2023,EQ,236.85,238.0,234.15,236.9,236.5,237.45,236.21,263.4,164.65,7248108,1712076797.20,52076
34,03-May-2023,EQ,236.05,238.95,234.6,236.1,236.8,236.9,237.34,263.4,164.65,4523385,1073600220.00,64908
35,02-May-2023,EQ,233.2,237.45,233.1,233.1,236.25,236.1,236.12,263.4,164.65,3773537,890999692.20,51433
36,28-Apr-2023,EQ,232.5,234.75,231.6,231.75,233.0,233.1,232.87,263.4,164.65,4771074,1111035284.85,40027
37,27-Apr-2023,EQ,229.75,232.5,229.15,229.75,232.1,231.75,231.24,263.4,164.65,3349374,774494671.45,37785
38,26-Apr-2023,EQ,230.0,230.65,228.0,230.25,229.8,229.75,229.35,263.4,164.65,3439487,788846723.35,36811
39,25-Apr-2023,EQ,231.15,232.3,229.9,231.55,230.6,230.25,231.14,263.4,164.65,2570946,594241744.00,43145
40,24-Apr-2023,EQ,229.55,232.0,229.55,230.05,231.2,231.55,231.27,263.4,164.65,2587030,598300790.75,36320
41,21-Apr-2023,EQ,230.0,230.45,227.45,229.55,230.0,230.05,229.3,263.4,164.65,2459508,563967501.15,28899
42,20-Apr-2023,EQ,229.9,231.5,229.1,230.4,229.65,229.55,230.1,263.4,164.65,2589165,595771806.35,37420
43,19-Apr-2023,EQ,233.6,234.6,229.0,232.2,230.15,230.4,232.4,263.4,164.65,7424582,1725452232.95,72753
44,18-Apr-2023,EQ,229.6,232.4,229.25,229.6,231.7,232.2,231.56,263.4,164.65,8004952,1853590144.45,79195
45,17-Apr-2023,EQ,225.5,229.95,225.4,225.5,229.25,229.6,228.36,263.4,164.65,6265943,1430881882.00,49253
46,13-Apr-2023,EQ,227.9,229.65,224.45,227.7,225.4,225.5,226.67,263.4,164.65,3478451,788468224.00,48492
47,12-Apr-2023,EQ,224.0,228.0,223.65,223.65,227.9,227.7,226.57,263.4,164.65,5136012,1163642284.70,61811
48,11-Apr-2023,EQ,222.75,224.3,222.0,222.05,223.25,223.65,223.21,263.4,164.65,3995959,891930072.00,48871
49,10-Apr-2023,EQ,221.45,224.45,221.15,221.7,222.0,222.05,223.12,263.4,164.65,3498235,780522612.60,44626
50,06-Apr-2023,EQ,222.45,223.15,220.3,222.5,221.6,221.7,221.67,263.4,164.65,4589598,1017387112.55,50741
51,05-Apr-2023,EQ,220.3,224.25,220.3,220.15,222.2,222.5,222.38,263.4,164.65,6491910,1443640354.35,65063
52,03-Apr-2023,EQ,214.1,220.85,213.8,213.65,220.3,220.15,218.2,263.4,164.65,7754066,1691902604.10,67160
53,31-Mar-2023,EQ,212.2,214.3,211.15,212.95,213.25,213.65,213.27,263.4,164.65,5139018,1096014273.75,52683
54,29-Mar-2023,EQ,209.95,214.9,208.4,208.9,211.75,212.95,211.88,263.4,164.65,16734166,3545699575.05,71784
55,28-Mar-2023,EQ,209.4,211.25,208.45,208.4,209.0,208.9,209.98,263.4,164.65,6157526,1292973222.95,54236
56,27-Mar-2023,EQ,208.5,210.2,207.6,208.45,208.4,208.4,209.02,263.4,164.65,4002212,836542001.05,48184
57,24-Mar-2023,EQ,213.25,213.9,208.0,213.35,208.3,208.45,210.84,263.4,164.65,6611089,1393873257.55,85488
58,23-Mar-2023,EQ,213.15,214.75,212.4,213.95,213.4,213.35,213.43,263.4,164.65,4730918,1009730457.10,40611
59,22-Mar-2023,EQ,216.9,216.9,213.1,217.05,214.05,213.95,214.1,263.4,164.65,9675449,2071487296.70,71284
60,21-Mar-2023,EQ,218.15,218.95,215.95,217.05,216.7,217.05,216.88,263.4,164.65,3998751,867229676.45,46482
61,20-Mar-2023,EQ,220.0,221.6,215.7,221.65,217.0,217.05,217.43,263.4,164.65,4244575,922896883.50,47492
62,17-Mar-2023,EQ,222.0,225.95,220.1,220.85,221.0,221.65,222.8,263.4,164.65,15720256,3502508346.15,85244
