,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,3585.00,3586.50,3533.05,3584.75,3558.40,3566.20,3559.89,3973.90,2730.00,267277,951477617.15,24716
1,19-Jun-2023,EQ,3581.85,3624.00,3572.45,3579.60,3585.95,3584.75,3598.65,3973.90,2730.00,299174,1076623791.30,23765
2,16-Jun-2023,EQ,3603.05,3633.10,3570.00,3581.05,3575.00,3579.60,3601.24,3973.90,2730.00,633543,2281538116.35,49392
3,15-Jun-2023,EQ,3499.95,3591.00,3487.35,3485.95,3578.00,3581.05,3568.46,3973.90,2730.00,955066,3408118863.50,63062
4,14-Jun-2023,EQ,3495.00,3507.40,3462.05,3487.70,3486.00,3485.95,3481.24,3973.90,2730.00,208081,724379309.75,23138
5,13-Jun-2023,EQ,3438.45,3493.95,3435.00,3438.45,3487.05,3487.70,3476.72,3973.90,2730.00,367056,1276151462.10,27941
6,12-Jun-2023,EQ,3309.00,3467.45,3308.95,3428.75,3438.00,3438.45,3416.72,3973.90,2730.00,799646,2732169105.05,63745
7,09-Jun-2023,EQ,3481.05,3498.95,3420.00,3499.70,3429.80,3428.75,3451.45,3973.90,2730.00,325701,1124142114.60,27716
8,08-Jun-2023,EQ,3549.00,3554.60,3489.05,3542.10,3497.00,3499.70,3521.00,3973.90,2730.00,434625,1530312479.20,35196
9,07-Jun-2023,EQ,3555.00,3570.00,3526.00,3537.90,3541.70,3542.10,3549.58,3973.90,2730.00,392590,1393530370.00,28926
10,06-Jun-2023,EQ,3462.95,3544.00,3441.15,3462.30,3539.55,3537.90,3502.89,3973.90,2730.00,503263,1762877382.85,44222
11,05-Jun-2023,EQ,3517.95,3524.75,3455.00,3511.60,3466.00,3462.30,3470.80,3973.90,2730.00,633073,2197270239.45,36681
12,02-Jun-2023,EQ,3525.00,3554.45,3495.00,3525.40,3524.20,3511.60,3516.64,3973.90,2730.00,477154,1677980064.80,45670
13,01-Jun-2023,EQ,3451.55,3562.00,3443.60,3443.60,3531.40,3525.40,3531.80,3973.90,2730.00,791714,2796178820.80,60381
14,31-May-2023,EQ,3428.00,3503.75,3420.05,3458.00,3430.00,3443.60,3450.01,3973.90,2730.00,1861153,6421000987.30,69790
15,30-May-2023,EQ,3477.00,3477.00,3432.00,3477.85,3453.70,3458.00,3456.00,3973.90,2730.00,327381,1131429405.15,28615
16,29-May-2023,EQ,3525.00,3534.90,3466.05,3514.00,3474.00,3477.85,3485.16,3973.90,2730.00,360805,1257461525.35,26989
17,26-May-2023,EQ,3435.65,3520.00,3425.20,3435.65,3503.00,3514.00,3491.23,4438.80,2730.00,829186,2894879462.50,56360
18,25-May-2023,EQ,3371.05,3452.80,3365.00,3383.15,3440.00,3435.65,3420.56,4438.80,2730.00,641670,2194870044.75,45421
19,24-May-2023,EQ,3360.00,3407.00,3335.90,3385.80,3392.00,3383.15,3371.66,4438.80,2730.00,552635,1863299555.45,41629
20,23-May-2023,EQ,3241.05,3415.00,3221.05,3265.00,3383.00,3385.80,3365.46,4438.80,2730.00,1376245,4631693005.50,83385
21,22-May-2023,EQ,3099.95,3271.15,3051.00,3098.30,3255.10,3265.00,3190.31,4438.80,2730.00,1538574,4908522090.80,85549
22,19-May-2023,EQ,3144.00,3158.35,3085.50,3153.50,3092.00,3098.30,3120.74,4438.80,2730.00,479974,1497874542.95,40869
23,18-May-2023,EQ,3284.00,3284.95,3144.00,3268.00,3162.00,3153.50,3178.13,4438.80,2730.00,766236,2435195108.35,61096
24,17-May-2023,EQ,3284.15,3296.20,3255.20,3279.45,3264.35,3268.00,3273.03,4438.80,2730.00,173719,568587514.15,21483
25,16-May-2023,EQ,3277.95,3332.60,3272.05,3276.50,3276.00,3279.45,3305.72,4438.80,2730.00,301995,998311304.35,26770
26,15-May-2023,EQ,3306.35,3336.35,3265.00,3315.05,3276.00,3276.50,3284.05,4438.80,2730.00,341458,1121366515.40,31315
27,12-May-2023,EQ,3311.00,3354.00,3190.00,3329.20,3306.35,3315.05,3272.39,4438.80,2730.00,957967,3134843354.40,73997
28,11-May-2023,EQ,3410.00,3432.00,3222.05,3425.25,3316.00,3329.20,3340.99,4438.80,2730.00,818423,2734340001.15,62475
29,10-May-2023,EQ,3400.00,3436.00,3349.00,3383.20,3418.70,3425.25,3399.48,4438.80,2730.00,494159,1679883500.30,36101
30,09-May-2023,EQ,3303.90,3394.65,3273.05,3286.30,3387.95,3383.20,3345.45,4438.80,2730.00,566809,1896229614.60,42138
31,08-May-2023,EQ,3299.00,3311.00,3275.00,3290.80,3290.00,3286.30,3287.31,4438.80,2730.00,239343,786795653.00,21893
32,05-May-2023,EQ,3292.00,3317.80,3264.15,3282.55,3282.00,3290.80,3298.60,4600.00,2730.00,222487,733896006.35,22106
33,04-May-2023,EQ,3268.75,3297.45,3254.75,3268.75,3277.00,3282.55,3283.46,4600.00,2730.00,180313,592051165.60,15812
34,03-May-2023,EQ,3253.00,3281.95,3236.40,3253.70,3270.00,3268.75,3264.41,4600.00,2730.00,205036,669322010.75,19125
35,02-May-2023,EQ,3268.05,3284.35,3245.00,3267.90,3251.00,3253.70,3263.00,4600.00,2730.00,320408,1045490832.65,32502
36,28-Apr-2023,EQ,3248.00,3278.50,3216.00,3238.45,3264.85,3267.90,3248.65,4640.80,2730.00,278679,905329691.25,21574
37,27-Apr-2023,EQ,3220.00,3247.85,3202.00,3220.00,3233.00,3238.45,3223.32,4640.80,2730.00,200579,646530117.15,17040
38,26-Apr-2023,EQ,3202.40,3243.75,3195.55,3226.45,3211.00,3220.00,3216.29,4640.80,2730.00,279817,899971479.30,23076
39,25-Apr-2023,EQ,3198.00,3245.95,3172.05,3192.85,3225.00,3226.45,3215.48,4640.80,2730.00,389268,1251683274.80,35019
