,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,4879.00,4926.75,4867.05,4879.00,4909.90,4901.20,4901.30,5024.00,3997.00,214151,1049617384.00,30184
1,19-Jun-2023,EQ,4951.00,5024.00,4862.05,4915.05,4876.00,4879.00,4930.07,5024.00,3997.00,708151,3491232463.25,45779
2,16-Jun-2023,EQ,4844.85,4940.00,4825.15,4803.45,4900.00,4915.05,4908.96,4989.00,3997.00,762903,3745058250.60,66857
3,15-Jun-2023,EQ,4696.60,4855.00,4696.00,4699.00,4808.15,4803.45,4799.08,4989.00,3997.00,726149,3484847027.50,80224
4,14-Jun-2023,EQ,4707.80,4729.55,4685.00,4702.00,4706.00,4699.00,4700.49,4989.00,3997.00,180251,847267310.85,21510
5,13-Jun-2023,EQ,4700.00,4728.80,4658.05,4675.65,4707.85,4702.00,4701.74,4989.00,3997.00,258981,1217660695.40,28313
6,12-Jun-2023,EQ,4695.00,4695.00,4654.45,4666.80,4675.95,4675.65,4678.74,4989.00,3997.00,143574,671744989.85,26499
7,09-Jun-2023,EQ,4681.05,4705.00,4645.60,4649.40,4662.95,4666.80,4674.20,4989.00,3997.00,216940,1014021467.25,32359
8,08-Jun-2023,EQ,4675.00,4693.00,4637.00,4673.75,4658.50,4649.40,4660.69,4989.00,3997.00,240698,1121818443.60,48728
9,07-Jun-2023,EQ,4650.00,4678.00,4645.10,4636.65,4669.00,4673.75,4668.73,4989.00,3997.00,227905,1064027141.20,39465
10,06-Jun-2023,EQ,4610.00,4640.00,4605.00,4603.55,4639.60,4636.65,4626.56,4989.00,3997.00,232331,1074894340.75,27512
11,05-Jun-2023,EQ,4631.00,4652.00,4596.70,4610.45,4611.00,4603.55,4616.77,4989.00,3997.00,226428,1045365499.05,25463
12,02-Jun-2023,EQ,4568.95,4620.00,4565.05,4552.05,4618.00,4610.45,4600.22,4989.00,3997.00,501913,2308909575.70,50071
13,01-Jun-2023,EQ,4509.85,4559.95,4501.05,4501.05,4550.00,4552.05,4543.16,4989.00,3997.00,305791,1389257464.15,40324
14,31-May-2023,EQ,4510.00,4529.65,4480.95,4518.90,4506.25,4501.05,4502.22,4989.00,3997.00,1262701,5684962761.20,66028
15,30-May-2023,EQ,4556.25,4556.25,4498.85,4556.25,4509.40,4518.90,4521.14,4989.00,3997.00,273989,1238742543.30,36930
