,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1767.00,1772.75,1744.75,1761.30,1770.00,1769.10,1759.45,1839.50,1285.00,461598,812159370.10,35032
1,19-Jun-2023,EQ,1789.25,1794.55,1754.10,1780.75,1765.00,1761.30,1771.83,1839.50,1285.00,539320,955581182.10,21086
2,16-Jun-2023,EQ,1778.40,1789.75,1771.05,1772.50,1781.00,1780.75,1778.88,1839.50,1276.60,965707,1717881269.90,33826
3,15-Jun-2023,EQ,1789.00,1799.90,1760.50,1779.35,1773.00,1772.50,1781.18,1839.50,1276.60,962821,1714954093.90,44810
4,14-Jun-2023,EQ,1745.00,1784.80,1737.00,1737.95,1780.00,1779.35,1764.93,1839.50,1276.60,811120,1431574038.95,36293
5,13-Jun-2023,EQ,1735.00,1747.00,1728.85,1731.40,1740.00,1737.95,1738.01,1839.50,1276.60,354691,616455159.10,18009
6,12-Jun-2023,EQ,1724.40,1735.20,1711.05,1715.75,1732.00,1731.40,1725.77,1839.50,1276.60,247579,427263258.15,16698
7,09-Jun-2023,EQ,1723.00,1737.80,1710.30,1711.95,1720.00,1715.75,1727.21,1839.50,1276.60,486894,840968351.10,25031
8,08-Jun-2023,EQ,1772.00,1776.15,1708.95,1769.05,1714.85,1711.95,1731.03,1839.50,1276.60,743218,1286533206.80,33649
9,07-Jun-2023,EQ,1768.80,1772.40,1749.55,1766.40,1770.80,1769.05,1763.43,1839.50,1276.60,754213,1330002858.40,31395
10,06-Jun-2023,EQ,1739.90,1775.00,1737.45,1734.50,1764.00,1766.40,1761.98,1839.50,1276.60,1028018,1811351439.00,37434
11,05-Jun-2023,EQ,1719.00,1744.50,1712.00,1710.55,1736.50,1734.50,1734.55,1839.50,1276.60,767386,1331070364.60,31420
12,02-Jun-2023,EQ,1708.05,1719.00,1700.00,1702.45,1709.90,1710.55,1706.91,1839.50,1276.60,578853,988051059.10,26637
13,01-Jun-2023,EQ,1715.00,1720.00,1700.00,1718.35,1702.80,1702.45,1707.86,1839.50,1276.60,378694,646757884.65,20731
14,31-May-2023,EQ,1723.50,1733.50,1696.15,1725.15,1700.00,1718.35,1719.08,1839.50,1276.60,1212477,2084340934.80,31490
15,30-May-2023,EQ,1714.00,1732.45,1713.00,1713.30,1725.00,1725.15,1723.49,1839.50,1276.60,454164,782745608.20,27414
16,29-May-2023,EQ,1688.30,1715.35,1676.10,1688.30,1715.00,1713.30,1694.39,1839.50,1276.60,667890,1131666578.80,23494
17,26-May-2023,EQ,1701.90,1717.85,1667.00,1701.35,1685.10,1688.30,1684.09,1839.50,1276.60,1938811,3265132895.15,65085
18,25-May-2023,EQ,1694.95,1711.95,1691.00,1700.35,1701.50,1701.35,1700.02,1839.50,1276.60,688926,1171186459.20,27991
19,24-May-2023,EQ,1695.00,1709.50,1681.00,1697.95,1699.75,1700.35,1698.14,1839.50,1276.60,441145,749127681.75,24279
20,23-May-2023,EQ,1717.00,1720.45,1688.00,1718.35,1698.00,1697.95,1699.20,1839.50,1276.60,944523,1604932379.30,32345
21,22-May-2023,EQ,1713.10,1726.90,1704.90,1716.10,1718.95,1718.35,1716.02,1839.50,1276.60,262819,451001653.30,17949
22,19-May-2023,EQ,1710.00,1723.95,1685.00,1705.70,1720.55,1716.10,1702.21,1839.50,1276.60,241696,411417574.00,21947
23,18-May-2023,EQ,1729.30,1733.00,1696.75,1724.85,1707.00,1705.70,1707.35,1839.50,1276.60,231750,395677533.45,21400
24,17-May-2023,EQ,1729.30,1738.75,1703.65,1727.15,1725.00,1724.85,1719.43,1839.50,1276.60,376204,646856325.65,40577
25,16-May-2023,EQ,1735.65,1745.05,1722.85,1733.35,1725.00,1727.15,1731.77,1839.50,1276.60,209055,362034587.90,22301
26,15-May-2023,EQ,1754.00,1761.75,1730.20,1753.85,1731.35,1733.35,1744.43,1839.50,1276.60,447150,780023136.10,35372
