,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1133.00,1170.75,1132.50,1137.55,1170.00,1168.65,1158.98,1170.75,877.35,3504867,4062076507.75,123942
1,19-Jun-2023,EQ,1148.20,1153.90,1135.45,1148.20,1138.00,1137.55,1142.01,1156.65,877.35,1278608,1460188915.20,80080
2,16-Jun-2023,EQ,1150.00,1154.25,1132.45,1143.60,1147.05,1148.20,1146.53,1156.65,877.35,2909817,3336179844.45,83190
3,15-Jun-2023,EQ,1140.00,1147.00,1136.55,1135.85,1144.25,1143.60,1143.22,1156.65,877.35,2109652,2411793128.70,131631
4,14-Jun-2023,EQ,1138.00,1138.40,1126.05,1131.30,1132.05,1135.85,1132.38,1156.65,877.35,836964,947761448.55,65017
5,13-Jun-2023,EQ,1144.95,1144.95,1129.30,1139.65,1131.20,1131.30,1134.57,1156.65,877.35,2014656,2285767398.20,86868
6,12-Jun-2023,EQ,1112.95,1140.95,1111.50,1109.75,1137.80,1139.65,1134.44,1156.65,877.35,1670970,1895608384.10,75522
7,09-Jun-2023,EQ,1129.10,1131.00,1105.95,1126.75,1110.00,1109.75,1120.05,1156.65,877.35,1824218,2043216157.85,64775
8,08-Jun-2023,EQ,1129.05,1131.25,1118.30,1129.05,1125.00,1126.75,1125.63,1156.65,877.35,1385218,1559239429.55,68946
9,07-Jun-2023,EQ,1133.80,1133.80,1116.20,1128.60,1130.55,1129.05,1127.38,1156.65,877.35,2459039,2772280815.05,69720
10,06-Jun-2023,EQ,1130.00,1132.30,1113.75,1138.30,1127.50,1128.60,1122.72,1156.65,877.35,1943605,2182129397.75,87648
11,05-Jun-2023,EQ,1144.00,1148.50,1136.00,1137.05,1136.00,1138.30,1142.25,1156.65,877.35,1435758,1639994941.15,69180
12,02-Jun-2023,EQ,1148.00,1151.10,1131.60,1141.90,1137.70,1137.05,1138.67,1156.65,877.35,1336554,1521892024.80,91376
13,01-Jun-2023,EQ,1148.00,1155.15,1137.65,1145.10,1140.85,1141.90,1144.37,1156.65,877.35,1445692,1654411967.75,82196
14,31-May-2023,EQ,1134.80,1153.35,1132.10,1135.85,1144.00,1145.10,1145.58,1156.65,877.35,5967930,6836737975.45,133776
15,30-May-2023,EQ,1129.00,1144.00,1128.05,1126.20,1135.00,1135.85,1137.70,1156.65,877.35,1983735,2256904373.10,106415
16,29-May-2023,EQ,1146.00,1147.95,1124.40,1139.20,1127.80,1126.20,1131.15,1156.65,877.35,1288914,1457953796.90,62890
17,26-May-2023,EQ,1115.00,1140.35,1114.00,1116.00,1138.00,1139.20,1133.77,1156.65,877.35,1635167,1853897610.15,85626
18,25-May-2023,EQ,1109.20,1118.25,1103.05,1111.95,1116.90,1116.00,1112.59,1156.65,877.35,1124803,1251442829.80,52223
19,24-May-2023,EQ,1099.05,1115.00,1098.00,1107.35,1109.15,1111.95,1109.86,1156.65,877.35,1302744,1445866136.65,55272
20,23-May-2023,EQ,1120.00,1131.35,1104.00,1119.85,1105.00,1107.35,1120.40,1156.65,877.35,2138096,2395512529.25,104026
21,22-May-2023,EQ,1095.35,1121.90,1088.95,1095.35,1119.50,1119.85,1111.68,1156.65,877.35,1864932,2073206300.20,75538
22,19-May-2023,EQ,1088.60,1104.00,1082.45,1079.90,1094.00,1095.35,1096.99,1156.65,877.35,1984436,2176913033.20,63515
23,18-May-2023,EQ,1081.95,1085.00,1073.00,1074.55,1080.75,1079.90,1079.37,1156.65,877.35,1515743,1636042687.30,60625
24,17-May-2023,EQ,1090.50,1093.95,1062.70,1090.70,1075.95,1074.55,1073.08,1156.65,877.35,3602382,3865647209.30,115827
25,16-May-2023,EQ,1100.20,1105.30,1088.10,1099.75,1089.70,1090.70,1097.44,1156.65,877.35,1166324,1279973836.95,53041
