,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2653.95,2663.00,2631.40,2654.80,2657.90,2658.55,2649.28,2867.00,2062.10,5495069,14557973658.00,213400
1,19-Jun-2023,EQ,2664.05,2669.00,2647.15,2650.45,2655.45,2654.80,2660.03,2867.00,2062.10,5187085,13797810036.50,126625
2,16-Jun-2023,EQ,2630.00,2664.00,2626.05,2620.15,2650.95,2650.45,2640.16,2867.00,2026.00,11656470,30774979210.80,141657
3,15-Jun-2023,EQ,2647.75,2652.15,2618.00,2645.85,2619.65,2620.15,2633.76,2867.00,2026.00,3498981,9215486227.55,133342
4,14-Jun-2023,EQ,2651.00,2656.00,2640.80,2645.90,2646.00,2645.85,2650.16,2867.00,2026.00,4681618,12407044031.95,104610
5,13-Jun-2023,EQ,2636.75,2654.80,2634.90,2640.80,2653.00,2645.90,2644.89,2867.00,2026.00,5516136,14589584622.50,204702
6,12-Jun-2023,EQ,2660.00,2664.00,2638.80,2652.90,2642.75,2640.80,2644.79,2867.00,2026.00,3275459,8662895016.30,120137
7,09-Jun-2023,EQ,2664.00,2667.90,2646.85,2653.80,2652.35,2652.90,2659.01,2867.00,2026.00,4348281,11562120240.15,105203
8,08-Jun-2023,EQ,2636.10,2678.00,2636.10,2648.55,2655.00,2653.80,2663.12,2867.00,2026.00,2072748,5519984592.25,67668
9,07-Jun-2023,EQ,2642.75,2655.00,2631.60,2635.35,2654.00,2648.55,2642.27,2867.00,2026.00,2694134,7118630354.70,111118
10,06-Jun-2023,EQ,2645.95,2649.00,2624.85,2644.80,2641.60,2635.35,2634.68,2867.00,2026.00,4846536,12769047387.90,93140
11,05-Jun-2023,EQ,2658.00,2661.90,2642.00,2645.90,2644.00,2644.80,2653.04,2867.00,2026.00,4714971,12508983160.75,92945
12,02-Jun-2023,EQ,2651.50,2655.00,2634.55,2646.70,2641.85,2645.90,2644.61,2867.00,2026.00,4065864,10752611434.00,149323
13,01-Jun-2023,EQ,2670.00,2670.00,2638.80,2640.40,2645.15,2646.70,2657.69,2867.00,2026.00,3666667,9744871692.55,133117
14,31-May-2023,EQ,2678.00,2685.40,2637.10,2693.35,2644.70,2640.40,2643.97,2867.00,2026.00,17183308,45432117867.75,212195
15,30-May-2023,EQ,2685.20,2702.90,2672.60,2690.55,2701.00,2693.35,2684.80,2867.00,2026.00,4054695,10886037470.05,131169
16,29-May-2023,EQ,2682.00,2700.00,2674.60,2650.60,2690.00,2690.55,2692.38,2867.00,2026.00,3030616,8159581763.30,154903
