,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1604.15,1611.00,1590.65,1604.15,1609.40,1607.50,1599.68,1734.45,1294.15,10002813,16001291895.20,287119
1,19-Jun-2023,EQ,1611.00,1614.25,1598.35,1602.75,1604.90,1604.15,1606.00,1734.45,1294.15,12414573,19937759557.10,162051
2,16-Jun-2023,EQ,1587.15,1609.20,1584.00,1582.05,1602.50,1602.75,1598.25,1734.45,1271.60,7889636,12609594950.00,181546
3,15-Jun-2023,EQ,1604.00,1605.95,1579.00,1601.75,1580.55,1582.05,1590.41,1734.45,1271.60,17688738,28132406376.20,271848
4,14-Jun-2023,EQ,1610.45,1612.00,1600.20,1603.50,1601.75,1601.75,1606.76,1734.45,1271.60,10056984,16159116681.25,174004
5,13-Jun-2023,EQ,1590.10,1609.00,1590.10,1600.80,1607.95,1603.50,1602.57,1734.45,1271.60,13963054,22376805987.05,184386
6,12-Jun-2023,EQ,1612.55,1615.80,1599.45,1610.60,1600.90,1600.80,1604.34,1734.45,1271.60,6704146,10755748258.60,156138
7,09-Jun-2023,EQ,1615.90,1618.50,1607.00,1608.70,1609.50,1610.60,1613.79,1734.45,1271.60,9106289,14695639541.25,185235
8,08-Jun-2023,EQ,1603.25,1626.00,1603.25,1607.70,1608.35,1608.70,1617.05,1734.45,1271.60,18697761,30235256021.30,268888
9,07-Jun-2023,EQ,1603.45,1612.55,1596.00,1599.40,1611.50,1607.70,1602.11,1734.45,1271.60,12474513,19985540209.25,176230
10,06-Jun-2023,EQ,1607.65,1609.85,1592.25,1604.40,1605.00,1599.40,1598.09,1734.45,1271.60,16091426,25715616381.45,233706
11,05-Jun-2023,EQ,1614.50,1616.50,1602.45,1606.50,1604.05,1604.40,1610.46,1734.45,1271.60,9348621,15055621088.80,153663
12,02-Jun-2023,EQ,1612.45,1614.80,1601.00,1604.00,1605.50,1606.50,1607.62,1734.45,1271.60,8929855,14355801663.75,316938
13,01-Jun-2023,EQ,1619.90,1619.90,1600.00,1610.85,1601.00,1604.00,1612.23,1734.45,1271.60,25183469,40601423757.55,282772
14,31-May-2023,EQ,1629.90,1634.95,1604.65,1636.75,1611.20,1610.85,1613.25,1734.45,1271.60,21667135,34954511959.60,291055
15,30-May-2023,EQ,1633.60,1642.65,1628.55,1635.50,1640.80,1636.75,1633.96,1734.45,1271.60,18562964,30331162063.85,264829
16,29-May-2023,EQ,1628.50,1641.00,1624.85,1615.80,1630.00,1635.50,1636.20,1734.45,1271.60,10908146,17847915681.45,207071
