,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,627.0,644.85,624.2,626.55,643.9,643.7,639.16,644.85,457.8,10400684,6647706391.90,223638
1,19-Jun-2023,EQ,609.95,629.0,602.1,609.55,628.0,626.55,614.09,629.0,457.8,7087287,4352199638.30,147153
2,16-Jun-2023,EQ,577.8,615.0,576.6,578.15,610.2,609.55,604.73,620.6,457.8,11422524,6907527241.90,154233
3,15-Jun-2023,EQ,585.05,585.05,574.0,585.05,577.0,578.15,577.53,620.6,457.8,2074065,1197837794.15,46278
4,14-Jun-2023,EQ,584.8,589.45,581.8,584.8,583.8,585.05,585.67,620.6,457.8,5344073,3129846318.05,45800
5,13-Jun-2023,EQ,582.25,587.0,581.0,584.4,584.4,584.8,584.7,620.6,457.8,3288950,1923042625.60,45277
6,12-Jun-2023,EQ,585.95,591.0,581.45,581.7,584.85,584.4,585.51,620.6,457.8,3327440,1948235658.70,61103
7,09-Jun-2023,EQ,587.95,593.7,576.75,593.9,582.0,581.7,583.68,620.6,457.8,3023579,1764802025.75,65566
8,08-Jun-2023,EQ,594.45,597.4,589.8,594.45,595.0,593.9,594.51,620.6,457.8,1675907,996337955.40,47428
9,07-Jun-2023,EQ,583.0,595.5,582.7,579.7,595.2,594.45,592.15,620.6,457.8,3440284,2037160153.55,67541
10,06-Jun-2023,EQ,574.15,582.75,567.9,574.15,582.6,579.7,574.21,620.6,457.8,3334157,1914494896.50,77937
11,05-Jun-2023,EQ,578.05,580.95,573.0,576.4,573.2,574.15,575.95,620.6,457.8,2230529,1284670486.00,55141
12,02-Jun-2023,EQ,585.3,586.0,572.95,582.2,576.1,576.4,577.8,620.6,457.8,3192761,1844793257.30,67255
13,01-Jun-2023,EQ,593.45,594.45,581.0,592.35,581.0,582.2,586.81,620.6,457.8,1659264,973678090.05,51264
14,31-May-2023,EQ,603.0,603.7,584.25,585.15,593.3,592.35,592.04,620.6,457.8,10027475,5936681163.20,109999
15,30-May-2023,EQ,576.0,589.0,571.0,579.05,589.0,585.15,577.66,620.6,457.8,2653926,1533060765.45,56274
16,29-May-2023,EQ,577.3,588.45,575.0,577.2,578.7,579.05,581.85,620.6,457.8,2794717,1626116224.55,64398
17,26-May-2023,EQ,572.0,578.85,569.35,572.05,577.0,577.2,574.51,620.6,457.8,1467444,843056721.10,40819
18,25-May-2023,EQ,566.0,573.7,563.05,566.0,573.0,572.05,570.02,620.6,457.8,1307797,745476917.15,27422
19,24-May-2023,EQ,562.6,571.95,558.9,562.7,567.0,566.0,566.21,620.6,457.8,1529396,865962417.45,34078
20,23-May-2023,EQ,567.7,573.75,561.15,567.0,562.6,562.7,565.81,620.6,457.8,3425506,1938176341.50,72221
21,22-May-2023,EQ,557.0,569.2,554.5,557.6,565.55,567.0,564.72,620.6,457.8,1975841,1115789080.15,40134
22,19-May-2023,EQ,564.9,564.9,554.95,561.55,556.95,557.6,558.31,620.6,457.8,1484899,829040088.85,33676
23,18-May-2023,EQ,564.0,568.8,559.3,560.1,562.35,561.55,564.33,620.6,457.8,1745334,984946003.05,40777
24,17-May-2023,EQ,562.0,562.75,552.4,559.5,557.95,560.1,557.75,620.6,457.8,1395385,778269850.70,41302
25,16-May-2023,EQ,562.2,563.5,554.0,559.3,559.25,559.5,558.51,620.6,457.8,3027008,1690615281.45,78078
26,15-May-2023,EQ,559.9,563.05,556.3,560.65,559.0,559.3,559.26,620.6,457.8,1984609,1109920776.25,52818
