,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2775.00,2809.60,2745.05,2782.60,2803.50,2800.70,2777.32,3026.00,2246.00,872568,2423399803.25,54270
1,19-Jun-2023,EQ,2820.00,2827.70,2777.05,2832.05,2782.55,2782.60,2793.31,3026.00,2246.00,671364,1875327169.15,65015
2,16-Jun-2023,EQ,2843.00,2844.90,2805.00,2843.05,2835.00,2832.05,2826.91,3026.00,2246.00,1029235,2909550719.20,80966
3,15-Jun-2023,EQ,2939.90,2961.40,2810.00,2931.60,2826.65,2843.05,2880.70,3026.00,2246.00,951322,2740475549.05,63998
4,14-Jun-2023,EQ,2952.45,2967.55,2923.65,2952.45,2928.00,2931.60,2936.28,3026.00,2246.00,304861,895156378.45,25942
5,13-Jun-2023,EQ,2917.00,2955.90,2904.05,2930.40,2951.00,2952.45,2936.23,3026.00,2246.00,973087,2857203989.70,54656
6,12-Jun-2023,EQ,2906.30,2938.25,2878.10,2899.30,2925.00,2930.40,2916.44,3026.00,2246.00,617327,1800396082.30,34519
7,09-Jun-2023,EQ,2987.90,3025.00,2887.30,2964.80,2900.00,2899.30,2949.31,3026.00,2246.00,826404,2437321012.25,51952
8,08-Jun-2023,EQ,2977.55,3026.00,2948.20,2958.00,2966.95,2964.80,2989.22,3026.00,2246.00,1150017,3437652042.05,78125
9,07-Jun-2023,EQ,2917.95,2979.00,2907.10,2904.80,2959.00,2958.00,2951.71,2979.00,2246.00,996180,2940435043.95,65187
10,06-Jun-2023,EQ,2870.00,2912.00,2860.95,2870.60,2910.70,2904.80,2899.46,2938.60,2246.00,729992,2116580897.15,46827
11,05-Jun-2023,EQ,2910.05,2919.80,2865.00,2892.65,2865.00,2870.60,2887.77,2938.60,2246.00,620625,1792220873.05,32479
12,02-Jun-2023,EQ,2836.00,2912.65,2836.00,2800.40,2887.00,2892.65,2880.60,2938.60,2246.00,2090599,6022172448.90,105609
13,01-Jun-2023,EQ,2758.85,2812.65,2746.85,2759.90,2802.00,2800.40,2794.65,2938.60,2246.00,552629,1544404746.40,47977
14,31-May-2023,EQ,2779.05,2787.00,2739.05,2779.15,2760.90,2759.90,2761.72,2938.60,2246.00,773286,2135596503.55,30663
15,30-May-2023,EQ,2776.85,2795.00,2760.20,2776.90,2772.40,2779.15,2778.70,2938.60,2246.00,399817,1110969990.75,33048
16,29-May-2023,EQ,2760.00,2794.80,2736.05,2745.15,2768.55,2776.90,2766.70,2938.60,2246.00,462628,1279952274.05,25263
17,26-May-2023,EQ,2734.45,2749.90,2713.60,2732.80,2744.90,2745.15,2739.70,2938.60,2246.00,167210,458105587.85,14552
18,25-May-2023,EQ,2738.95,2759.00,2709.05,2738.70,2734.50,2732.80,2734.04,2938.60,2246.00,208718,570642413.90,19610
19,24-May-2023,EQ,2711.00,2744.75,2706.00,2710.45,2735.05,2738.70,2731.10,2938.60,2246.00,402069,1098091786.95,26747
20,23-May-2023,EQ,2692.15,2718.15,2674.05,2692.15,2713.00,2710.45,2699.69,2938.60,2246.00,224454,605956619.70,19975
21,22-May-2023,EQ,2710.55,2722.00,2681.10,2713.00,2691.00,2692.15,2698.71,2938.60,2246.00,241924,652882046.45,24844
22,19-May-2023,EQ,2740.65,2744.05,2667.20,2735.15,2712.65,2713.00,2706.25,2938.60,2246.00,458137,1239834205.15,32857
23,18-May-2023,EQ,2745.05,2759.15,2724.25,2722.95,2724.25,2735.15,2744.21,2938.60,2246.00,610410,1675095654.85,30936
24,17-May-2023,EQ,2688.95,2766.40,2682.40,2686.00,2722.00,2722.95,2726.66,2938.60,2246.00,1169727,3189446459.70,77261
25,16-May-2023,EQ,2699.95,2717.55,2680.55,2691.90,2689.00,2686.00,2699.43,2938.60,2246.00,602177,1625534070.00,33866
26,15-May-2023,EQ,2627.00,2720.00,2606.00,2605.90,2685.00,2691.90,2678.31,2938.60,2246.00,1383562,3705603719.15,81913
27,12-May-2023,EQ,2595.00,2614.00,2586.20,2585.45,2601.10,2605.90,2602.96,2938.60,2246.00,718178,1869391875.65,42989
28,11-May-2023,EQ,2600.00,2604.00,2575.05,2586.05,2585.00,2585.45,2585.86,2938.60,2246.00,506829,1310590836.70,31626
29,10-May-2023,EQ,2600.00,2604.15,2572.10,2591.55,2590.00,2586.05,2582.67,2938.60,2246.00,549062,1418044440.70,26932
30,09-May-2023,EQ,2587.45,2604.00,2575.25,2576.35,2585.10,2591.55,2595.42,2938.60,2246.00,556418,1444140611.85,24814
31,08-May-2023,EQ,2566.00,2592.00,2566.00,2547.25,2572.55,2576.35,2577.19,2938.60,2246.00,855245,2204127340.75,43009
32,05-May-2023,EQ,2537.00,2562.00,2512.55,2514.50,2542.00,2547.25,2537.35,2938.60,2246.00,1527593,3876042458.05,60924
