,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,426.15,433.25,423.05,426.15,429.0,428.95,429.48,504.0,308.95,5090801,2186406492.10,77456
1,19-Jun-2023,EQ,424.25,432.0,423.05,426.95,426.5,426.15,427.75,504.0,308.95,3950931,1690022764.50,61186
2,16-Jun-2023,EQ,427.7,431.45,425.8,423.05,426.95,426.95,428.54,504.0,308.95,7931068,3398812222.25,85951
3,15-Jun-2023,EQ,424.9,425.65,420.75,425.05,422.95,423.05,423.02,504.0,308.95,4863359,2057281527.10,65944
4,14-Jun-2023,EQ,427.0,430.0,424.15,421.4,424.5,425.05,426.62,504.0,308.95,7213168,3077251192.65,88806
5,13-Jun-2023,EQ,419.0,424.0,416.9,416.8,421.45,421.4,420.96,504.0,308.95,4247391,1787984412.05,49464
6,12-Jun-2023,EQ,417.95,421.0,414.0,415.05,417.6,416.8,417.51,504.0,308.95,2813911,1174841110.50,47195
7,09-Jun-2023,EQ,421.85,421.85,414.5,418.25,414.9,415.05,416.17,504.0,308.95,3518826,1464417355.65,57660
8,08-Jun-2023,EQ,423.95,425.7,417.7,422.6,419.0,418.25,421.9,504.0,308.95,5571023,2350403249.45,78847
9,07-Jun-2023,EQ,418.0,423.7,413.85,415.55,422.05,422.6,418.69,504.0,308.95,6911473,2893791128.30,63740
10,06-Jun-2023,EQ,419.7,422.0,413.8,419.7,416.1,415.55,416.69,504.0,308.95,4383684,1826633300.40,54077
11,05-Jun-2023,EQ,424.85,426.0,418.4,420.75,419.3,419.7,420.71,504.0,308.95,8039709,3382382134.70,78727
12,02-Jun-2023,EQ,412.05,421.9,412.05,406.35,420.3,420.75,417.07,504.0,308.95,11695310,4877809960.25,97308
13,01-Jun-2023,EQ,409.05,414.4,405.9,405.9,406.75,406.35,408.99,504.0,308.95,4269628,1746232236.15,47238
14,31-May-2023,EQ,410.5,410.7,404.35,413.1,407.5,405.9,406.53,504.0,308.95,22945527,9328094378.75,123809
15,30-May-2023,EQ,421.5,421.5,411.6,419.9,413.65,413.1,414.49,504.0,308.95,5596603,2319716532.05,61382
16,29-May-2023,EQ,417.0,425.0,415.5,413.55,419.7,419.9,421.53,504.0,308.95,8350721,3520113002.60,88755
17,26-May-2023,EQ,405.1,415.3,403.1,404.25,413.05,413.55,411.73,504.0,308.95,6401768,2635831537.85,66466
18,25-May-2023,EQ,404.5,405.75,397.8,406.9,403.8,404.25,402.02,504.0,308.95,8018242,3223527091.55,89409
19,24-May-2023,EQ,408.9,410.5,403.6,410.3,406.95,406.9,406.76,504.0,308.95,7866105,3199590706.75,79246
20,23-May-2023,EQ,409.2,413.8,406.9,407.7,409.95,410.3,411.06,504.0,308.95,3690618,1517077228.60,59567
21,22-May-2023,EQ,406.0,409.0,402.7,406.75,409.0,407.7,405.6,504.0,308.95,4237198,1718595781.75,53803
22,19-May-2023,EQ,408.0,408.4,400.4,406.5,407.75,406.75,404.35,504.0,308.95,5523299,2233343357.80,67823
23,18-May-2023,EQ,411.0,413.4,405.65,407.7,407.9,406.5,409.43,504.0,308.95,4078918,1670046145.95,55184
24,17-May-2023,EQ,411.8,413.4,405.55,412.45,408.0,407.7,408.53,504.0,308.95,3727878,1522955911.00,53533
25,16-May-2023,EQ,413.6,417.7,411.0,410.7,412.8,412.45,413.85,504.0,308.95,4010692,1659840199.15,50722
26,15-May-2023,EQ,408.5,412.85,404.35,404.75,410.8,410.7,409.34,504.0,308.95,5148782,2107596874.20,67218
27,12-May-2023,EQ,419.0,419.0,403.8,420.85,405.8,404.75,407.78,504.0,308.95,11152831,4547850440.90,182872
28,11-May-2023,EQ,434.0,434.0,419.55,436.45,421.2,420.85,422.11,504.0,308.95,11081500,4677557040.85,183327
29,10-May-2023,EQ,441.0,442.85,433.65,440.35,438.05,436.45,437.92,504.0,308.95,3075599,1346854339.85,35645
30,09-May-2023,EQ,444.55,446.7,439.2,445.05,440.9,440.35,442.66,504.0,308.95,2941913,1302276932.45,40484
31,08-May-2023,EQ,438.25,446.9,436.2,434.25,445.55,445.05,443.1,504.0,308.95,4090222,1812382981.90,49994
32,05-May-2023,EQ,443.0,443.5,432.65,445.5,435.0,434.25,438.78,504.0,308.95,3034975,1331687415.15,49867
33,04-May-2023,EQ,445.0,446.45,440.5,442.3,444.8,445.5,444.73,504.0,308.95,3100187,1378756605.65,48003
34,03-May-2023,EQ,441.0,443.9,434.25,446.15,441.5,442.3,439.27,504.0,308.95,4826725,2120240166.60,62551
