,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2670.00,2680.40,2648.10,2683.25,2677.35,2676.10,2667.41,2741.60,2108.15,1129279,3012245307.85,79624
1,19-Jun-2023,EQ,2702.00,2711.40,2675.00,2715.65,2689.25,2683.25,2689.35,2741.60,2108.15,1068263,2872932753.15,63172
2,16-Jun-2023,EQ,2689.70,2724.00,2683.20,2689.70,2714.25,2715.65,2707.57,2741.60,2100.00,1748145,4733228330.20,88442
3,15-Jun-2023,EQ,2713.95,2717.50,2678.15,2698.75,2688.30,2689.70,2694.57,2741.60,2100.00,1830192,4931575355.70,106076
4,14-Jun-2023,EQ,2671.00,2702.10,2652.00,2675.90,2698.95,2698.75,2680.19,2741.60,2100.00,1536248,4117431067.65,133627
5,13-Jun-2023,EQ,2629.60,2697.00,2627.50,2643.45,2669.00,2675.90,2679.44,2741.60,2100.00,1787924,4790643710.70,100297
6,12-Jun-2023,EQ,2645.00,2657.00,2633.00,2636.20,2649.80,2643.45,2645.66,2741.60,2100.00,775484,2051667744.60,59571
7,09-Jun-2023,EQ,2688.95,2688.95,2620.10,2679.90,2639.95,2636.20,2641.03,2741.60,2100.00,1413808,3733916115.35,94529
8,08-Jun-2023,EQ,2707.00,2721.55,2674.90,2716.20,2677.65,2679.90,2690.37,2741.60,2100.00,923536,2484652686.85,71040
9,07-Jun-2023,EQ,2690.00,2727.00,2679.35,2691.15,2709.00,2716.20,2713.95,2741.60,2100.00,1428490,3876846606.35,81231
10,06-Jun-2023,EQ,2700.00,2707.90,2670.15,2695.80,2693.00,2691.15,2685.00,2741.60,2100.00,655372,1759676340.00,45982
11,05-Jun-2023,EQ,2716.45,2722.00,2684.15,2716.70,2702.00,2695.80,2695.82,2741.60,2100.00,1000190,2696336058.55,77118
12,02-Jun-2023,EQ,2710.00,2738.20,2691.65,2697.90,2711.05,2716.70,2722.86,2741.60,2100.00,1509260,4109506199.55,95015
13,01-Jun-2023,EQ,2667.00,2731.25,2654.50,2667.55,2691.00,2697.90,2705.75,2741.60,2100.00,1541080,4169783905.90,123682
14,31-May-2023,EQ,2656.55,2680.00,2638.00,2656.55,2667.65,2667.55,2663.64,2741.60,2100.00,3388305,9025215313.35,105365
15,30-May-2023,EQ,2655.50,2665.00,2650.85,2650.30,2655.00,2656.55,2658.52,2741.60,2100.00,948051,2520410983.00,63135
16,29-May-2023,EQ,2670.00,2679.55,2645.05,2652.35,2649.50,2650.30,2662.94,2741.60,2100.00,698267,1859444941.95,53571
17,26-May-2023,EQ,2603.75,2656.70,2603.10,2597.25,2652.05,2652.35,2630.25,2741.60,2100.00,947073,2491037808.50,52677
18,25-May-2023,EQ,2610.00,2626.15,2580.55,2614.95,2598.05,2597.25,2595.97,2741.60,2100.00,1072231,2783479757.80,55384
19,24-May-2023,EQ,2620.00,2638.00,2608.00,2628.30,2615.35,2614.95,2620.03,2741.60,2100.00,628872,1647666150.90,62129
20,23-May-2023,EQ,2632.00,2649.80,2625.00,2638.10,2631.85,2628.30,2635.01,2741.60,2100.00,703864,1854688998.70,95345
21,22-May-2023,EQ,2635.00,2655.45,2623.05,2641.45,2636.00,2638.10,2640.05,2741.60,2100.00,768232,2028173313.50,44256
22,19-May-2023,EQ,2628.65,2649.00,2600.65,2627.55,2641.00,2641.45,2623.50,2741.60,2100.00,1174757,3081969403.45,85683
23,18-May-2023,EQ,2665.50,2669.20,2621.85,2661.75,2627.00,2627.55,2640.55,2741.60,2100.00,1434067,3786723826.60,94635
24,17-May-2023,EQ,2672.00,2674.00,2647.05,2675.90,2659.10,2661.75,2663.18,2741.60,2100.00,839404,2235485781.50,82314
25,16-May-2023,EQ,2670.00,2678.40,2650.60,2662.25,2670.10,2675.90,2667.98,2741.60,2100.00,1477905,3943016050.35,83726
26,15-May-2023,EQ,2637.95,2670.75,2623.05,2623.40,2659.10,2662.25,2656.23,2741.60,2100.00,1561055,4146528318.20,171332
27,12-May-2023,EQ,2594.00,2640.00,2586.40,2592.40,2619.05,2623.40,2621.43,2741.60,2100.00,2170011,5688530941.25,150578
28,11-May-2023,EQ,2536.95,2599.00,2523.60,2522.70,2590.00,2592.40,2566.19,2741.60,2100.00,1749356,4489171358.20,106466
29,10-May-2023,EQ,2521.00,2535.00,2505.85,2515.80,2518.30,2522.70,2524.64,2741.60,2100.00,2025658,5114064638.75,90860
30,09-May-2023,EQ,2525.00,2525.00,2500.05,2516.30,2514.00,2515.80,2510.45,2741.60,2100.00,1651327,4145581417.15,83682
31,08-May-2023,EQ,2505.75,2526.85,2497.15,2500.75,2516.95,2516.30,2516.56,2741.60,2100.00,972810,2448131241.50,72102
32,05-May-2023,EQ,2500.00,2520.00,2494.70,2506.75,2501.20,2500.75,2506.34,2741.60,2100.00,1354871,3395766308.10,115127
33,04-May-2023,EQ,2486.95,2509.35,2480.15,2486.00,2502.50,2506.75,2496.17,2741.60,2100.00,1150227,2871161275.30,120976
34,03-May-2023,EQ,2456.95,2490.00,2452.65,2451.70,2485.20,2486.00,2478.84,2741.60,2100.00,1258140,3118730037.90,79036
35,02-May-2023,EQ,2471.80,2478.00,2450.00,2457.30,2450.90,2451.70,2459.83,2741.60,2100.00,1760370,4330219495.00,107548
36,28-Apr-2023,EQ,2436.05,2467.80,2419.00,2468.95,2458.00,2457.30,2437.60,2741.60,2047.00,3761927,9170072491.45,167242
37,27-Apr-2023,EQ,2513.95,2522.00,2457.00,2510.80,2469.00,2468.95,2475.66,2741.60,2047.00,2743893,6792941414.45,166075
38,26-Apr-2023,EQ,2490.00,2518.00,2482.20,2490.45,2514.95,2510.80,2501.52,2741.60,2047.00,1245903,3116647281.95,64383
39,25-Apr-2023,EQ,2490.85,2499.75,2478.05,2499.75,2489.00,2490.45,2487.49,2741.60,2047.00,1701098,4231471669.80,87717
40,24-Apr-2023,EQ,2502.00,2504.90,2475.10,2497.95,2500.60,2499.75,2489.60,2741.60,2047.00,1735797,4321438862.05,71482
41,21-Apr-2023,EQ,2492.00,2509.50,2485.65,2492.60,2499.85,2497.95,2495.33,2741.60,2047.00,1206288,3010085613.00,83359
42,20-Apr-2023,EQ,2517.80,2532.40,2480.00,2531.60,2493.15,2492.60,2500.80,2741.60,2047.00,1401364,3504524469.00,72949
43,19-Apr-2023,EQ,2548.00,2548.00,2510.25,2541.05,2523.50,2531.60,2525.19,2741.60,2047.00,1320243,3333869919.70,65279
44,18-Apr-2023,EQ,2560.00,2560.00,2530.00,2551.85,2538.25,2541.05,2542.15,2741.60,2047.00,1474786,3749130497.60,84791
45,17-Apr-2023,EQ,2573.00,2579.00,2541.40,2536.20,2555.50,2551.85,2557.27,2741.60,2047.00,1566977,4007182805.45,91781
46,13-Apr-2023,EQ,2525.00,2562.35,2525.00,2528.95,2535.40,2536.20,2541.30,2741.60,2047.00,1261711,3206388025.70,78639
47,12-Apr-2023,EQ,2556.00,2556.00,2518.65,2547.75,2528.10,2528.95,2529.02,2741.60,2047.00,1109809,2806727413.05,92129
48,11-Apr-2023,EQ,2540.00,2555.00,2533.00,2532.15,2546.00,2547.75,2543.09,2741.60,2047.00,913184,2322310096.45,68971
49,10-Apr-2023,EQ,2565.25,2568.95,2525.00,2565.25,2527.80,2532.15,2546.59,2741.60,2047.00,853322,2173057800.05,36659
50,06-Apr-2023,EQ,2575.00,2585.00,2553.00,2582.75,2564.00,2565.25,2567.62,2741.60,2047.00,797414,2047458431.45,51787
51,05-Apr-2023,EQ,2512.50,2588.55,2502.00,2536.10,2584.00,2582.75,2554.88,2741.60,2047.00,1489612,3805785771.30,77776
52,03-Apr-2023,EQ,2570.00,2570.00,2515.05,2560.35,2535.00,2536.10,2531.20,2741.60,2047.00,918048,2323761361.80,92564
53,31-Mar-2023,EQ,2558.80,2568.45,2516.55,2530.85,2560.00,2560.35,2548.07,2741.60,1931.30,2146167,5468590097.90,153560
54,29-Mar-2023,EQ,2485.00,2539.80,2480.05,2482.80,2532.15,2530.85,2513.62,2741.60,1931.30,2613254,6568729600.40,123198
55,28-Mar-2023,EQ,2509.80,2513.50,2471.90,2499.00,2476.00,2482.80,2491.63,2741.60,1931.30,1412387,3519151667.90,60042
56,27-Mar-2023,EQ,2485.00,2505.00,2464.00,2480.80,2490.80,2499.00,2491.61,2741.60,1931.30,1387736,3457696951.15,65834
57,24-Mar-2023,EQ,2472.20,2497.90,2470.00,2485.10,2483.00,2480.80,2483.09,2741.60,1931.30,1449326,3598808934.35,55243
58,23-Mar-2023,EQ,2475.00,2500.05,2466.00,2476.35,2488.00,2485.10,2485.62,2741.60,1931.30,1578627,3923866617.10,77464
59,22-Mar-2023,EQ,2472.60,2481.40,2454.40,2462.60,2475.05,2476.35,2468.11,2741.60,1931.30,1063244,2624202747.00,58414
60,21-Mar-2023,EQ,2515.00,2523.25,2458.75,2511.20,2464.00,2462.60,2486.91,2741.60,1931.30,1595161,3967016170.30,90098
61,20-Mar-2023,EQ,2447.40,2516.65,2425.00,2447.40,2508.90,2511.20,2480.06,2741.60,1931.30,1561128,3871690543.00,100432
62,17-Mar-2023,EQ,2471.65,2483.20,2439.80,2459.35,2454.95,2447.40,2452.96,2741.60,1931.30,2127178,5217875153.85,94990
63,16-Mar-2023,EQ,2424.95,2469.30,2407.75,2406.10,2465.00,2459.35,2448.65,2741.60,1931.30,1628035,3986489401.05,109665
64,15-Mar-2023,EQ,2451.90,2459.50,2393.00,2442.45,2406.95,2406.10,2411.58,2741.60,1931.30,1738040,4191429155.50,162260
65,14-Mar-2023,EQ,2462.00,2472.00,2439.75,2455.10,2444.00,2442.45,2452.43,2741.60,1931.30,1250763,3067403667.15,59372
66,13-Mar-2023,EQ,2466.00,2488.50,2445.00,2465.45,2454.90,2455.10,2461.28,2741.60,1931.30,1314549,3235471319.15,63432
67,10-Mar-2023,EQ,2450.00,2470.50,2445.10,2461.40,2461.65,2465.45,2461.96,2741.60,1901.55,772024,1900691642.90,68390
68,09-Mar-2023,EQ,2484.85,2491.95,2456.90,2485.10,2460.80,2461.40,2465.22,2741.60,1901.55,1038910,2561145825.85,59393
69,08-Mar-2023,EQ,2487.00,2501.40,2467.20,2484.85,2480.00,2485.10,2488.00,2741.60,1901.55,1448340,3603464645.25,78917
70,06-Mar-2023,EQ,2481.95,2498.85,2475.60,2471.00,2486.00,2484.85,2486.99,2741.60,1901.55,1214503,3020451109.30,41492
71,03-Mar-2023,EQ,2466.00,2489.90,2455.65,2455.35,2470.50,2471.00,2473.33,2741.60,1901.55,1176008,2908656103.10,68037
72,02-Mar-2023,EQ,2466.25,2470.00,2444.00,2466.25,2459.95,2455.35,2452.13,2741.60,1901.55,827174,2028336842.25,78026
73,01-Mar-2023,EQ,2458.00,2470.00,2448.00,2460.65,2464.00,2466.25,2461.63,2741.60,1901.55,967339,2381231435.00,80990
74,28-Feb-2023,EQ,2469.75,2474.35,2435.65,2468.15,2458.15,2460.65,2454.60,2741.60,1901.55,1780454,4370294392.75,77512
75,27-Feb-2023,EQ,2487.00,2487.00,2456.00,2484.20,2468.00,2468.15,2469.90,2741.60,1901.55,853991,2109273803.85,71873
76,24-Feb-2023,EQ,2492.20,2511.25,2471.95,2490.65,2484.00,2484.20,2488.91,2741.60,1901.55,732783,1823832117.95,45615
77,23-Feb-2023,EQ,2492.00,2515.90,2480.10,2494.05,2490.25,2490.65,2498.43,2741.60,1901.55,757215,1891850688.70,72488
78,22-Feb-2023,EQ,2516.15,2523.55,2482.75,2516.15,2494.00,2494.05,2495.22,2741.60,1901.55,885515,2209553235.80,55437
79,21-Feb-2023,EQ,2528.00,2543.95,2512.30,2511.45,2517.00,2516.15,2524.10,2741.60,1901.55,862797,2177786404.70,60088
80,20-Feb-2023,EQ,2518.00,2543.00,2508.20,2515.50,2511.75,2511.45,2521.69,2741.60,1901.55,632091,1593934612.35,50793
81,17-Feb-2023,EQ,2525.00,2546.25,2506.90,2527.10,2515.00,2515.50,2517.36,2741.60,1901.55,1395341,3512577165.90,94613
82,16-Feb-2023,EQ,2560.00,2561.90,2522.85,2548.45,2527.80,2527.10,2533.92,2741.60,1901.55,1982857,5024403488.35,140263
83,15-Feb-2023,EQ,2550.00,2571.80,2537.00,2579.60,2548.00,2548.45,2547.17,2741.60,1901.55,2009134,5117602318.90,84380
84,14-Feb-2023,EQ,2585.00,2602.00,2570.20,2581.00,2577.55,2579.60,2587.94,2741.60,1901.55,1944364,5031906253.35,91466
85,13-Feb-2023,EQ,2560.00,2590.75,2550.00,2577.50,2576.05,2581.00,2574.16,2741.60,1901.55,1146525,2951339887.40,73033
86,10-Feb-2023,EQ,2585.00,2586.65,2555.35,2586.70,2575.00,2577.50,2568.70,2741.60,1901.55,1523011,3912150918.65,117066
87,09-Feb-2023,EQ,2587.00,2599.90,2566.00,2582.80,2588.60,2586.70,2585.29,2741.60,1901.55,1102484,2850241407.15,64253
88,08-Feb-2023,EQ,2592.70,2607.50,2578.35,2601.20,2583.00,2582.80,2588.60,2741.60,1901.55,1061956,2748975562.05,70690
89,07-Feb-2023,EQ,2645.00,2645.55,2595.30,2637.60,2597.00,2601.20,2610.48,2741.60,1901.55,1495745,3904618265.20,108676
90,06-Feb-2023,EQ,2631.00,2645.00,2599.75,2648.75,2640.00,2637.60,2615.67,2741.60,1901.55,1697446,4439961370.70,114120
91,03-Feb-2023,EQ,2640.00,2657.45,2631.15,2634.85,2643.35,2648.75,2640.92,2741.60,1901.55,1638238,4326462729.65,85326
92,02-Feb-2023,EQ,2569.50,2639.75,2563.00,2574.25,2630.05,2634.85,2611.74,2741.60,1901.55,1980667,5172981190.80,134019
93,01-Feb-2023,EQ,2600.20,2603.00,2546.85,2576.75,2572.85,2574.25,2579.88,2741.60,1901.55,2014615,5197472230.70,143472
94,31-Jan-2023,EQ,2568.00,2590.20,2541.20,2568.15,2576.65,2576.75,2564.72,2741.60,1901.55,2366794,6070171128.15,152862
95,30-Jan-2023,EQ,2610.00,2610.00,2530.20,2612.15,2572.90,2568.15,2554.73,2741.60,1901.55,2744039,7010288838.05,160008
96,27-Jan-2023,EQ,2635.50,2646.55,2578.20,2622.35,2607.55,2612.15,2600.56,2741.60,1901.55,1581382,4112482858.10,130908
97,25-Jan-2023,EQ,2600.50,2642.00,2594.00,2600.50,2630.00,2622.35,2621.54,2741.60,1901.55,1591810,4172989143.80,96835
98,24-Jan-2023,EQ,2604.00,2610.00,2580.80,2596.40,2594.70,2600.50,2598.06,2741.60,1901.55,1462462,3799557675.80,93125
99,23-Jan-2023,EQ,2560.00,2604.00,2552.00,2548.75,2595.70,2596.40,2585.75,2741.60,1901.55,1388360,3589956017.45,95711
100,20-Jan-2023,EQ,2550.00,2605.00,2536.05,2649.75,2550.00,2548.75,2565.58,2741.60,1901.55,4569549,11723536241.85,209455
101,19-Jan-2023,EQ,2670.10,2679.30,2611.90,2686.20,2643.05,2649.75,2639.52,2741.60,1901.55,1649842,4354784861.55,97437
102,18-Jan-2023,EQ,2668.00,2693.50,2660.00,2667.55,2684.00,2686.20,2682.99,2741.60,1901.55,2038075,5468140246.95,105363
103,17-Jan-2023,EQ,2605.45,2675.00,2601.80,2597.10,2668.00,2667.55,2655.63,2741.60,1901.55,1892865,5026748839.20,127944
104,16-Jan-2023,EQ,2627.95,2627.95,2584.00,2624.00,2601.00,2597.10,2601.44,2741.60,1901.55,930068,2419512759.55,82869
105,13-Jan-2023,EQ,2590.20,2639.25,2566.65,2590.05,2620.60,2624.00,2615.01,2741.60,1901.55,1348015,3525075698.45,114021
106,12-Jan-2023,EQ,2586.10,2602.60,2572.75,2593.25,2583.05,2590.05,2584.88,2741.60,1901.55,1703829,4404190179.20,87992
107,11-Jan-2023,EQ,2644.00,2647.85,2588.10,2643.85,2592.30,2593.25,2602.76,2741.60,1901.55,1471687,3830441708.95,103493
108,10-Jan-2023,EQ,2624.05,2653.35,2615.10,2624.05,2637.85,2643.85,2638.34,2741.60,1901.55,1413088,3728201168.65,96798
109,09-Jan-2023,EQ,2589.35,2629.45,2570.00,2576.45,2620.55,2624.05,2608.29,2741.60,1901.55,1267078,3304906650.05,99687
110,06-Jan-2023,EQ,2580.00,2611.90,2574.90,2583.70,2579.80,2576.45,2588.32,2741.60,1901.55,991782,2567047566.00,84390
111,05-Jan-2023,EQ,2537.55,2591.95,2537.50,2536.10,2585.75,2583.70,2569.64,2741.60,1901.55,2008493,5161096029.45,120887
112,04-Jan-2023,EQ,2550.50,2558.40,2527.05,2542.05,2532.50,2536.10,2537.48,2741.60,1901.55,1672649,4244314736.40,73625
113,03-Jan-2023,EQ,2550.05,2562.00,2535.00,2558.40,2543.50,2542.05,2546.07,2741.60,1901.55,821843,2092473388.50,60502
114,02-Jan-2023,EQ,2573.90,2580.05,2538.05,2561.05,2556.25,2558.40,2555.10,2741.60,1901.55,681703,1741816989.15,48706
115,30-Dec-2022,EQ,2579.95,2586.45,2555.20,2568.05,2564.00,2561.05,2567.79,2741.60,1901.55,696432,1788293739.00,55969
116,29-Dec-2022,EQ,2580.25,2583.30,2539.40,2583.60,2581.00,2568.05,2556.06,2741.60,1901.55,1345863,3440106284.65,82377
117,28-Dec-2022,EQ,2593.00,2603.10,2578.10,2593.25,2584.90,2583.60,2585.38,2741.60,1901.55,822651,2126862654.75,44625
118,27-Dec-2022,EQ,2625.00,2634.90,2575.25,2617.45,2593.00,2593.25,2595.57,2741.60,1901.55,870960,2260637492.85,62058
119,26-Dec-2022,EQ,2620.95,2637.85,2606.75,2621.10,2617.55,2617.45,2623.58,2741.60,1901.55,605144,1587643203.35,52875
120,23-Dec-2022,EQ,2632.00,2649.55,2608.05,2645.35,2630.85,2621.10,2625.72,2741.60,1901.55,1189702,3123825737.45,73994
121,22-Dec-2022,EQ,2676.50,2688.50,2642.00,2666.20,2642.00,2645.35,2657.23,2741.60,1901.55,852567,2265463357.05,58992
122,21-Dec-2022,EQ,2687.95,2695.15,2650.10,2674.55,2667.35,2666.20,2664.88,2741.60,1901.55,779092,2076187881.00,64412
123,20-Dec-2022,EQ,2706.00,2706.05,2653.25,2718.10,2675.00,2674.55,2670.02,2741.60,1901.55,827567,2209622969.50,60040
124,19-Dec-2022,EQ,2671.30,2720.00,2671.30,2671.30,2713.20,2718.10,2704.60,2741.60,1901.55,1546941,4183850715.80,111844
125,16-Dec-2022,EQ,2668.00,2687.70,2653.30,2663.25,2674.00,2671.30,2669.45,2741.60,1901.55,1793864,4788625001.15,87208
126,15-Dec-2022,EQ,2668.35,2683.25,2648.45,2684.65,2655.70,2663.25,2660.55,2741.60,1901.55,990722,2635867590.80,69104
127,14-Dec-2022,EQ,2720.00,2720.00,2671.35,2710.30,2687.00,2684.65,2691.78,2741.60,1901.55,886858,2387230176.95,66543
128,13-Dec-2022,EQ,2717.00,2720.00,2697.80,2717.25,2709.40,2710.30,2711.07,2741.60,1901.55,1265839,3431780253.65,76874
