,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,920.95,928.55,914.8,923.15,928.2,925.55,919.93,958.85,677.6,15212286,13994175555.45,287355
1,19-Jun-2023,EQ,933.5,933.95,918.7,934.2,922.35,923.15,923.17,958.85,677.6,19351375,17864588448.55,282056
2,16-Jun-2023,EQ,929.3,937.75,927.0,926.6,934.05,934.2,932.02,958.85,669.95,11249387,10484657237.25,166192
3,15-Jun-2023,EQ,940.7,942.95,924.35,939.8,927.0,926.6,932.03,958.85,669.95,19366819,18050535655.75,196189
4,14-Jun-2023,EQ,946.05,946.95,936.25,943.55,939.15,939.8,938.69,958.85,669.95,13489262,12662298905.90,161261
5,13-Jun-2023,EQ,935.9,946.25,934.1,935.95,943.75,943.55,940.17,958.85,669.95,13528776,12719334878.30,184244
6,12-Jun-2023,EQ,938.0,943.5,933.3,938.05,936.7,935.95,938.6,958.85,669.95,10520125,9874219363.85,163744
7,09-Jun-2023,EQ,941.4,944.0,936.2,937.9,939.0,938.05,939.36,958.85,669.95,12253128,11510047267.80,160590
8,08-Jun-2023,EQ,936.6,950.5,935.2,940.2,938.95,937.9,943.61,958.85,669.95,17608140,16615268439.75,191521
9,07-Jun-2023,EQ,944.35,945.85,933.8,942.1,940.0,940.2,937.88,958.85,669.95,16486469,15462369201.45,201193
10,06-Jun-2023,EQ,946.5,947.8,938.1,946.75,942.6,942.1,941.11,958.85,669.95,11894330,11193869092.55,140147
11,05-Jun-2023,EQ,943.0,951.8,943.0,938.15,947.0,946.75,948.39,958.85,669.95,10751684,10196745923.25,124104
12,02-Jun-2023,EQ,943.0,944.65,935.05,936.1,936.6,938.15,939.61,958.85,669.95,12494376,11739902972.45,202054
13,01-Jun-2023,EQ,954.25,954.25,932.8,949.15,936.45,936.1,946.03,958.85,669.95,21650700,20482235167.70,199559
14,31-May-2023,EQ,949.5,952.0,940.5,949.95,951.3,949.15,946.37,958.85,669.95,27254425,25792657193.20,196047
15,30-May-2023,EQ,945.35,952.3,944.65,948.15,951.35,949.95,948.19,958.85,669.95,18483624,17525924428.00,165705
16,29-May-2023,EQ,953.85,957.6,946.8,950.7,948.15,948.15,951.73,958.85,669.95,12108079,11523605997.05,154665
17,26-May-2023,EQ,939.8,952.45,935.55,939.85,950.5,950.7,944.9,958.85,669.95,10957182,10353399956.05,116316
18,25-May-2023,EQ,937.0,941.6,932.95,940.65,939.4,939.85,937.68,958.85,669.95,19328582,18124113002.95,165933
19,24-May-2023,EQ,946.7,953.85,938.5,953.4,941.1,940.65,948.39,958.85,669.95,18049620,17118111862.45,156440
