,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1295.00,1315.40,1285.20,1301.40,1295.45,1298.40,1292.27,1342.90,763.2,2102065,2716444913.55,79993
1,19-Jun-2023,EQ,1310.00,1317.25,1290.60,1314.00,1298.65,1301.40,1301.00,1342.90,763.2,2679485,3486003207.00,81412
2,16-Jun-2023,EQ,1297.10,1318.60,1294.55,1297.10,1310.90,1314.00,1305.56,1342.90,763.2,3508045,4579960197.90,75873
3,15-Jun-2023,EQ,1315.00,1319.95,1288.50,1323.25,1298.90,1297.10,1299.30,1342.90,763.2,5952095,7733549373.70,146003
4,14-Jun-2023,EQ,1335.05,1336.25,1318.20,1336.25,1322.15,1323.25,1326.26,1342.90,763.2,2858453,3791059291.80,79630
5,13-Jun-2023,EQ,1336.00,1342.90,1332.35,1332.45,1333.00,1336.25,1338.47,1342.90,763.2,3756073,5027392373.35,75840
6,12-Jun-2023,EQ,1336.95,1336.95,1318.60,1331.05,1332.50,1332.45,1328.13,1336.95,763.2,1904622,2529593077.00,54120
7,09-Jun-2023,EQ,1299.00,1336.40,1298.40,1303.85,1330.30,1331.05,1329.46,1336.40,763.2,4233651,5628480343.45,102301
8,08-Jun-2023,EQ,1316.45,1323.90,1300.00,1311.20,1304.00,1303.85,1312.54,1323.90,763.2,3215312,4220212847.35,87663
9,07-Jun-2023,EQ,1309.95,1312.75,1303.20,1306.00,1311.00,1311.20,1309.41,1315.90,763.2,2679118,3508053213.45,81289
10,06-Jun-2023,EQ,1302.00,1315.90,1300.00,1301.80,1303.50,1306.00,1309.04,1315.90,763.2,2902701,3799748292.75,72579
11,05-Jun-2023,EQ,1295.00,1306.45,1282.65,1288.20,1300.15,1301.80,1297.53,1306.45,763.2,3040374,3944971615.70,99734
12,02-Jun-2023,EQ,1282.40,1292.95,1271.00,1290.15,1284.00,1288.20,1285.01,1298.00,763.2,1912458,2457534728.85,75733
13,01-Jun-2023,EQ,1280.00,1298.00,1251.50,1286.60,1291.00,1290.15,1287.32,1298.00,763.2,3244947,4177275793.15,77821
14,31-May-2023,EQ,1289.00,1297.40,1277.25,1293.25,1283.15,1286.60,1286.91,1297.40,763.2,2764078,3557120741.70,73327
15,30-May-2023,EQ,1284.95,1296.15,1276.40,1284.95,1293.00,1293.25,1287.90,1296.15,763.2,1818000,2341404733.65,59345
16,29-May-2023,EQ,1272.20,1295.00,1272.00,1268.05,1283.35,1284.95,1288.68,1295.00,763.2,2985334,3847150313.60,109784
17,26-May-2023,EQ,1256.45,1272.45,1255.90,1263.40,1266.15,1268.05,1264.83,1275.90,763.2,1981580,2506365018.85,46749
18,25-May-2023,EQ,1268.95,1271.90,1249.70,1271.75,1260.10,1263.40,1260.46,1275.90,763.2,2589092,3263446864.80,70216
19,24-May-2023,EQ,1255.00,1275.90,1247.65,1260.20,1273.50,1271.75,1262.55,1275.90,763.2,2782379,3512890511.25,62090
20,23-May-2023,EQ,1246.00,1266.90,1245.00,1246.15,1258.80,1260.20,1259.85,1275.80,763.2,2142459,2699176116.35,54383
21,22-May-2023,EQ,1247.00,1251.00,1232.50,1248.00,1245.00,1246.15,1241.94,1275.80,763.2,2106351,2615952418.45,72535
22,19-May-2023,EQ,1243.00,1251.00,1221.60,1238.90,1247.60,1248.00,1234.84,1275.80,763.2,2366675,2922475581.60,73155
23,18-May-2023,EQ,1248.00,1248.00,1230.70,1236.15,1237.35,1238.90,1238.06,1275.80,763.2,2489971,3082743687.55,70220
24,17-May-2023,EQ,1217.05,1248.00,1214.00,1220.30,1232.00,1236.15,1233.12,1275.80,763.2,4661849,5748635962.75,100780
25,16-May-2023,EQ,1219.55,1226.10,1208.65,1219.55,1220.00,1220.30,1220.12,1275.80,763.2,2888698,3524554642.15,89175
26,15-May-2023,EQ,1208.60,1222.65,1196.00,1208.65,1219.00,1219.55,1213.39,1275.80,763.2,3323300,4032450109.70,84274
27,12-May-2023,EQ,1192.50,1214.00,1176.05,1187.45,1208.00,1208.65,1196.30,1275.80,763.2,3983609,4765580759.70,149314
28,11-May-2023,EQ,1175.00,1200.00,1169.25,1172.55,1187.35,1187.45,1188.42,1275.80,763.2,6086958,7233868699.10,175116
