,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1294.00,1305.00,1291.10,1294.00,1304.50,1303.40,1299.80,1672.60,1185.30,4009180,5211150582.55,129677
1,19-Jun-2023,EQ,1294.00,1299.50,1287.05,1291.65,1292.50,1294.00,1292.58,1672.60,1185.30,4451787,5754281563.90,123872
2,16-Jun-2023,EQ,1287.00,1301.50,1281.05,1286.80,1290.00,1291.65,1290.23,1672.60,1185.30,8536287,11013781162.55,185318
3,15-Jun-2023,EQ,1293.95,1293.95,1282.65,1300.40,1287.00,1286.80,1287.49,1672.60,1185.30,6161155,7932447626.70,190175
4,14-Jun-2023,EQ,1306.35,1306.70,1293.20,1304.85,1302.00,1300.40,1298.26,1672.60,1185.30,3457981,4489368747.25,154625
5,13-Jun-2023,EQ,1299.90,1306.50,1297.05,1291.95,1304.90,1304.85,1303.05,1672.60,1185.30,4846587,6315361306.70,238816
6,12-Jun-2023,EQ,1273.50,1295.70,1273.00,1265.95,1292.65,1291.95,1288.72,1672.60,1185.30,4785588,6167263779.80,205416
7,09-Jun-2023,EQ,1282.50,1282.50,1264.00,1282.80,1266.60,1265.95,1268.53,1672.60,1185.30,5339073,6772791477.40,230254
8,08-Jun-2023,EQ,1286.20,1292.00,1281.10,1288.95,1283.30,1282.80,1286.41,1672.60,1185.30,5034942,6476975763.90,194917
9,07-Jun-2023,EQ,1290.50,1294.00,1282.50,1279.00,1288.80,1288.95,1288.30,1672.60,1185.30,5397578,6953703730.40,216607
10,06-Jun-2023,EQ,1288.60,1288.60,1273.00,1304.50,1281.00,1279.00,1278.94,1672.60,1185.30,10008100,12799783085.80,429482
11,05-Jun-2023,EQ,1304.00,1309.45,1297.30,1299.00,1306.00,1304.50,1305.52,1672.60,1185.30,5002553,6530940466.45,146088
12,02-Jun-2023,EQ,1309.00,1312.90,1296.05,1319.50,1299.70,1299.00,1302.59,1672.60,1185.30,10909311,14210401347.45,325917
13,01-Jun-2023,EQ,1322.55,1329.50,1318.10,1318.30,1320.55,1319.50,1322.90,1672.60,1185.30,4277841,5659176889.55,189819
14,31-May-2023,EQ,1319.85,1331.10,1314.15,1323.85,1317.80,1318.30,1320.55,1672.60,1185.30,17800782,23506891088.20,180184
15,30-May-2023,EQ,1315.00,1326.40,1309.15,1314.40,1322.40,1323.85,1318.50,1672.60,1185.30,6274719,8273197083.60,167284
16,29-May-2023,EQ,1332.70,1332.70,1309.85,1317.45,1315.00,1314.40,1316.49,1672.60,1185.30,4419365,5818035563.65,160816
17,26-May-2023,EQ,1306.00,1323.45,1306.00,1304.35,1316.00,1317.45,1317.45,1672.60,1185.30,5521606,7274438393.35,167863
18,25-May-2023,EQ,1294.50,1307.00,1289.25,1298.65,1306.00,1304.35,1298.27,1672.60,1185.30,4334121,5626853058.25,108453
19,24-May-2023,EQ,1296.30,1305.00,1291.30,1300.05,1299.90,1298.65,1299.49,1672.60,1185.30,4824077,6268859654.15,125041
20,23-May-2023,EQ,1299.20,1314.15,1297.05,1292.80,1300.80,1300.05,1306.71,1672.60,1185.30,7436031,9716702068.30,222142
21,22-May-2023,EQ,1272.95,1295.60,1270.25,1268.90,1291.80,1292.80,1286.85,1672.60,1185.30,7625947,9813424557.30,185776
22,19-May-2023,EQ,1256.05,1273.30,1252.80,1246.00,1269.00,1268.90,1267.85,1672.60,1185.30,11094136,14065670107.50,226582
23,18-May-2023,EQ,1258.60,1259.65,1242.45,1246.90,1249.95,1246.00,1251.78,1672.60,1185.30,6948732,8698306736.25,196055
24,17-May-2023,EQ,1260.60,1260.95,1242.45,1264.30,1248.40,1246.90,1248.69,1672.60,1185.30,10465667,13068346605.80,325651
25,16-May-2023,EQ,1265.00,1273.95,1262.75,1258.35,1263.15,1264.30,1268.45,1672.60,1185.30,5236469,6642219899.60,226514
26,15-May-2023,EQ,1249.90,1268.90,1245.65,1245.20,1258.40,1258.35,1261.92,1672.60,1185.30,5534710,6984373569.40,292801
27,12-May-2023,EQ,1253.35,1256.00,1239.05,1256.10,1247.00,1245.20,1247.46,1672.60,1185.30,8292212,10344238724.75,358335
28,11-May-2023,EQ,1270.25,1275.90,1253.05,1263.25,1257.95,1256.10,1263.79,1672.60,1185.30,6888461,8705578132.05,292712
29,10-May-2023,EQ,1276.40,1276.40,1259.15,1270.70,1264.00,1263.25,1264.19,1672.60,1185.30,6515734,8237132025.55,251732
30,09-May-2023,EQ,1266.00,1272.00,1260.70,1265.60,1271.55,1270.70,1268.61,1672.60,1185.30,4969897,6304837447.50,149093
31,08-May-2023,EQ,1262.45,1270.30,1255.20,1259.10,1266.50,1265.60,1264.62,1672.60,1185.30,5260842,6652949232.95,175093
32,05-May-2023,EQ,1279.00,1279.00,1254.25,1273.55,1260.40,1259.10,1262.94,1672.60,1185.30,5373791,6786776239.30,175015
33,04-May-2023,EQ,1268.95,1275.80,1262.50,1269.15,1272.50,1273.55,1271.17,1672.60,1185.30,4505401,5727114799.70,157671
34,03-May-2023,EQ,1266.00,1272.50,1262.10,1277.45,1268.00,1269.15,1268.21,1672.60,1185.30,5549783,7038285252.90,138772
35,02-May-2023,EQ,1254.55,1279.75,1254.55,1252.75,1278.10,1277.45,1272.67,1672.60,1185.30,8886401,11309440091.60,278371
36,28-Apr-2023,EQ,1255.70,1259.00,1244.95,1246.25,1252.95,1252.75,1252.17,1672.60,1185.30,10118277,12669777883.05,240556
37,27-Apr-2023,EQ,1230.00,1247.80,1225.40,1227.55,1247.00,1246.25,1237.22,1672.60,1185.30,8020704,9923408235.75,206555
38,26-Apr-2023,EQ,1228.00,1233.00,1220.55,1224.90,1227.00,1227.55,1226.74,1672.60,1185.30,5680192,6968097179.25,166360
39,25-Apr-2023,EQ,1225.95,1235.50,1215.00,1226.30,1227.00,1224.90,1226.05,1672.60,1185.30,6808576,8347624194.35,210989
40,24-Apr-2023,EQ,1228.00,1230.00,1218.00,1227.35,1228.85,1226.30,1223.22,1672.60,1185.30,8313774,10169581098.40,274139
41,21-Apr-2023,EQ,1228.10,1233.25,1220.00,1223.40,1227.00,1227.35,1226.45,1672.60,1185.30,8691352,10659541176.70,209013
42,20-Apr-2023,EQ,1230.70,1237.85,1221.40,1232.20,1223.50,1223.40,1227.55,1672.60,1185.30,8621249,10582996524.25,296296
43,19-Apr-2023,EQ,1254.35,1254.35,1229.40,1259.35,1230.95,1232.20,1238.18,1672.60,1185.30,11307230,14000360449.75,403650
44,18-Apr-2023,EQ,1269.95,1269.95,1253.10,1258.30,1259.00,1259.35,1260.58,1672.60,1185.30,12430884,15670147000.65,454051
45,17-Apr-2023,EQ,1250.30,1261.15,1185.30,1389.20,1259.00,1258.30,1239.97,1672.60,1185.30,53171705,65931104710.55,1324241
46,13-Apr-2023,EQ,1409.75,1411.05,1383.00,1428.30,1383.40,1389.20,1394.12,1814.00,1355.00,11267238,15707860354.85,345857
47,12-Apr-2023,EQ,1413.05,1431.50,1400.00,1406.15,1429.00,1428.30,1419.34,1814.00,1355.00,5831169,8276400910.70,136836
48,11-Apr-2023,EQ,1428.90,1433.35,1389.00,1427.60,1402.30,1406.15,1409.62,1814.00,1355.00,6942255,9785970823.85,182219
49,10-Apr-2023,EQ,1423.95,1434.00,1415.00,1421.90,1427.00,1427.60,1427.30,1814.00,1355.00,4993788,7127632332.50,129744
50,06-Apr-2023,EQ,1416.00,1428.40,1410.35,1423.55,1422.35,1421.90,1419.78,1893.00,1355.00,6948465,9865266278.35,229597
51,05-Apr-2023,EQ,1400.00,1427.50,1400.00,1410.85,1425.85,1423.55,1420.13,1893.00,1355.00,7506334,10660003784.65,142387
52,03-Apr-2023,EQ,1435.00,1435.00,1405.15,1427.95,1410.00,1410.85,1412.65,1893.00,1355.00,5242764,7406174019.45,181180
53,31-Mar-2023,EQ,1404.00,1429.95,1393.90,1383.55,1425.70,1427.95,1416.85,1919.00,1355.00,8711975,12343557621.55,228023
54,29-Mar-2023,EQ,1379.00,1389.90,1364.55,1377.60,1388.60,1383.55,1377.31,1919.00,1355.00,8813966,12139574639.95,235693
55,28-Mar-2023,EQ,1392.10,1398.00,1375.85,1388.95,1378.60,1377.60,1382.99,1919.00,1355.00,6633366,9173851091.35,154855
56,27-Mar-2023,EQ,1386.25,1395.75,1374.10,1380.65,1388.20,1388.95,1388.84,1919.00,1355.00,4170193,5791747773.55,214904
