,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,454.8,454.8,450.15,453.6,453.2,452.85,451.91,455.9,261.35,4472119,2020975859.75,84850
1,19-Jun-2023,EQ,454.75,455.9,452.25,453.1,453.75,453.6,454.31,455.9,261.35,4189180,1903187370.95,67433
2,16-Jun-2023,EQ,449.0,455.6,447.9,448.1,453.5,453.1,452.71,455.6,258.55,11729681,5310177400.75,129067
3,15-Jun-2023,EQ,445.0,448.75,444.75,444.5,448.0,448.1,447.49,452.0,258.55,7498727,3355607683.80,121812
4,14-Jun-2023,EQ,446.25,447.75,443.75,445.4,444.85,444.5,446.09,452.0,258.55,8704178,3882846562.00,136087
5,13-Jun-2023,EQ,441.0,446.4,438.3,436.95,445.9,445.4,444.37,452.0,258.55,16111860,7159622903.40,154723
6,12-Jun-2023,EQ,440.0,440.95,433.85,438.45,437.5,436.95,436.47,452.0,258.55,8719176,3805701631.45,134260
7,09-Jun-2023,EQ,435.15,444.7,435.15,442.9,438.95,438.45,440.39,452.0,258.55,7057843,3108236555.30,132621
8,08-Jun-2023,EQ,445.7,445.75,441.9,443.95,443.1,442.9,443.56,452.0,258.55,7024424,3115723109.80,104805
9,07-Jun-2023,EQ,444.0,445.65,442.75,442.8,444.1,443.95,444.02,452.0,258.55,7543432,3349431451.45,106303
10,06-Jun-2023,EQ,440.8,443.6,440.4,440.65,443.45,442.8,441.92,452.0,258.55,6454486,2852356704.20,99335
11,05-Jun-2023,EQ,445.0,446.85,440.1,443.4,441.3,440.65,442.6,452.0,258.55,7152179,3165534777.75,114066
12,02-Jun-2023,EQ,440.0,444.9,439.8,439.7,442.95,443.4,442.63,452.0,258.55,9203842,4073882251.10,122633
13,01-Jun-2023,EQ,447.0,447.0,439.0,445.5,440.1,439.7,441.7,452.0,258.55,8803137,3888310387.15,134912
14,31-May-2023,EQ,449.3,452.0,442.45,449.9,446.0,445.5,446.12,452.0,258.55,14272292,6367119611.25,174471
15,30-May-2023,EQ,441.0,451.45,441.0,449.1,449.95,449.9,447.84,451.8,258.55,18900002,8464137340.70,156176
16,29-May-2023,EQ,445.0,451.8,444.1,443.6,448.95,449.1,449.07,451.8,258.55,19826254,8903460482.55,138647
17,26-May-2023,EQ,443.4,444.75,439.5,441.15,443.95,443.6,443.04,444.75,258.55,12995706,5757573299.45,100502
18,25-May-2023,EQ,436.95,442.45,434.8,433.5,441.75,441.15,439.95,442.45,258.55,18204464,8009108087.90,149170
19,24-May-2023,EQ,428.3,434.75,427.0,429.15,434.0,433.5,431.98,434.75,258.55,11479706,4958994968.35,109453
20,23-May-2023,EQ,426.0,431.2,424.2,424.75,429.4,429.15,428.95,433.45,258.55,8732608,3745834140.90,95039
21,22-May-2023,EQ,421.95,425.75,419.1,419.85,425.1,424.75,423.44,433.45,258.55,15421680,6530106829.00,114656
22,19-May-2023,EQ,420.95,423.1,411.35,419.7,420.1,419.85,417.72,433.45,253.0,25767521,10763594935.00,252667
23,18-May-2023,EQ,430.0,432.45,418.1,427.6,418.85,419.7,423.56,433.45,253.0,23995166,10163297449.60,192911
24,17-May-2023,EQ,424.15,428.95,422.6,423.95,428.05,427.6,425.56,433.45,253.0,9479691,4034211521.55,115983
25,16-May-2023,EQ,430.0,430.0,423.5,427.8,424.45,423.95,425.66,433.45,253.0,7994197,3402844838.50,167923
26,15-May-2023,EQ,420.0,428.7,419.05,420.45,428.4,427.8,425.33,433.45,253.0,9151102,3892210377.75,142351
27,12-May-2023,EQ,420.4,422.7,416.05,420.4,420.15,420.45,419.6,433.45,249.15,11135894,4672569928.70,127862
28,11-May-2023,EQ,427.25,427.4,418.9,425.35,421.25,420.4,422.51,433.45,249.15,15982423,6752691707.75,146138
29,10-May-2023,EQ,423.95,426.35,422.2,423.8,424.6,425.35,424.44,433.45,249.15,9754485,4140236476.55,115461
30,09-May-2023,EQ,432.8,433.15,421.5,431.45,424.1,423.8,426.09,433.45,249.15,9992962,4257875074.60,192266
31,08-May-2023,EQ,431.0,433.45,429.35,428.75,432.1,431.45,431.27,433.45,249.15,7243636,3123994202.10,110800
32,05-May-2023,EQ,425.95,431.9,424.35,424.6,429.3,428.75,427.76,431.9,249.15,12412416,5309505691.45,136979
33,04-May-2023,EQ,425.3,427.0,424.0,427.15,424.15,424.6,424.93,428.5,249.15,7984933,3393021577.85,141346
34,03-May-2023,EQ,424.0,428.5,422.05,424.45,426.95,427.15,426.65,428.5,249.15,7325483,3125437667.60,136925
35,02-May-2023,EQ,426.0,427.0,421.2,425.55,424.8,424.45,424.29,428.25,249.15,10253527,4350456302.45,235796
36,28-Apr-2023,EQ,418.0,428.25,413.7,416.0,426.2,425.55,421.32,428.25,249.15,12718721,5358687978.10,125288
37,27-Apr-2023,EQ,412.2,417.4,411.0,412.25,416.0,416.0,415.6,417.4,249.15,12614263,5242441962.80,127117
38,26-Apr-2023,EQ,412.0,413.0,409.05,411.55,411.75,412.25,411.37,413.55,249.15,7620723,3134904442.90,138179
39,25-Apr-2023,EQ,408.7,413.55,407.4,408.7,411.25,411.55,411.47,413.55,249.15,8840188,3637439819.45,121252
40,24-Apr-2023,EQ,410.0,410.0,404.2,408.25,408.3,408.7,406.76,410.0,249.15,5981760,2433134566.40,104586
41,21-Apr-2023,EQ,400.3,409.0,399.05,400.3,408.0,408.25,405.7,409.0,249.15,14252204,5782074755.15,143707
42,20-Apr-2023,EQ,400.0,402.65,397.7,398.75,400.3,400.3,400.07,402.65,249.15,6667781,2667594588.70,85369
43,19-Apr-2023,EQ,396.05,401.35,396.0,398.5,398.2,398.75,399.22,402.0,249.15,9744202,3890059257.20,116016
44,18-Apr-2023,EQ,400.0,402.0,397.0,400.15,398.5,398.5,399.47,402.0,249.15,9494641,3792811716.30,101699
45,17-Apr-2023,EQ,392.9,402.0,392.9,395.6,399.9,400.15,399.65,402.0,249.15,11041243,4412651379.85,133940
46,13-Apr-2023,EQ,395.5,396.6,393.7,393.55,395.7,395.6,395.36,398.1,249.15,6059044,2395487558.30,101183
47,12-Apr-2023,EQ,397.75,397.8,392.1,396.0,393.95,393.55,393.94,398.1,249.15,9747526,3839976788.65,153023
48,11-Apr-2023,EQ,388.55,398.1,388.0,388.55,396.0,396.0,394.8,398.1,249.15,18237451,7200071922.80,171305
49,10-Apr-2023,EQ,387.35,390.0,384.75,387.35,388.0,388.55,388.13,394.0,249.15,6783022,2632713042.55,110021
50,06-Apr-2023,EQ,386.65,390.3,384.2,386.4,387.5,387.35,386.84,394.0,249.15,12897667,4989335495.80,132193
51,05-Apr-2023,EQ,378.9,387.05,378.9,378.9,387.0,386.4,384.85,394.0,249.15,11608424,4467559164.15,108671
52,03-Apr-2023,EQ,384.0,384.0,378.5,383.5,379.2,378.9,380.29,394.0,249.15,7059200,2684575844.10,99525
53,31-Mar-2023,EQ,382.0,384.5,380.0,382.75,383.2,383.5,382.81,394.0,248.65,9511189,3640946510.30,167654
54,29-Mar-2023,EQ,380.2,384.0,377.15,379.75,383.05,382.75,381.12,394.0,248.65,10160322,3872300673.45,120617
55,28-Mar-2023,EQ,380.2,382.35,378.15,380.2,379.75,379.75,379.78,394.0,248.65,9170535,3482749738.70,115524
56,27-Mar-2023,EQ,377.95,384.4,376.35,378.7,380.0,380.2,381.06,394.0,248.65,10816352,4121729105.80,103476
57,24-Mar-2023,EQ,381.5,383.0,378.0,380.65,378.9,378.7,381.12,394.0,243.55,9934501,3786219400.85,81630
58,23-Mar-2023,EQ,377.0,382.75,374.4,377.75,380.2,380.65,380.24,394.0,243.55,9752326,3708199289.55,118607
59,22-Mar-2023,EQ,376.95,378.85,374.2,376.95,378.25,377.75,376.67,394.0,243.55,4774867,1798564206.45,73043
60,21-Mar-2023,EQ,378.8,378.8,374.05,378.8,377.0,376.95,376.2,394.0,243.55,11610832,4367965152.40,161927
61,20-Mar-2023,EQ,373.3,379.35,372.0,375.55,378.75,378.8,375.53,394.0,243.55,10122167,3801155257.85,128572
62,17-Mar-2023,EQ,385.0,385.0,369.65,381.45,376.45,375.55,373.83,394.0,235.3,48904254,18281954282.65,243657
63,16-Mar-2023,EQ,380.6,382.35,376.85,379.4,381.5,381.45,379.89,394.0,235.3,15710094,5968094056.95,148108
64,15-Mar-2023,EQ,381.0,384.3,378.0,379.7,379.15,379.4,380.73,394.0,235.3,8423692,3207142014.80,108040
65,14-Mar-2023,EQ,385.7,386.45,377.2,383.65,380.25,379.7,381.62,394.0,235.3,10229766,3903872457.50,122468
66,13-Mar-2023,EQ,389.2,390.9,382.5,388.0,386.05,383.65,385.1,394.0,235.3,8791872,3385766737.20,104232
67,10-Mar-2023,EQ,386.95,390.2,383.5,387.5,388.2,388.0,387.99,394.0,220.1,8362265,3244441247.70,101617
68,09-Mar-2023,EQ,392.1,393.6,385.65,392.4,387.0,387.5,387.94,394.0,220.1,9634283,3737536340.00,99411
69,08-Mar-2023,EQ,388.0,393.15,385.1,388.15,392.0,392.4,390.02,394.0,220.1,8917699,3478115878.25,138776
70,06-Mar-2023,EQ,385.9,392.5,385.25,384.95,388.5,388.15,388.76,394.0,220.1,10714339,4165330469.40,130438
71,03-Mar-2023,EQ,377.0,385.4,376.1,375.55,385.3,384.95,382.31,394.0,210.8,8180709,3127554879.70,116737
72,02-Mar-2023,EQ,379.5,379.75,374.7,378.7,375.85,375.55,376.22,394.0,210.8,5019603,1888498850.45,98330
73,01-Mar-2023,EQ,374.25,380.4,373.6,376.7,378.6,378.7,378.58,394.0,210.8,7766667,2940311888.95,114616
74,28-Feb-2023,EQ,382.5,384.25,375.0,382.2,376.5,376.7,377.55,394.0,210.8,16367477,6179566021.75,161521
75,27-Feb-2023,EQ,385.1,386.8,378.1,385.1,382.2,382.2,381.68,394.0,210.8,8142319,3107756123.45,122227
76,24-Feb-2023,EQ,389.0,389.0,381.0,387.6,385.25,385.1,384.56,394.0,207.0,12910220,4964754019.45,118753
77,23-Feb-2023,EQ,384.45,394.0,383.1,383.85,387.4,387.6,389.74,394.0,207.0,18830592,7339108176.85,218500
78,22-Feb-2023,EQ,382.0,384.9,380.0,382.25,384.15,383.85,383.28,388.2,207.0,8961077,3434625178.35,99507
79,21-Feb-2023,EQ,385.0,385.9,381.7,384.05,383.0,382.25,384.08,388.2,207.0,8259574,3172325586.55,88576
80,20-Feb-2023,EQ,384.7,387.5,381.3,383.4,383.9,384.05,384.12,388.2,207.0,7804976,2998018760.35,102345
81,17-Feb-2023,EQ,381.05,384.55,379.25,382.55,383.3,383.4,382.91,388.2,207.0,7672135,2937749082.60,93699
82,16-Feb-2023,EQ,382.0,385.25,381.0,382.2,382.0,382.55,383.66,388.2,207.0,9775280,3750425749.60,119906
83,15-Feb-2023,EQ,381.75,382.85,378.55,386.45,382.1,382.2,380.58,388.2,207.0,12209350,4646631940.25,132308
84,14-Feb-2023,EQ,375.0,387.65,373.75,374.2,385.95,386.45,383.62,388.2,207.0,29125052,11172825493.75,240562
85,13-Feb-2023,EQ,373.0,375.15,370.0,371.35,374.1,374.2,372.74,388.2,207.0,9901148,3690548355.70,110887
86,10-Feb-2023,EQ,372.2,376.95,370.3,374.25,371.2,371.35,372.27,388.2,207.0,10278597,3826370636.70,101423
87,09-Feb-2023,EQ,374.0,380.0,372.15,375.55,374.8,374.25,375.49,388.2,207.0,11861196,4453808751.90,147407
88,08-Feb-2023,EQ,374.75,377.3,371.55,373.25,374.55,375.55,375.12,388.2,207.0,10420462,3908964512.10,125965
89,07-Feb-2023,EQ,383.9,383.9,368.45,383.4,373.4,373.25,373.66,388.2,207.0,20643707,7713764922.45,296046
90,06-Feb-2023,EQ,382.5,388.2,379.6,380.65,383.5,383.4,384.59,388.2,207.0,25790153,9918627583.65,245965
91,03-Feb-2023,EQ,381.9,382.25,372.0,378.6,380.7,380.65,378.53,384.7,207.0,22295321,8439463829.40,236606
92,02-Feb-2023,EQ,361.6,384.7,360.4,361.4,378.8,378.6,376.87,384.7,207.0,55745171,21008522194.10,404278
93,01-Feb-2023,EQ,353.0,365.7,329.1,352.35,359.6,361.4,353.75,365.7,207.0,64518967,22823821017.55,497986
94,31-Jan-2023,EQ,346.0,355.0,341.05,344.8,352.6,352.35,348.73,361.45,207.0,17134291,5975279655.05,207015
95,30-Jan-2023,EQ,346.9,351.75,341.85,346.0,343.8,344.8,347.04,361.45,207.0,14091519,4890259651.00,159810
96,27-Jan-2023,EQ,341.8,348.85,341.5,339.25,345.5,346.0,345.5,361.45,207.0,21040139,7269287174.45,198362
97,25-Jan-2023,EQ,338.9,341.0,335.25,338.95,340.0,339.25,338.13,361.45,207.0,12497542,4225848770.85,115825
98,24-Jan-2023,EQ,337.8,340.75,337.6,337.75,338.9,338.95,339.02,361.45,207.0,12302874,4170878392.80,123629
99,23-Jan-2023,EQ,336.0,338.15,333.05,334.6,337.6,337.75,336.68,361.45,207.0,7124807,2398812192.75,75270
100,20-Jan-2023,EQ,332.0,335.2,329.25,332.15,334.45,334.6,332.68,361.45,207.0,13103664,4359276710.60,104023
101,19-Jan-2023,EQ,334.0,335.65,331.65,334.65,332.0,332.15,333.21,361.45,207.0,8346130,2781000519.70,103560
102,18-Jan-2023,EQ,334.0,336.55,332.4,332.25,335.1,334.65,334.37,361.45,207.0,12555527,4198130682.45,147165
103,17-Jan-2023,EQ,330.2,333.5,329.1,330.2,332.0,332.25,331.64,361.45,207.0,13712537,4547671024.50,93294
104,16-Jan-2023,EQ,330.35,332.2,327.55,328.75,330.2,330.2,329.11,361.45,207.0,8253942,2716469420.90,78391
105,13-Jan-2023,EQ,329.85,332.25,326.4,329.85,329.1,328.75,329.58,361.45,207.0,14412671,4750157893.90,120029
106,12-Jan-2023,EQ,333.4,333.6,328.1,331.8,329.5,329.85,329.95,361.45,207.0,6638422,2190337446.10,139430
107,11-Jan-2023,EQ,335.1,335.1,331.3,333.4,332.1,331.8,332.82,361.45,207.0,4584293,1525745889.65,91438
108,10-Jan-2023,EQ,337.9,338.4,332.55,338.05,333.7,333.4,333.83,361.45,207.0,6949605,2319978392.15,95343
109,09-Jan-2023,EQ,336.95,341.3,336.15,335.05,337.4,338.05,338.82,361.45,207.0,10618786,3597812675.95,147547
110,06-Jan-2023,EQ,334.7,337.55,333.1,333.45,335.0,335.05,335.48,361.45,207.0,8284135,2779124776.80,115819
111,05-Jan-2023,EQ,328.65,333.9,328.2,327.0,333.6,333.45,332.2,361.45,207.0,8171437,2714547327.40,134902
112,04-Jan-2023,EQ,331.85,332.5,326.0,331.1,326.6,327.0,327.48,361.45,207.0,6689769,2190748946.45,155935
113,03-Jan-2023,EQ,331.5,333.35,330.25,332.85,331.2,331.1,331.36,361.45,207.0,5997051,1987185279.40,103134
114,02-Jan-2023,EQ,330.9,334.0,329.65,331.55,332.8,332.85,332.25,361.45,207.0,5951893,1977534074.25,139495
115,30-Dec-2022,EQ,335.4,336.75,330.5,335.35,331.0,331.55,333.91,361.45,207.0,6960264,2324123983.35,86886
116,29-Dec-2022,EQ,334.35,335.75,331.55,334.4,335.45,335.35,333.6,361.45,207.0,8105359,2703980878.25,98175
117,28-Dec-2022,EQ,332.85,335.0,331.5,333.15,334.35,334.4,332.76,361.45,207.0,7737562,2574744214.30,114100
118,27-Dec-2022,EQ,335.6,336.4,330.15,334.6,333.05,333.15,333.36,361.45,207.0,6727343,2242627265.30,122372
119,26-Dec-2022,EQ,326.5,335.1,325.5,326.7,334.6,334.6,332.83,361.45,207.0,9566210,3183941256.40,183864
120,23-Dec-2022,EQ,330.9,331.9,325.35,332.45,326.05,326.7,327.9,361.45,207.0,10073884,3303219426.20,187134
121,22-Dec-2022,EQ,335.65,337.4,329.9,335.15,332.8,332.45,332.77,361.45,207.0,6584445,2191082235.30,101460
122,21-Dec-2022,EQ,341.0,341.25,334.5,340.15,335.7,335.15,336.78,361.45,207.0,7045201,2372658454.35,127807
123,20-Dec-2022,EQ,340.05,340.95,336.75,340.5,339.9,340.15,338.61,361.45,207.0,5482218,1856320822.20,80370
124,19-Dec-2022,EQ,336.8,342.35,335.35,335.1,340.05,340.5,339.82,361.45,207.0,7812801,2654927435.70,110172
125,16-Dec-2022,EQ,337.5,338.9,331.3,338.85,335.75,335.1,334.49,361.45,207.0,12429280,4157423586.75,207367
126,15-Dec-2022,EQ,344.75,346.1,338.0,345.4,338.7,338.85,341.22,361.45,207.0,8154931,2782665991.55,112979
127,14-Dec-2022,EQ,346.0,347.35,343.75,345.6,345.1,345.4,345.47,361.45,207.0,7379878,2549557384.50,128069
128,13-Dec-2022,EQ,344.5,346.0,342.4,343.2,345.05,345.6,344.45,361.45,207.0,10693426,3683297885.50,129845
129,12-Dec-2022,EQ,341.0,344.0,340.1,341.4,343.25,343.2,342.63,361.45,207.0,11214662,3842454919.60,147074
130,09-Dec-2022,EQ,339.75,342.5,338.0,338.4,342.0,341.4,340.59,361.45,207.0,8132228,2769725917.65,104951
131,08-Dec-2022,EQ,340.2,342.15,337.5,340.1,338.3,338.4,339.3,361.45,207.0,6200447,2103841069.30,135480
132,07-Dec-2022,EQ,338.5,341.5,336.65,337.3,340.0,340.1,339.89,361.45,207.0,9813208,3335393155.50,117952
133,06-Dec-2022,EQ,334.1,338.2,334.1,336.75,337.6,337.3,337.05,361.45,207.0,6327430,2132640560.40,82974
134,05-Dec-2022,EQ,337.65,338.85,334.15,337.15,336.6,336.75,335.88,361.45,207.0,9716390,3263564731.45,131793
135,02-Dec-2022,EQ,339.35,340.8,336.75,339.55,337.5,337.15,337.85,361.45,207.0,8388835,2834182901.60,104028
136,01-Dec-2022,EQ,341.7,341.7,336.8,340.0,339.7,339.55,338.75,361.45,207.0,16630417,5633556147.25,183326
137,30-Nov-2022,EQ,341.25,344.15,339.0,342.3,340.3,340.0,340.54,361.45,207.0,22556502,7681480498.60,139387
138,29-Nov-2022,EQ,340.0,345.0,340.0,340.05,342.45,342.3,342.94,361.45,207.0,10189855,3494496987.45,115645
139,28-Nov-2022,EQ,340.0,341.75,338.75,340.3,339.95,340.05,340.43,361.45,207.0,9902739,3371223380.25,103017
140,25-Nov-2022,EQ,341.0,341.9,337.8,340.75,340.3,340.3,339.56,361.45,207.0,6933254,2354253778.15,102045
141,24-Nov-2022,EQ,339.8,342.5,337.55,339.8,341.1,340.75,340.21,361.45,207.0,8140857,2769597449.75,116223
142,23-Nov-2022,EQ,342.0,342.0,337.5,340.25,339.2,339.8,339.65,361.45,207.0,7768291,2638475966.95,122455
143,22-Nov-2022,EQ,337.0,341.0,335.7,337.2,340.0,340.25,339.35,361.45,207.0,6495845,2204337080.70,97824
