,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,772.2,786.5,768.55,771.65,773.0,773.15,776.99,786.5,536.1,2282549,1773508421.70,57577
1,19-Jun-2023,EQ,780.5,782.0,767.85,776.1,772.4,771.65,773.93,783.5,536.1,1422461,1100889828.95,33585
2,16-Jun-2023,EQ,776.95,781.8,772.7,770.6,775.65,776.1,776.04,783.5,536.1,2285788,1773854615.15,43626
3,15-Jun-2023,EQ,778.0,778.0,768.5,772.85,771.0,770.6,772.3,783.5,536.1,2222061,1716094853.95,47625
4,14-Jun-2023,EQ,761.55,779.0,759.15,756.65,774.45,772.85,772.58,783.5,536.1,4758206,3676116917.95,87902
5,13-Jun-2023,EQ,755.0,762.6,751.15,747.3,756.65,756.65,757.41,783.5,536.1,3419413,2589881575.40,50159
6,12-Jun-2023,EQ,754.6,757.95,744.65,748.5,747.45,747.3,750.11,783.5,536.1,1703619,1277905497.45,29124
7,09-Jun-2023,EQ,751.5,756.95,741.5,748.8,750.0,748.5,749.52,783.5,536.1,2408734,1805396786.60,44506
8,08-Jun-2023,EQ,729.75,764.45,727.85,729.75,750.3,748.8,751.84,783.5,536.1,9618332,7231466953.15,122549
9,07-Jun-2023,EQ,715.25,732.2,714.0,712.85,731.5,729.75,721.07,783.5,536.1,3667486,2644514098.00,51416
10,06-Jun-2023,EQ,714.0,717.5,708.8,712.15,712.3,712.85,712.41,783.5,536.1,2436996,1736135558.70,32273
11,05-Jun-2023,EQ,708.95,714.0,703.0,706.6,712.9,712.15,707.31,783.5,536.1,2454283,1735929240.60,31180
12,02-Jun-2023,EQ,698.0,709.05,695.75,693.85,706.5,706.6,700.97,783.5,525.6,3405152,2386896619.65,46331
13,01-Jun-2023,EQ,698.9,701.9,691.15,696.3,692.95,693.85,695.17,783.5,525.6,1995511,1387220664.65,36477
14,31-May-2023,EQ,701.15,704.95,691.0,704.6,700.0,696.3,696.23,783.5,525.6,14943096,10403890461.20,73713
15,30-May-2023,EQ,701.1,717.9,697.9,702.2,705.3,704.6,708.94,783.5,525.6,3317461,2351882222.40,66352
16,29-May-2023,EQ,703.25,708.95,701.1,701.7,702.1,702.2,704.9,783.5,525.6,1467219,1034236669.70,30355
17,26-May-2023,EQ,696.65,705.45,694.15,696.65,700.9,701.7,700.03,783.5,520.05,1461749,1023270071.85,28476
18,25-May-2023,EQ,693.0,702.65,690.0,696.0,695.55,696.65,694.06,783.5,520.05,1213068,841936946.40,26126
19,24-May-2023,EQ,700.0,706.55,694.5,704.1,696.5,696.0,700.92,783.5,520.05,1185182,830716240.05,28707
20,23-May-2023,EQ,710.0,711.9,702.5,704.6,703.25,704.1,706.87,783.5,520.05,2324758,1643300859.25,42607
21,22-May-2023,EQ,692.0,707.8,687.45,693.85,702.7,704.6,697.73,783.5,520.05,2182824,1523016810.75,43212
22,19-May-2023,EQ,696.0,696.6,681.05,692.05,693.65,693.85,687.7,783.5,520.05,2329260,1601835401.60,43664
23,18-May-2023,EQ,700.8,709.5,689.25,695.1,690.1,692.05,698.56,783.5,520.05,3667407,2561887793.15,83466
24,17-May-2023,EQ,701.35,701.35,691.8,702.75,694.95,695.1,695.68,783.5,520.05,1686465,1173234667.85,55694
25,16-May-2023,EQ,710.45,711.05,700.55,705.55,702.55,702.75,704.68,783.5,520.05,874913,616529417.45,29609
26,15-May-2023,EQ,701.9,710.5,697.0,702.65,705.7,705.55,705.96,783.5,520.05,998259,704727573.90,33976
27,12-May-2023,EQ,699.9,708.9,691.15,710.6,703.4,702.65,701.38,783.5,520.05,1499306,1051585791.55,54916
28,11-May-2023,EQ,727.5,729.4,708.5,724.35,710.1,710.6,716.36,783.5,520.05,1284636,920265882.15,28009
29,10-May-2023,EQ,725.0,729.6,719.4,724.6,724.0,724.35,723.53,783.5,520.05,919645,665386731.30,25292
30,09-May-2023,EQ,733.6,740.5,722.5,732.8,724.85,724.6,730.32,783.5,520.05,1179219,861202377.95,29142
31,08-May-2023,EQ,735.6,741.0,730.05,733.35,733.5,732.8,734.76,783.5,520.05,1132367,832014166.20,24178
32,05-May-2023,EQ,736.3,741.65,730.5,738.7,733.8,733.35,735.32,783.5,520.05,945667,695370259.65,22329
33,04-May-2023,EQ,733.95,742.0,730.25,732.45,736.8,738.7,737.12,783.5,520.05,1464468,1079485742.35,32897
34,03-May-2023,EQ,731.0,735.5,725.9,737.9,735.0,732.45,731.45,783.5,520.05,1215913,889377358.80,22912
35,02-May-2023,EQ,731.95,746.5,728.5,725.3,735.95,737.9,740.04,783.5,520.05,1965606,1454630201.50,45148
36,28-Apr-2023,EQ,736.0,736.0,721.55,732.1,726.6,725.3,726.14,783.5,520.05,1593083,1156800011.05,31868
37,27-Apr-2023,EQ,723.0,734.75,717.6,723.45,732.0,732.1,729.61,783.5,520.05,1247848,910442617.50,28291
38,26-Apr-2023,EQ,720.0,724.65,712.0,725.0,723.05,723.45,718.83,783.5,520.05,1277410,918244457.90,31432
39,25-Apr-2023,EQ,720.35,730.6,717.8,720.35,724.4,725.0,725.98,783.5,520.05,1079227,783492589.80,28306
40,24-Apr-2023,EQ,708.55,723.9,705.15,710.65,720.5,720.35,715.67,783.5,520.05,729151,521832970.75,22716
41,21-Apr-2023,EQ,719.0,719.0,703.1,715.8,712.5,710.65,707.98,790.0,520.05,1416385,1002771224.50,33167
42,20-Apr-2023,EQ,726.0,727.0,712.7,722.35,715.5,715.8,717.69,790.0,520.05,1033900,742022735.35,26566
43,19-Apr-2023,EQ,715.35,733.7,715.35,719.35,723.6,722.35,727.15,790.0,520.05,2268330,1649413710.75,47662
44,18-Apr-2023,EQ,720.05,725.0,712.4,721.2,719.5,719.35,717.75,790.0,520.05,837349,601011141.25,21527
45,17-Apr-2023,EQ,714.0,723.65,714.0,720.65,722.0,721.2,720.49,790.0,520.05,1253589,903199219.90,37933
46,13-Apr-2023,EQ,717.0,722.0,714.25,718.25,720.75,720.65,717.92,790.0,520.05,835749,599998334.20,25198
47,12-Apr-2023,EQ,719.9,722.5,711.4,713.6,718.25,718.25,716.92,790.0,520.05,1810361,1297886256.45,43943
48,11-Apr-2023,EQ,693.75,715.0,688.5,688.5,715.0,713.6,704.6,790.0,520.05,4076632,2872397902.25,57801
49,10-Apr-2023,EQ,684.05,693.25,682.8,682.7,689.5,688.5,689.14,790.0,520.05,600036,413506466.70,18799
50,06-Apr-2023,EQ,688.0,688.0,680.25,686.55,683.55,682.7,683.99,790.0,520.05,726290,496777387.55,24938
51,05-Apr-2023,EQ,678.5,690.0,675.05,682.2,690.0,686.55,682.51,790.0,520.05,1188370,811073706.70,27564
52,03-Apr-2023,EQ,690.4,691.65,676.15,688.1,682.2,682.2,681.32,790.0,520.05,1335604,909976383.90,25467
53,31-Mar-2023,EQ,679.0,692.5,676.8,678.9,688.75,688.1,687.64,790.0,520.05,1447293,995223752.05,41241
54,29-Mar-2023,EQ,663.3,685.45,658.6,660.0,676.6,678.9,671.9,790.0,520.05,2208428,1483835394.55,48326
55,28-Mar-2023,EQ,662.15,662.95,655.95,658.85,658.35,660.0,658.82,790.0,520.05,1190600,784394236.75,31841
56,27-Mar-2023,EQ,661.1,666.5,655.85,657.8,659.0,658.85,661.66,790.0,520.05,1134491,750652713.15,30999
57,24-Mar-2023,EQ,671.15,671.15,655.75,667.8,660.1,657.8,661.38,790.0,520.05,1563002,1033745436.30,30177
58,23-Mar-2023,EQ,661.9,670.8,658.25,662.25,665.9,667.8,666.92,790.0,520.05,1099501,733281470.30,30512
59,22-Mar-2023,EQ,666.0,671.25,660.05,665.75,662.2,662.25,664.62,790.0,520.05,949388,630979584.10,22706
60,21-Mar-2023,EQ,671.5,671.5,662.0,668.15,666.2,665.75,665.38,790.0,520.05,1133592,754273832.75,24499
61,20-Mar-2023,EQ,672.9,672.9,660.0,676.4,669.2,668.15,664.82,790.0,520.05,1480884,984515514.85,40261
62,17-Mar-2023,EQ,670.0,678.0,664.5,662.4,677.9,676.4,671.47,790.0,520.05,1667707,1119808657.05,37322
63,16-Mar-2023,EQ,675.2,675.7,649.05,679.65,666.0,662.4,660.63,790.0,520.05,2512474,1659824874.45,63706
64,15-Mar-2023,EQ,681.0,684.8,674.7,672.05,681.0,679.65,680.5,790.0,520.05,1173429,798520486.25,35435
65,14-Mar-2023,EQ,678.0,682.8,667.7,675.6,673.6,672.05,675.2,790.0,520.05,1555671,1050381509.45,44237
66,13-Mar-2023,EQ,682.8,691.45,673.05,679.4,677.3,675.6,682.35,790.0,520.05,1602921,1093760567.15,41852
