,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1820.00,1847.00,1815.30,1824.55,1839.35,1844.00,1830.74,2064.40,1631.00,4622905,8463316149.40,134138
1,19-Jun-2023,EQ,1863.85,1868.45,1818.00,1857.40,1825.00,1824.55,1829.12,2064.40,1631.00,7609913,13919439634.85,169113
2,16-Jun-2023,EQ,1836.95,1861.65,1833.00,1833.50,1857.00,1857.40,1847.35,2064.40,1631.00,3197657,5907192895.50,88585
3,15-Jun-2023,EQ,1867.95,1869.00,1828.70,1864.65,1834.00,1833.50,1845.67,2064.40,1631.00,4838188,8929685601.80,129987
4,14-Jun-2023,EQ,1855.95,1867.95,1846.40,1855.95,1862.00,1864.65,1856.22,2064.40,1631.00,5578543,10355008456.45,141635
5,13-Jun-2023,EQ,1875.35,1883.00,1852.00,1879.45,1856.35,1855.95,1861.16,2064.40,1631.00,9561827,17796098934.90,278102
6,12-Jun-2023,EQ,1874.85,1884.00,1864.45,1872.00,1877.20,1879.45,1875.96,2064.40,1631.00,2815173,5281146601.50,108157
7,09-Jun-2023,EQ,1862.00,1897.70,1860.70,1886.50,1874.00,1872.00,1875.25,2064.40,1631.00,14196924,26622788168.20,318026
8,08-Jun-2023,EQ,1936.90,1936.90,1879.55,1939.40,1888.00,1886.50,1902.83,2064.40,1631.00,5491614,10449595228.30,196038
9,07-Jun-2023,EQ,1972.00,1972.00,1936.00,1959.05,1939.40,1939.40,1945.19,2064.40,1631.00,3100414,6030886444.50,111565
10,06-Jun-2023,EQ,1934.90,1966.40,1930.15,1924.90,1962.15,1959.05,1949.21,2064.40,1631.00,4112841,8016792243.85,132618
11,05-Jun-2023,EQ,1945.00,1951.50,1922.25,1938.75,1926.10,1924.90,1938.24,2064.40,1631.00,2405909,4663237633.35,93567
12,02-Jun-2023,EQ,1944.95,1951.35,1928.00,1930.05,1934.05,1938.75,1939.15,2064.40,1631.00,3558072,6899645420.05,173837
13,01-Jun-2023,EQ,1968.00,1979.15,1925.00,2014.35,1929.00,1930.05,1940.85,2064.40,1631.00,5967432,11581861981.00,196305
14,31-May-2023,EQ,1984.95,2064.40,1953.90,1974.70,2011.65,2014.35,2008.64,2064.40,1631.00,88598126,177961305207.70,369147
15,30-May-2023,EQ,1957.85,1979.10,1952.35,1953.20,1972.05,1974.70,1968.89,1997.55,1631.00,7429705,14628265545.35,140716
16,29-May-2023,EQ,1963.10,1973.30,1948.25,1945.05,1953.30,1953.20,1957.88,1997.55,1631.00,3775509,7391993127.60,87960
17,26-May-2023,EQ,1949.95,1949.95,1923.50,1929.95,1944.50,1945.05,1937.38,1997.55,1631.00,3295412,6384458591.80,84285
18,25-May-2023,EQ,1918.00,1933.55,1907.55,1910.35,1930.55,1929.95,1922.15,1997.55,1631.00,5966757,11468978411.85,103149
19,24-May-2023,EQ,1921.95,1940.00,1897.40,1921.50,1908.30,1910.35,1920.52,1997.55,1631.00,3557537,6832318522.00,79385
20,23-May-2023,EQ,1940.20,1940.20,1915.00,1940.20,1920.90,1921.50,1923.76,1997.55,1631.00,4335524,8340503828.10,99213
21,22-May-2023,EQ,1945.00,1952.50,1923.65,1941.65,1937.50,1940.20,1940.98,1997.55,1631.00,3400880,6601041520.60,83424
