,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2364.95,2389.65,2354.45,2366.35,2388.00,2382.00,2375.25,2419.90,1456.35,1771306,4207298020.80,82474
1,19-Jun-2023,EQ,2379.00,2419.90,2361.00,2366.80,2365.00,2366.35,2387.28,2419.90,1456.35,3111256,7427437381.00,106255
2,16-Jun-2023,EQ,2363.75,2380.00,2352.25,2361.30,2363.15,2366.80,2367.08,2416.35,1456.35,1794542,4247829339.05,86400
3,15-Jun-2023,EQ,2355.00,2369.50,2349.00,2355.05,2358.40,2361.30,2363.11,2416.35,1456.35,2561534,6053183578.60,77879
4,14-Jun-2023,EQ,2352.90,2360.00,2340.00,2354.40,2355.00,2355.05,2351.52,2416.35,1456.35,1013564,2383416827.05,56151
5,13-Jun-2023,EQ,2345.85,2357.90,2327.10,2339.95,2352.00,2354.40,2348.25,2416.35,1456.35,1688768,3965656922.25,111296
6,12-Jun-2023,EQ,2365.00,2370.00,2333.10,2363.00,2340.05,2339.95,2342.03,2416.35,1456.35,1172382,2745752288.65,45800
7,09-Jun-2023,EQ,2345.00,2368.85,2338.25,2340.30,2363.25,2363.00,2360.07,2416.35,1456.35,2501720,5904244190.05,71065
8,08-Jun-2023,EQ,2316.95,2345.05,2312.75,2315.50,2340.40,2340.30,2336.61,2416.35,1456.35,2556995,5974708032.00,71004
9,07-Jun-2023,EQ,2278.00,2318.00,2278.00,2277.95,2316.00,2315.50,2304.52,2416.35,1456.35,2128603,4905399392.20,122375
10,06-Jun-2023,EQ,2269.00,2280.70,2263.70,2268.30,2278.10,2277.95,2272.28,2416.35,1456.35,1677680,3812165166.35,98810
11,05-Jun-2023,EQ,2245.00,2272.80,2240.00,2234.55,2269.50,2268.30,2260.72,2416.35,1456.35,2344944,5301254467.75,132166
12,02-Jun-2023,EQ,2221.00,2237.30,2212.15,2207.80,2236.00,2234.55,2228.04,2416.35,1456.35,1399950,3119146915.75,117300
13,01-Jun-2023,EQ,2217.00,2222.00,2202.15,2205.65,2209.40,2207.80,2211.72,2416.35,1456.35,1049488,2321170531.55,77153
14,31-May-2023,EQ,2201.10,2224.00,2200.00,2210.80,2212.50,2205.65,2207.16,2416.35,1456.35,2809284,6200544991.75,72450
15,30-May-2023,EQ,2230.00,2237.00,2207.20,2224.55,2212.50,2210.80,2215.65,2416.35,1456.35,1716729,3803668166.15,63987
16,29-May-2023,EQ,2225.00,2241.80,2220.20,2218.45,2227.30,2224.55,2230.23,2416.35,1456.35,1369656,3054642456.65,62359
17,26-May-2023,EQ,2209.00,2220.75,2201.00,2204.70,2218.00,2218.45,2213.00,2416.35,1456.35,1249128,2764318879.35,59656
18,25-May-2023,EQ,2190.00,2207.30,2178.00,2185.15,2205.55,2204.70,2190.71,2416.35,1456.35,1689521,3701256865.80,110789
19,24-May-2023,EQ,2200.00,2208.50,2176.00,2197.65,2190.00,2185.15,2189.90,2416.35,1456.35,2648479,5799912291.00,177358
20,23-May-2023,EQ,2225.60,2228.60,2194.00,2216.60,2196.00,2197.65,2203.51,2416.35,1456.35,2265389,4991800513.00,148396
21,22-May-2023,EQ,2190.00,2222.00,2178.40,2190.05,2219.75,2216.60,2211.10,2416.35,1456.35,1112099,2458966165.50,79757
22,19-May-2023,EQ,2192.00,2199.05,2168.50,2188.20,2194.00,2190.05,2183.81,2416.35,1456.35,1729803,3777564560.35,126536
23,18-May-2023,EQ,2230.00,2233.55,2181.00,2219.60,2187.60,2188.20,2204.09,2416.35,1456.35,2290757,5049027902.95,90474
24,17-May-2023,EQ,2224.35,2244.00,2210.20,2227.20,2217.50,2219.60,2223.69,2416.35,1456.35,1961004,4360662313.15,154051
25,16-May-2023,EQ,2254.60,2255.00,2223.10,2246.85,2227.55,2227.20,2234.36,2416.35,1456.35,2528855,5650378608.00,204858
26,15-May-2023,EQ,2220.90,2260.00,2215.00,2221.10,2243.00,2246.85,2245.48,2416.35,1456.35,2662740,5979133304.65,189172
27,12-May-2023,EQ,2222.65,2235.00,2197.35,2242.15,2226.00,2221.10,2216.56,2416.35,1456.35,5367292,11896941825.55,270385
28,11-May-2023,EQ,2300.00,2314.05,2237.35,2364.45,2244.00,2242.15,2255.59,2416.35,1456.35,9470848,21362395284.80,517410
29,10-May-2023,EQ,2387.00,2388.95,2350.00,2374.35,2372.80,2364.45,2362.84,2416.35,1456.35,1675409,3958730205.45,68774
30,09-May-2023,EQ,2367.65,2401.90,2367.65,2365.40,2374.95,2374.35,2380.73,2416.35,1456.35,1417301,3374208041.20,102983
31,08-May-2023,EQ,2377.45,2385.00,2354.05,2377.50,2368.00,2365.40,2368.84,2416.35,1456.35,1583576,3751236289.35,63374
32,05-May-2023,EQ,2357.00,2406.95,2357.00,2356.90,2379.45,2377.50,2389.07,2416.35,1456.35,2425866,5795571367.25,133605
33,04-May-2023,EQ,2361.80,2381.65,2342.85,2356.30,2363.00,2356.90,2357.79,2416.35,1456.35,1230912,2902234986.20,59655
34,03-May-2023,EQ,2384.10,2390.00,2348.50,2384.45,2355.80,2356.30,2362.54,2416.35,1456.35,998235,2358370082.20,67794
35,02-May-2023,EQ,2373.20,2416.35,2373.20,2364.40,2387.00,2384.45,2393.24,2416.35,1456.35,1840153,4403931558.40,101401
36,28-Apr-2023,EQ,2312.30,2369.00,2312.30,2305.60,2360.00,2364.40,2346.47,2369.00,1456.35,2884961,6769472231.40,109342
37,27-Apr-2023,EQ,2275.75,2310.00,2267.10,2276.15,2305.50,2305.60,2294.66,2330.00,1456.35,1252989,2875179639.60,60784
38,26-Apr-2023,EQ,2247.85,2287.30,2244.05,2247.95,2276.00,2276.15,2271.49,2330.00,1456.35,1894812,4304048330.15,86235
39,25-Apr-2023,EQ,2231.05,2254.00,2218.10,2228.90,2245.80,2247.95,2241.47,2330.00,1456.35,1350118,3026249576.45,83288
40,24-Apr-2023,EQ,2220.00,2232.70,2186.55,2215.20,2232.50,2228.90,2210.17,2330.00,1456.35,1239073,2738563468.15,66820
41,21-Apr-2023,EQ,2240.15,2243.00,2202.00,2232.75,2214.90,2215.20,2214.16,2330.00,1456.35,1009316,2234791968.95,56949
42,20-Apr-2023,EQ,2225.00,2251.45,2222.25,2219.60,2236.35,2232.75,2234.99,2330.00,1456.35,1898996,4244231154.35,64047
43,19-Apr-2023,EQ,2208.10,2235.00,2208.10,2216.60,2218.00,2219.60,2224.31,2330.00,1456.35,1970015,4381923167.65,88619
44,18-Apr-2023,EQ,2220.00,2230.00,2188.00,2214.00,2222.00,2216.60,2208.18,2330.00,1456.35,2848601,6290219457.25,159574
45,17-Apr-2023,EQ,2258.75,2273.80,2201.15,2258.75,2213.00,2214.00,2217.64,2330.00,1456.35,4125850,9149653322.50,135338
