,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,9530.00,9538.90,9420.00,9532.00,9515.05,9492.10,9476.15,9800.00,7625.15,612713,5806163235.70,67707
1,19-Jun-2023,EQ,9638.00,9642.15,9510.00,9603.70,9540.00,9532.00,9581.29,9800.00,7625.15,395006,3784665309.40,40835
2,16-Jun-2023,EQ,9595.05,9643.40,9552.00,9594.85,9605.00,9603.70,9603.49,9800.00,7625.15,682099,6550531145.60,75190
3,15-Jun-2023,EQ,9555.00,9697.80,9543.00,9532.50,9593.05,9594.85,9628.01,9800.00,7625.15,459978,4428672734.55,48197
4,14-Jun-2023,EQ,9520.00,9599.00,9490.50,9517.50,9530.00,9532.50,9544.05,9800.00,7625.15,328167,3132043090.30,38303
5,13-Jun-2023,EQ,9588.00,9618.05,9505.65,9550.45,9515.70,9517.50,9552.46,9800.00,7625.15,561014,5359061697.30,41757
6,12-Jun-2023,EQ,9625.00,9700.00,9537.65,9627.80,9550.40,9550.45,9561.79,9800.00,7625.15,316879,3029930516.55,42034
7,09-Jun-2023,EQ,9675.50,9713.90,9611.10,9658.60,9635.00,9627.80,9656.06,9800.00,7555.00,161389,1558381631.20,27995
8,08-Jun-2023,EQ,9733.00,9765.00,9625.50,9707.50,9650.25,9658.60,9680.90,9800.00,7555.00,273746,2650107758.35,36258
9,07-Jun-2023,EQ,9788.00,9800.00,9650.50,9736.20,9673.00,9707.50,9729.88,9800.00,7555.00,453747,4414905766.90,64634
10,06-Jun-2023,EQ,9629.00,9770.00,9611.00,9582.10,9715.00,9736.20,9718.17,9770.00,7555.00,542318,5270336890.95,72431
11,05-Jun-2023,EQ,9552.50,9640.00,9488.55,9485.35,9585.00,9582.10,9588.84,9769.00,7555.00,434649,4167778434.55,54879
12,02-Jun-2023,EQ,9389.00,9525.15,9312.70,9328.30,9500.25,9485.35,9428.06,9769.00,7555.00,445105,4196476839.35,44282
13,01-Jun-2023,EQ,9337.50,9377.55,9222.00,9367.70,9330.00,9328.30,9306.45,9769.00,7555.00,378706,3524409606.20,46443
14,31-May-2023,EQ,9449.95,9449.95,9267.60,9383.35,9325.00,9367.70,9357.38,9769.00,7555.00,1614766,15109983758.15,82790
15,30-May-2023,EQ,9380.00,9402.90,9300.00,9333.50,9400.00,9383.35,9367.82,9769.00,7555.00,372004,3484866364.50,44620
16,29-May-2023,EQ,9435.00,9488.80,9312.05,9399.95,9334.00,9333.50,9369.96,9769.00,7555.00,236834,2219126179.60,29993
17,26-May-2023,EQ,9333.00,9415.00,9311.25,9281.85,9400.00,9399.95,9385.38,9769.00,7555.00,346760,3254474348.25,49140
18,25-May-2023,EQ,9220.75,9293.40,9216.05,9270.75,9282.05,9281.85,9262.50,9769.00,7555.00,218979,2028293008.15,28075
19,24-May-2023,EQ,9168.00,9318.20,9159.00,9200.70,9277.00,9270.75,9277.46,9769.00,7555.00,470365,4363791600.30,47175
20,23-May-2023,EQ,9169.00,9235.00,9156.75,9156.65,9190.00,9200.70,9201.24,9769.00,7555.00,269008,2475207117.80,31647
21,22-May-2023,EQ,9090.00,9169.70,9073.85,9105.95,9150.00,9156.65,9144.98,9769.00,7555.00,182115,1665437934.75,27045
22,19-May-2023,EQ,9060.00,9118.20,8960.55,9053.30,9108.00,9105.95,9021.45,9769.00,7150.00,543472,4902904246.25,30517
23,18-May-2023,EQ,9144.95,9150.00,9044.10,9119.40,9068.95,9053.30,9090.66,9769.00,7150.00,272497,2477178262.30,40717
24,17-May-2023,EQ,9080.35,9132.00,9032.05,9071.35,9122.15,9119.40,9083.78,9769.00,7150.00,290482,2638674503.95,44537
25,16-May-2023,EQ,9219.10,9229.30,9057.10,9207.30,9074.95,9071.35,9112.41,9769.00,7150.00,448981,4091300130.60,67682
26,15-May-2023,EQ,9242.00,9307.50,9185.40,9295.40,9200.05,9207.30,9233.32,9769.00,7150.00,259316,2394347052.55,45117
27,12-May-2023,EQ,9260.95,9329.80,9232.65,9260.90,9272.00,9295.40,9275.88,9769.00,7062.35,403028,3738440470.40,57527
28,11-May-2023,EQ,9242.95,9315.00,9142.05,9168.15,9260.00,9260.90,9245.10,9769.00,7062.35,644550,5958927392.80,65745
29,10-May-2023,EQ,9128.80,9180.00,9060.00,9111.55,9144.95,9168.15,9115.25,9769.00,7062.35,366827,3343719121.50,64875
