,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,22794.85,22999.95,22720.00,22794.85,22950.00,22955.55,22870.22,23175.25,16537.55,68877,1575231826.05,22757
1,19-Jun-2023,EQ,23025.00,23150.00,22761.25,22968.55,22799.00,22794.85,22925.78,23175.25,16537.55,43331,993396770.30,12651
2,16-Jun-2023,EQ,22966.20,23175.25,22877.30,22966.20,23050.00,22968.55,22992.26,23175.25,16435.00,73541,1690873699.50,18933
3,15-Jun-2023,EQ,22728.75,23000.00,22632.50,22728.75,22953.70,22966.20,22920.09,23000.00,16435.00,73757,1690516754.60,19137
4,14-Jun-2023,EQ,22525.00,22751.00,22500.00,22492.60,22749.90,22728.75,22645.61,22751.00,16435.00,72377,1639021063.80,17782
5,13-Jun-2023,EQ,22349.00,22678.00,22292.35,22289.35,22498.85,22492.60,22526.07,22678.00,16435.00,83347,1877479976.70,20258
6,12-Jun-2023,EQ,22050.00,22349.00,22029.15,22073.45,22349.00,22289.35,22232.89,22577.55,16435.00,62352,1386264961.25,18217
7,09-Jun-2023,EQ,22100.90,22280.00,22040.90,22148.90,22125.00,22073.45,22117.54,22577.55,16435.00,70915,1568465022.90,16991
8,08-Jun-2023,EQ,22460.00,22577.55,22087.45,22367.75,22147.60,22148.90,22250.25,22577.55,16435.00,72929,1622688144.80,15552
9,07-Jun-2023,EQ,21749.90,22424.75,21749.90,21705.40,22355.30,22367.75,22264.28,22424.75,16435.00,156812,3491305772.20,30498
10,06-Jun-2023,EQ,21874.15,21931.55,21617.55,21834.15,21749.00,21705.40,21736.48,22300.00,16435.00,78523,1706814008.25,19626
11,05-Jun-2023,EQ,21999.05,22129.70,21790.00,22046.45,21850.00,21834.15,21895.96,22300.00,16435.00,81509,1784718197.70,20291
12,02-Jun-2023,EQ,22000.00,22095.00,21820.00,21874.30,22025.10,22046.45,21987.28,22300.00,16435.00,58248,1280715229.35,21538
13,01-Jun-2023,EQ,21786.00,21924.95,21572.80,21673.10,21820.00,21874.30,21828.21,22300.00,16435.00,59866,1306767340.90,19406
14,31-May-2023,EQ,21580.00,21858.35,21515.00,21574.45,21778.95,21673.10,21659.79,22300.00,16435.00,424794,9200947008.55,58341
15,30-May-2023,EQ,21680.00,21728.60,21511.05,21729.45,21575.00,21574.45,21574.73,22300.00,16435.00,46981,1013602475.15,19838
16,29-May-2023,EQ,21724.95,21850.00,21552.10,21581.75,21698.80,21729.45,21675.61,22300.00,16435.00,53437,1158279663.00,14183
17,26-May-2023,EQ,21484.95,21629.00,21370.00,21474.90,21600.00,21581.75,21507.07,22300.00,16435.00,63159,1358365105.05,19604
18,25-May-2023,EQ,21500.00,21632.00,21310.85,21380.60,21520.00,21474.90,21486.89,22300.00,16435.00,81502,1751224245.00,30487
19,24-May-2023,EQ,21403.70,21498.00,21275.00,21403.70,21409.00,21380.60,21375.30,22300.00,16435.00,44364,948293977.95,11193
20,23-May-2023,EQ,21450.00,21610.00,21362.10,21494.80,21420.00,21403.70,21489.99,22300.00,16435.00,55459,1191813461.75,20474
21,22-May-2023,EQ,21699.00,21699.00,21422.10,21690.15,21535.10,21494.80,21556.18,22300.00,16435.00,51095,1101413234.30,16009
22,19-May-2023,EQ,21800.00,21800.00,21506.10,21679.60,21630.00,21690.15,21630.00,22300.00,16000.00,73220,1583748578.30,19054
23,18-May-2023,EQ,21850.00,21950.00,21650.20,21732.50,21675.00,21679.60,21771.05,22300.00,16000.00,51175,1114133536.80,19196
24,17-May-2023,EQ,21780.40,21891.30,21600.00,21780.40,21799.00,21732.50,21750.14,22300.00,16000.00,66788,1452648111.10,16764
25,16-May-2023,EQ,21875.00,21989.00,21720.00,21786.60,21763.50,21780.40,21832.29,22300.00,16000.00,77257,1686697331.75,23799
26,15-May-2023,EQ,21820.00,22019.90,21751.25,21794.15,21810.00,21786.60,21813.66,22300.00,16000.00,72570,1583017454.10,15384
27,12-May-2023,EQ,22019.00,22069.40,21740.00,22019.80,21780.05,21794.15,21909.67,22300.00,16000.00,66961,1467093102.30,13860
28,11-May-2023,EQ,22099.00,22235.00,21950.30,22050.00,22100.00,22019.80,22030.57,22300.00,16000.00,68937,1518721211.85,21854
29,10-May-2023,EQ,21971.35,22129.90,21969.50,21971.35,22020.00,22050.00,22057.76,22300.00,16000.00,60441,1333193007.20,14940
30,09-May-2023,EQ,22000.00,22144.95,21846.70,21983.25,21914.00,21971.35,21999.05,22300.00,16000.00,43287,952272906.40,14167
31,08-May-2023,EQ,22050.00,22300.00,21760.40,22019.85,21980.00,21983.25,21997.04,22300.00,16000.00,75656,1664208138.70,26693
32,05-May-2023,EQ,21799.95,22078.70,21749.90,21693.75,22020.00,22019.85,21944.58,22099.00,16000.00,55076,1208619950.15,21161
33,04-May-2023,EQ,21878.85,21994.95,21637.85,21875.70,21717.95,21693.75,21759.24,22099.00,16000.00,63534,1382451519.70,18333
34,03-May-2023,EQ,21745.00,21945.85,21578.40,21745.85,21839.80,21875.70,21849.85,22099.00,16000.00,57013,1245725310.70,23474
35,02-May-2023,EQ,21800.00,22099.00,21672.50,21761.40,21750.00,21745.85,21897.41,22099.00,16000.00,89170,1952591809.30,34750
36,28-Apr-2023,EQ,21181.95,21849.60,21130.00,21147.30,21750.00,21761.40,21546.92,21849.60,16000.00,166516,3587906497.80,36311
37,27-Apr-2023,EQ,21066.25,21199.95,21000.05,21026.25,21192.00,21147.30,21105.65,21199.95,16000.00,102232,2157673195.55,21896
