,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,186.0,188.0,184.55,185.85,188.0,187.5,186.5,188.7,134.95,6035600,1125643229.55,88938
1,19-Jun-2023,EQ,188.2,188.2,185.2,188.2,185.75,185.85,186.11,188.7,134.95,5363723,998246336.35,45792
2,16-Jun-2023,EQ,186.9,188.7,186.05,186.7,188.2,188.2,187.87,188.7,134.95,8562558,1608613049.10,46877
3,15-Jun-2023,EQ,187.0,187.3,185.35,187.2,186.75,186.7,186.55,188.4,134.95,9840499,1835725791.45,108656
4,14-Jun-2023,EQ,185.35,188.4,185.35,185.35,187.0,187.2,187.35,188.4,134.95,15061573,2821758267.40,95083
5,13-Jun-2023,EQ,186.0,186.65,185.0,185.7,185.7,185.35,185.7,186.65,134.95,8332566,1547365275.85,70149
6,12-Jun-2023,EQ,182.8,186.45,182.65,182.8,186.2,185.7,185.3,186.45,134.95,17450400,3233595779.45,93708
7,09-Jun-2023,EQ,184.0,184.25,180.55,182.05,182.75,182.8,182.16,184.35,134.95,10235269,1864448519.35,58692
8,08-Jun-2023,EQ,178.75,184.35,178.1,177.35,182.85,182.05,182.51,184.35,134.95,27382635,4997608615.05,120826
9,07-Jun-2023,EQ,175.95,178.0,175.4,175.4,177.9,177.35,176.48,182.95,134.95,6270083,1106556351.70,70821
10,06-Jun-2023,EQ,174.5,175.75,173.55,174.1,175.5,175.4,174.89,182.95,134.95,4889564,855154235.45,41094
11,05-Jun-2023,EQ,175.8,176.2,173.55,174.55,174.3,174.1,174.6,182.95,134.95,12239684,2137079209.55,69041
12,02-Jun-2023,EQ,175.9,175.9,173.4,174.4,174.2,174.55,174.47,182.95,134.95,7262018,1266971509.20,62001
13,01-Jun-2023,EQ,173.6,174.7,171.85,173.85,174.4,174.4,173.63,182.95,134.95,11602551,2014593946.30,74062
14,31-May-2023,EQ,177.0,177.0,171.95,176.8,172.65,173.85,173.85,182.95,134.95,41785992,7264452356.65,142160
15,30-May-2023,EQ,177.0,178.0,175.6,176.3,176.4,176.8,176.72,182.95,134.95,9727639,1719069837.85,58714
16,29-May-2023,EQ,174.95,177.8,174.8,174.5,176.4,176.3,176.44,182.95,134.95,9943211,1754363411.80,68982
17,26-May-2023,EQ,175.0,177.25,174.1,174.5,174.25,174.5,175.08,182.95,134.95,6926193,1212603722.80,47328
18,25-May-2023,EQ,174.95,175.55,173.4,174.95,174.6,174.5,174.4,182.95,134.95,7986243,1392778808.60,45233
19,24-May-2023,EQ,174.0,175.3,173.45,174.15,175.0,174.95,174.73,182.95,134.95,8507023,1486419762.50,39483
20,23-May-2023,EQ,174.95,175.65,172.8,174.1,174.2,174.15,174.54,182.95,134.95,8359389,1459018189.30,54174
21,22-May-2023,EQ,173.3,177.05,173.15,173.3,174.2,174.1,175.16,182.95,134.95,13339834,2336571110.65,89650
22,19-May-2023,EQ,175.0,175.35,172.95,175.1,173.3,173.3,173.87,182.95,134.95,6657753,1157554446.70,74123
23,18-May-2023,EQ,177.0,177.7,174.65,176.0,175.15,175.1,176.51,182.95,134.95,6921939,1221793737.65,61481
24,17-May-2023,EQ,177.45,177.85,175.05,177.45,176.25,176.0,176.18,182.95,134.95,6639494,1169735402.35,80122
25,16-May-2023,EQ,176.9,178.0,175.5,175.95,177.5,177.45,176.96,182.95,134.95,7874923,1393547576.45,83164
26,15-May-2023,EQ,174.0,176.75,173.85,174.95,176.0,175.95,175.66,182.95,134.95,7980565,1401884301.65,94065
27,12-May-2023,EQ,179.1,179.25,174.5,179.55,175.15,174.95,175.85,182.95,134.95,8920297,1568653926.50,106767
28,11-May-2023,EQ,177.6,180.0,176.95,177.05,179.3,179.55,179.29,182.95,134.95,12125975,2174083405.45,85773
29,10-May-2023,EQ,176.0,177.35,174.95,176.0,177.35,177.05,176.23,182.95,134.95,6231734,1098198886.25,61332
30,09-May-2023,EQ,177.2,178.65,175.2,177.05,175.35,176.0,177.09,182.95,134.95,7918748,1402322929.50,49980
31,08-May-2023,EQ,174.8,177.55,174.5,174.25,177.25,177.05,176.68,182.95,134.95,6287186,1110797495.50,57312
32,05-May-2023,EQ,176.35,176.4,173.0,176.35,174.6,174.25,174.23,182.95,134.95,5958697,1038163200.10,47617
33,04-May-2023,EQ,176.45,177.45,174.8,176.35,175.95,176.35,176.05,182.95,134.95,4671155,822369202.25,43450
34,03-May-2023,EQ,175.6,178.65,175.1,175.6,176.5,176.35,176.82,182.95,134.95,11194149,1979359532.65,78080
35,02-May-2023,EQ,172.65,176.0,172.55,172.0,176.0,175.6,174.47,182.95,134.95,8893428,1551605755.30,80677
36,28-Apr-2023,EQ,171.9,172.5,169.6,170.95,172.0,172.0,171.06,182.95,134.95,21552892,3686927480.55,64148
37,27-Apr-2023,EQ,170.0,171.35,168.8,169.85,171.05,170.95,170.15,182.95,134.95,9054900,1540734214.15,58621
38,26-Apr-2023,EQ,171.1,171.7,169.5,171.1,169.95,169.85,170.01,182.95,134.95,9032416,1535568706.15,52110
