,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,45097.0,EQ,157.55,157.8,156.55,157.8,157.0,157.25,157.09,169.0,119.85,6059738.0,951937634.8,66881.0
1,45096.0,EQ,157.9,158.45,156.5,157.0,157.6,157.8,157.7,169.0,119.85,4718221.0,744071215.35,44851.0
2,45093.0,EQ,158.25,158.65,156.35,157.65,157.0,157.0,157.32,169.0,119.85,11466647.0,1803918264.6,44853.0
3,45092.0,EQ,157.5,157.9,156.2,157.85,157.85,157.65,157.14,169.0,119.85,7426254.0,1166932525.4,56969.0
4,45091.0,EQ,156.1,158.4,155.85,155.65,157.6,157.85,157.18,169.0,119.85,9695952.0,1524040667.95,62655.0
5,45090.0,EQ,155.2,156.2,154.25,155.05,155.85,155.65,155.64,169.0,119.85,10073644.0,1567881195.6,51279.0
6,45089.0,EQ,154.85,155.25,152.6,154.25,155.2,155.05,154.59,169.0,119.85,11017643.0,1703167821.05,88946.0
7,45086.0,EQ,156.7,156.9,153.8,156.1,154.2,154.25,154.45,169.0,119.85,11764248.0,1817019388.8,51533.0
8,45085.0,EQ,154.5,156.65,154.2,153.85,156.3,156.1,155.98,169.0,119.85,13850599.0,2160456468.85,62921.0
9,45084.0,EQ,153.6,154.5,152.55,153.65,154.4,153.85,153.51,169.0,119.85,12180164.0,1869780364.25,64890.0
10,45083.0,EQ,155.5,155.9,153.2,155.4,153.8,153.65,153.87,169.0,119.85,8118800.0,1249277654.1,61060.0
11,45082.0,EQ,155.5,156.0,154.45,154.7,155.35,155.4,155.34,169.0,119.85,11850547.0,1840888093.95,61439.0
12,45079.0,EQ,155.0,155.0,153.4,153.65,154.7,154.7,154.16,169.0,119.85,9851058.0,1518606783.55,51881.0
13,45078.0,EQ,154.7,156.0,153.2,154.9,154.0,153.65,154.2,169.0,119.85,13982606.0,2156090243.3,78938.0
14,45077.0,EQ,159.0,159.4,150.05,158.85,153.7,154.9,155.2,169.0,119.85,83741017.0,12996588002.8,138955.0
15,45076.0,EQ,159.7,161.7,157.25,159.0,159.0,158.85,159.62,169.0,119.85,16117505.0,2572600526.2,82414.0
16,45075.0,EQ,160.0,160.25,156.5,163.75,159.0,159.0,158.65,169.0,119.85,43253971.0,6862195567.45,191658.0
17,45072.0,EQ,166.05,167.4,162.3,166.0,164.0,163.75,163.71,169.0,119.85,14873707.0,2434997985.7,65745.0
18,45071.0,EQ,166.25,167.4,165.25,166.25,166.25,166.0,165.64,169.0,119.85,8077606.0,1337984102.55,36900.0
19,45070.0,EQ,165.0,166.45,164.65,165.0,166.1,166.25,165.86,169.0,119.85,6107980.0,1013067440.8,38943.0
20,45069.0,EQ,165.6,167.05,164.45,165.6,165.2,165.0,165.71,169.0,119.85,10119254.0,1676873847.35,45552.0
21,45068.0,EQ,164.1,166.4,164.1,164.9,165.0,165.6,165.74,169.0,119.85,7331865.0,1215195501.25,46973.0
22,45065.0,EQ,166.2,166.75,164.0,166.35,164.6,164.9,165.39,169.0,119.85,5969632.0,987316976.0,27535.0
23,45064.0,EQ,167.5,168.45,166.0,167.25,166.2,166.35,166.99,169.0,119.85,7433090.0,1241278399.4,46386.0
24,45063.0,EQ,168.0,168.0,166.1,168.0,167.2,167.25,166.89,169.0,119.85,7360259.0,1228332079.75,60545.0
25,45062.0,EQ,168.3,168.5,166.75,165.6,167.6,168.0,167.9,169.0,119.85,12249266.0,2056690969.55,60457.0
26,45061.0,EQ,165.5,166.6,164.4,165.5,165.7,165.6,165.84,169.0,119.85,8559162.0,1419409153.35,54849.0
27,45058.0,EQ,168.15,169.0,165.0,167.05,165.65,165.5,166.18,169.0,119.85,16373574.0,2720891885.55,75276.0
28,45057.0,EQ,166.1,168.65,166.1,166.95,167.0,167.05,167.72,168.65,119.85,7877677.0,1321228080.15,74655.0
29,45056.0,EQ,165.25,167.65,165.0,165.25,166.75,166.95,166.89,167.65,119.85,10901429.0,1819324609.0,75314.0
30,45055.0,EQ,165.0,166.5,164.4,165.0,164.8,165.25,165.33,167.35,119.85,7600834.0,1256644842.1,77957.0
31,45054.0,EQ,160.3,165.35,160.0,160.3,164.7,165.0,164.05,167.35,119.85,9699470.0,1591240073.0,70350.0
32,45051.0,EQ,161.05,161.95,159.7,161.0,159.9,160.3,160.47,168.4,119.85,5488707.0,880766460.65,32754.0
33,45050.0,EQ,160.8,161.2,159.2,161.15,160.8,161.0,160.34,168.4,119.85,9929482.0,1592111828.45,62244.0
34,45049.0,EQ,162.9,163.35,160.85,164.25,161.15,161.15,162.02,168.4,119.85,8029435.0,1300928844.95,53316.0
35,45048.0,EQ,159.5,164.8,159.35,158.95,164.3,164.25,163.46,168.4,119.85,16612560.0,2715430266.65,84744.0
36,45044.0,EQ,159.8,159.8,154.85,160.05,158.7,158.95,158.16,173.0,119.85,12656744.0,2001816450.65,54241.0
37,45043.0,EQ,160.2,160.9,159.6,161.15,159.8,160.05,160.35,173.0,119.85,6456825.0,1035372140.65,39375.0
38,45042.0,EQ,160.0,161.6,159.75,160.65,160.7,161.15,160.86,173.0,119.85,9177783.0,1476331745.75,51786.0
39,45041.0,EQ,160.2,161.8,160.0,160.25,160.5,160.65,160.92,173.0,119.85,10169778.0,1636551846.15,62034.0
40,45040.0,EQ,159.6,160.75,159.3,159.6,160.3,160.25,160.15,173.0,119.85,7028440.0,1125594529.45,48581.0
41,45037.0,EQ,158.9,159.85,158.7,159.15,159.65,159.6,159.23,179.8,119.85,3512214.0,559255326.7,33602.0
42,45036.0,EQ,159.6,160.1,158.5,160.1,159.1,159.15,159.16,179.8,119.85,5733670.0,912596426.8,33912.0
43,45035.0,EQ,158.3,160.45,158.05,160.1,159.65,160.1,159.69,179.8,119.85,11374283.0,1816381087.45,62075.0
44,45034.0,EQ,160.15,160.55,159.4,160.15,160.05,160.1,160.03,179.8,119.85,8008560.0,1281606132.95,46216.0
45,45033.0,EQ,159.1,160.45,158.0,158.75,160.05,160.15,159.26,179.8,119.85,9358885.0,1490529533.05,64142.0
46,45029.0,EQ,158.15,160.5,158.0,157.65,158.95,158.75,159.04,179.8,119.85,11610851.0,1846622510.7,66579.0
47,45028.0,EQ,159.0,159.05,156.6,159.05,157.95,157.65,157.73,179.8,119.85,7333339.0,1156662905.35,49427.0
48,45027.0,EQ,157.1,159.3,156.4,157.15,158.85,159.05,158.35,179.8,119.85,13305621.0,2106901394.7,67932.0
49,45026.0,EQ,150.7,157.5,150.0,150.6,156.6,157.15,155.55,179.8,119.85,17431401.0,2711389320.35,88393.0
50,45022.0,EQ,153.2,153.45,150.4,152.9,150.7,150.6,151.07,179.8,119.85,10670936.0,1612107876.45,77099.0
51,45021.0,EQ,156.75,157.35,152.55,153.65,153.15,152.9,154.49,179.8,119.85,15880397.0,2453353325.6,86829.0
