,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,243.85,249.7,243.75,243.1,249.7,248.75,247.5,249.7,186.35,10069774,2492299760.45,72383
1,19-Jun-2023,EQ,246.45,248.3,242.4,246.45,243.9,243.1,244.08,249.6,186.35,7823736,1909621965.30,61073
2,16-Jun-2023,EQ,246.4,247.35,244.5,246.45,245.45,246.45,245.9,249.6,186.35,7276771,1789354240.10,47293
3,15-Jun-2023,EQ,246.95,246.95,243.8,246.5,246.0,246.45,245.4,249.6,186.35,7299562,1791292107.30,53486
4,14-Jun-2023,EQ,242.1,247.2,242.1,242.25,245.95,246.5,245.77,249.6,186.35,7723070,1898083243.30,65388
5,13-Jun-2023,EQ,242.0,243.45,241.45,241.65,242.6,242.25,242.36,249.6,186.35,4832414,1171166743.15,41135
6,12-Jun-2023,EQ,245.0,246.45,241.2,244.9,241.75,241.65,243.12,249.6,186.35,6141682,1493178147.45,63653
7,09-Jun-2023,EQ,243.55,245.5,241.8,241.65,244.2,244.9,243.44,249.6,186.35,8277856,2015153993.45,69001
8,08-Jun-2023,EQ,239.25,245.45,239.25,239.2,242.55,241.65,243.38,249.6,186.35,14475626,3523138822.10,91747
9,07-Jun-2023,EQ,236.7,240.05,236.15,235.3,240.0,239.2,238.54,249.6,186.35,8365179,1995388142.80,77639
10,06-Jun-2023,EQ,236.45,237.0,234.45,235.6,235.75,235.3,235.41,249.6,186.35,5173953,1218006657.90,42309
11,05-Jun-2023,EQ,236.45,238.0,234.8,234.6,235.25,235.6,236.75,249.6,186.35,20571227,4870204794.30,56990
12,02-Jun-2023,EQ,234.0,235.1,233.1,233.0,234.7,234.6,234.08,249.6,186.35,4963336,1161801488.25,49076
13,01-Jun-2023,EQ,232.95,234.1,230.05,233.85,233.1,233.0,232.69,249.6,186.35,6603593,1536559000.75,80254
14,31-May-2023,EQ,235.0,235.2,230.0,235.1,231.25,233.85,233.79,249.6,186.35,36078118,8434650183.20,91015
15,30-May-2023,EQ,235.9,235.9,233.7,234.5,234.95,235.1,234.96,249.6,186.35,7102445,1668780678.00,72934
16,29-May-2023,EQ,238.2,238.35,234.1,237.3,234.9,234.5,235.99,249.6,186.35,10228723,2413828690.95,68728
17,26-May-2023,EQ,237.85,237.9,234.8,237.95,237.0,237.3,236.35,249.6,186.35,5108851,1207498872.10,53443
18,25-May-2023,EQ,237.7,240.3,236.3,235.8,238.1,237.95,237.71,249.6,186.35,9377061,2228994562.70,64462
19,24-May-2023,EQ,237.8,237.85,234.85,234.1,236.2,235.8,235.99,249.6,186.35,6658479,1571365916.45,66422
20,23-May-2023,EQ,234.05,236.55,233.35,234.35,234.0,234.1,234.86,249.6,186.35,9343921,2194546821.25,89277
21,22-May-2023,EQ,234.7,239.0,232.65,233.7,234.2,234.35,235.1,249.6,186.35,9424597,2215735775.80,82594
22,19-May-2023,EQ,235.65,237.5,232.0,235.65,233.85,233.7,234.11,249.6,186.35,7553771,1768385288.90,76447
23,18-May-2023,EQ,241.0,241.0,234.6,238.8,235.0,235.65,236.84,249.6,186.35,10873293,2575280581.75,58879
24,17-May-2023,EQ,240.9,241.9,237.45,240.6,238.5,238.8,239.24,249.6,186.35,8670697,2074358857.65,57419
25,16-May-2023,EQ,243.55,244.55,240.0,243.25,240.05,240.6,241.04,249.6,186.35,8563882,2064269491.20,59973
26,15-May-2023,EQ,243.4,245.65,242.35,241.75,243.2,243.25,243.54,249.6,186.35,9140823,2226160132.35,63950
27,12-May-2023,EQ,248.85,249.6,241.15,248.55,242.1,241.75,244.62,249.6,186.35,10390356,2541645062.55,77565
28,11-May-2023,EQ,247.7,249.2,246.6,247.65,248.4,248.55,248.17,249.2,186.35,9462545,2348293658.45,89357
29,10-May-2023,EQ,245.15,247.95,244.6,243.4,247.45,247.65,246.55,248.35,186.35,7267057,1791708360.45,70731
30,09-May-2023,EQ,244.05,246.9,242.7,244.75,242.95,243.4,244.41,248.35,186.35,6875206,1680364447.25,80369
31,08-May-2023,EQ,241.85,246.25,241.1,241.05,244.5,244.75,244.9,248.35,186.35,6568741,1608666942.55,77646
32,05-May-2023,EQ,238.8,241.5,238.2,238.85,240.75,241.05,240.0,248.35,186.35,2922331,701354853.40,54760
33,04-May-2023,EQ,239.65,240.7,234.95,239.7,238.0,238.85,237.37,248.35,186.35,6892338,1636067327.85,77848
34,03-May-2023,EQ,240.0,242.0,238.8,240.1,239.65,239.7,240.21,248.35,186.35,3591913,862818336.25,53500
35,02-May-2023,EQ,238.7,241.15,238.25,237.25,239.9,240.1,239.81,248.35,186.35,5049681,1210944014.65,85576
36,28-Apr-2023,EQ,236.95,237.95,233.1,235.95,236.35,237.25,235.69,248.35,186.35,7939116,1871137848.85,52736
37,27-Apr-2023,EQ,238.0,238.3,233.5,238.3,236.4,235.95,235.69,248.35,186.35,7345843,1731354927.20,65298
38,26-Apr-2023,EQ,234.05,239.5,232.0,232.9,239.0,238.3,236.25,248.35,186.35,10185764,2406349471.55,80456
39,25-Apr-2023,EQ,231.3,233.9,230.65,231.95,233.0,232.9,232.97,248.35,186.35,6254028,1456992335.70,50531
40,24-Apr-2023,EQ,231.0,232.3,229.95,231.55,232.0,231.95,231.1,248.35,186.35,4293801,992315457.45,45842
41,21-Apr-2023,EQ,231.8,232.35,229.6,230.9,231.75,231.55,230.95,248.35,186.35,3772988,871366747.25,37604
42,20-Apr-2023,EQ,230.85,232.9,229.65,229.95,230.5,230.9,231.3,248.35,186.35,5481563,1267909521.80,66039
43,19-Apr-2023,EQ,229.0,231.4,228.65,230.3,230.9,229.95,230.34,248.35,186.35,6198143,1427663542.00,60209
44,18-Apr-2023,EQ,236.9,237.5,229.65,236.65,230.9,230.3,231.76,248.35,186.35,10112125,2343606485.10,80892
45,17-Apr-2023,EQ,232.6,239.9,232.3,231.2,236.2,236.65,236.87,248.35,186.35,16361286,3875512432.50,105809
46,13-Apr-2023,EQ,227.3,231.65,227.0,227.3,231.65,231.2,229.25,248.35,186.35,8571466,1965044499.55,52636
47,12-Apr-2023,EQ,231.4,231.55,227.05,231.35,227.5,227.3,228.32,248.35,186.35,6839097,1561522626.25,51827
48,11-Apr-2023,EQ,228.9,232.0,228.45,229.05,231.25,231.35,230.34,248.35,186.35,3829952,882207265.65,48167
49,10-Apr-2023,EQ,225.2,229.4,225.0,225.25,228.9,229.05,228.12,248.35,186.35,3109233,709267085.55,37848
50,06-Apr-2023,EQ,227.2,227.4,224.65,225.65,224.9,225.25,225.75,248.35,186.35,3212157,725148349.65,34193
51,05-Apr-2023,EQ,226.6,226.6,223.7,224.6,226.0,225.65,224.92,248.35,186.35,9014537,2027585083.35,57789
52,03-Apr-2023,EQ,227.35,227.35,223.85,225.7,224.5,224.6,224.87,248.35,186.35,5732411,1289072337.40,62097
53,31-Mar-2023,EQ,224.0,226.75,223.0,222.45,225.5,225.7,225.28,248.35,186.35,7651544,1723720419.35,58908
54,29-Mar-2023,EQ,222.1,223.7,220.55,222.1,223.5,222.45,222.29,248.35,186.35,14807444,3291537195.35,73688
55,28-Mar-2023,EQ,221.25,223.1,218.7,220.1,221.85,222.1,220.97,248.35,186.35,6516875,1440049928.30,45753
56,27-Mar-2023,EQ,222.9,226.25,219.55,222.4,219.9,220.1,223.36,248.35,186.35,14987800,3347696296.30,47090
57,24-Mar-2023,EQ,223.0,224.25,220.8,222.15,222.45,222.4,222.56,248.35,186.35,7778750,1731237232.25,43987
58,23-Mar-2023,EQ,224.0,224.5,221.25,224.1,222.0,222.15,223.0,248.35,186.35,12818474,2858581143.85,43985
59,22-Mar-2023,EQ,223.0,224.7,220.8,223.15,224.05,224.1,222.67,248.35,186.35,5692385,1267547358.05,44556
60,21-Mar-2023,EQ,227.25,227.7,222.45,227.5,223.1,223.15,223.81,248.35,186.35,8454591,1892240143.10,63435
61,20-Mar-2023,EQ,225.3,229.4,225.3,229.7,227.4,227.5,227.08,248.35,186.35,6961059,1580751619.60,61620
62,17-Mar-2023,EQ,233.95,234.0,228.3,232.15,229.4,229.7,231.27,248.35,186.35,25283269,5847370778.65,120170
63,16-Mar-2023,EQ,229.45,232.9,228.35,228.3,231.8,232.15,231.47,248.35,186.35,13828363,3200814705.10,123712
64,15-Mar-2023,EQ,226.6,230.05,225.7,225.2,228.45,228.3,228.3,248.35,186.35,9171052,2093725846.10,124317
65,14-Mar-2023,EQ,225.15,227.75,224.0,226.1,225.45,225.2,225.85,248.35,186.35,7187554,1623310979.55,74944
66,13-Mar-2023,EQ,228.05,230.05,225.4,226.55,226.55,226.1,227.61,248.35,186.35,9907240,2254995182.00,89340
67,10-Mar-2023,EQ,222.25,228.15,222.25,225.8,226.65,226.55,225.93,248.35,186.35,7204076,1627632172.15,86419
68,09-Mar-2023,EQ,229.0,230.45,225.5,228.05,226.25,225.8,227.64,248.35,186.35,10456240,2380227290.05,56572
69,08-Mar-2023,EQ,226.95,228.35,225.7,227.15,227.55,228.05,227.19,248.35,186.35,8693622,1975118200.55,95240
70,06-Mar-2023,EQ,224.0,228.8,223.0,222.1,227.25,227.15,227.15,248.35,186.35,11744968,2667855992.10,120152
71,03-Mar-2023,EQ,220.4,225.45,220.4,220.35,222.25,222.1,223.68,248.35,186.35,7463902,1669552089.65,73072
72,02-Mar-2023,EQ,218.0,221.0,215.8,218.9,220.55,220.35,217.5,248.35,186.35,59781419,13002200151.65,91617
73,01-Mar-2023,EQ,221.55,222.25,217.4,222.25,218.8,218.9,218.68,248.35,186.35,9672064,2115121549.70,78389
74,28-Feb-2023,EQ,220.6,223.0,218.75,219.2,222.0,222.25,221.0,248.35,186.35,27419459,6059614533.15,112318
75,27-Feb-2023,EQ,216.45,219.95,214.55,215.05,219.7,219.2,216.33,248.35,186.35,13322714,2882092306.55,86364
76,24-Feb-2023,EQ,212.4,215.4,212.4,213.25,214.95,215.05,214.06,248.35,186.35,7356623,1574736970.65,42582
77,23-Feb-2023,EQ,215.0,215.9,212.6,214.65,213.2,213.25,213.97,248.35,186.35,7759406,1660306098.80,62914
78,22-Feb-2023,EQ,216.0,217.3,213.0,217.2,214.95,214.65,214.41,248.35,186.35,6846495,1467962129.70,72069
79,21-Feb-2023,EQ,217.55,218.75,216.05,215.8,217.6,217.2,217.4,248.35,186.35,5026076,1092680057.85,57949
80,20-Feb-2023,EQ,215.6,217.0,214.2,213.8,216.15,215.8,215.8,248.35,186.35,5131438,1107346856.95,52334
81,17-Feb-2023,EQ,214.0,215.9,213.0,214.6,213.55,213.8,214.1,248.35,186.35,4868362,1042316063.95,39272
82,16-Feb-2023,EQ,216.9,216.9,214.0,214.5,214.85,214.6,214.7,248.35,186.35,2972337,638160242.05,36227
83,15-Feb-2023,EQ,213.25,215.2,213.0,215.0,214.4,214.5,213.92,248.35,186.35,6080623,1300791588.05,47980
84,14-Feb-2023,EQ,217.05,217.05,212.75,216.0,215.15,215.0,214.13,248.35,186.35,4508011,965308166.50,55718
85,13-Feb-2023,EQ,214.1,216.5,214.0,214.1,215.85,216.0,215.38,248.35,186.35,5782600,1245465401.85,52741
86,10-Feb-2023,EQ,211.9,214.45,211.85,212.85,213.65,214.1,213.7,248.35,186.35,8169120,1745721528.75,55941
87,09-Feb-2023,EQ,212.0,213.95,212.0,212.0,212.85,212.85,213.03,248.35,186.35,5258312,1120163393.35,51834
88,08-Feb-2023,EQ,212.85,213.25,210.45,216.85,212.4,212.0,212.08,248.35,186.35,9324540,1977509225.80,70236
