,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2547.55,2564.00,2535.00,2551.80,2561.50,2557.10,2548.60,2755.00,2180.00,3194085,8140454943.70,119189
1,19-Jun-2023,EQ,2584.00,2584.00,2542.65,2577.40,2550.50,2551.80,2555.84,2755.00,2180.00,3137532,8019025286.30,130037
2,16-Jun-2023,EQ,2560.20,2582.40,2560.20,2552.55,2575.00,2577.40,2574.79,2755.00,2180.00,11155180,28722202805.50,237630
3,15-Jun-2023,EQ,2551.80,2562.55,2535.50,2551.85,2550.15,2552.55,2551.63,2755.00,2180.00,5451926,13911315989.45,193503
4,14-Jun-2023,EQ,2521.00,2555.00,2517.00,2520.85,2546.25,2551.85,2541.35,2755.00,2180.00,6127509,15572120760.55,255684
5,13-Jun-2023,EQ,2495.00,2523.45,2486.25,2484.15,2517.90,2520.85,2509.06,2755.00,2180.00,5190958,13024409119.20,179929
6,12-Jun-2023,EQ,2475.50,2489.20,2465.00,2481.95,2488.00,2484.15,2479.76,2755.00,2180.00,2949893,7315018537.50,155197
7,09-Jun-2023,EQ,2507.00,2508.55,2478.00,2499.65,2482.00,2481.95,2493.99,2814.00,2180.00,2712243,6764300003.70,154585
8,08-Jun-2023,EQ,2506.00,2516.85,2491.00,2498.15,2505.00,2499.65,2504.11,2814.00,2180.00,5570815,13949925583.10,176663
9,07-Jun-2023,EQ,2487.00,2500.00,2472.60,2479.35,2498.00,2498.15,2487.06,2814.00,2180.00,4759238,11836509766.30,187387
10,06-Jun-2023,EQ,2483.45,2487.70,2462.00,2477.25,2483.80,2479.35,2473.70,2814.00,2180.00,3458161,8554457378.70,167754
11,05-Jun-2023,EQ,2467.20,2483.75,2458.45,2455.20,2479.95,2477.25,2470.14,2814.00,2180.00,5034355,12435536493.30,161758
12,02-Jun-2023,EQ,2471.00,2482.85,2451.00,2463.25,2455.25,2455.20,2459.32,2817.35,2180.00,7291995,17933384336.15,160655
13,01-Jun-2023,EQ,2480.15,2484.90,2458.00,2469.90,2467.00,2463.25,2472.06,2817.35,2180.00,6734525,16648139919.55,216233
14,31-May-2023,EQ,2500.00,2509.85,2461.00,2519.95,2466.95,2469.90,2477.34,2817.35,2180.00,12510304,30992295693.45,289027
15,30-May-2023,EQ,2520.60,2537.70,2514.35,2520.60,2520.55,2519.95,2524.94,2817.35,2180.00,5234564,13216961279.00,173212
16,29-May-2023,EQ,2521.00,2530.00,2507.20,2506.50,2518.20,2520.60,2519.76,2817.35,2180.00,4619754,11640658051.85,184530
17,26-May-2023,EQ,2458.00,2509.00,2450.75,2439.95,2508.80,2506.50,2489.54,2817.35,2180.00,5827017,14506612501.75,197182
18,25-May-2023,EQ,2433.90,2449.00,2416.05,2440.25,2444.85,2439.95,2430.14,2817.35,2180.00,5301647,12883732875.05,136521
19,24-May-2023,EQ,2445.90,2464.00,2433.45,2454.55,2441.00,2440.25,2447.77,2817.35,2180.00,3743804,9163984988.70,132191
20,23-May-2023,EQ,2460.65,2468.00,2451.45,2455.00,2453.00,2454.55,2460.13,2817.35,2180.00,2811473,6916583531.40,121065
21,22-May-2023,EQ,2435.00,2466.00,2432.35,2441.95,2454.50,2455.00,2455.77,2817.35,2180.00,3431208,8426266009.20,122501
22,19-May-2023,EQ,2434.05,2445.95,2418.85,2434.05,2444.00,2441.95,2432.71,2817.35,2180.00,3715280,9038204553.15,118264
23,18-May-2023,EQ,2449.55,2457.00,2427.15,2439.30,2433.00,2434.05,2443.67,2817.35,2180.00,4857531,11870219947.45,145659
24,17-May-2023,EQ,2463.00,2465.00,2429.00,2453.80,2442.00,2439.30,2444.63,2817.35,2180.00,4060722,9926961637.20,155508
25,16-May-2023,EQ,2494.00,2499.60,2450.15,2489.25,2454.55,2453.80,2474.17,2817.35,2180.00,4023000,9953570679.50,202246
