,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1281.85,1306.80,1280.50,1280.50,1291.45,1295.35,1297.06,1340.35,1051.55,1474323,1912292701.70,76541
1,19-Jun-2023,EQ,1281.35,1288.15,1275.00,1281.35,1276.50,1280.50,1282.77,1340.35,1051.55,741782,951536176.00,41360
2,16-Jun-2023,EQ,1241.00,1291.95,1236.05,1241.10,1281.25,1281.35,1276.08,1340.35,1051.55,2049003,2614683367.95,71724
3,15-Jun-2023,EQ,1245.00,1250.60,1236.45,1242.30,1238.00,1241.10,1242.57,1340.35,1051.55,738348,917450768.30,40162
4,14-Jun-2023,EQ,1240.10,1254.95,1227.65,1243.30,1240.00,1242.30,1239.09,1340.35,1051.55,713768,884420801.30,30546
5,13-Jun-2023,EQ,1238.00,1248.80,1238.00,1238.90,1241.00,1243.30,1242.88,1340.35,1051.55,1253147,1557508723.15,47701
6,12-Jun-2023,EQ,1242.20,1256.30,1234.85,1232.40,1236.80,1238.90,1245.81,1340.35,1051.55,1402903,1747753898.80,57074
7,09-Jun-2023,EQ,1227.60,1253.60,1227.50,1238.90,1228.00,1232.40,1243.32,1340.35,1051.55,1904738,2368200108.55,69576
8,08-Jun-2023,EQ,1247.70,1254.75,1234.05,1245.80,1242.00,1238.90,1245.45,1340.35,1051.55,760962,947736384.75,40444
9,07-Jun-2023,EQ,1225.30,1248.00,1221.00,1223.00,1247.70,1245.80,1241.70,1340.35,1051.55,1067618,1325662080.35,55811
10,06-Jun-2023,EQ,1219.85,1225.00,1210.10,1215.40,1224.50,1223.00,1218.04,1340.35,1051.55,793761,966828683.20,30459
11,05-Jun-2023,EQ,1208.00,1219.00,1205.00,1202.50,1218.00,1215.40,1211.28,1340.35,1051.55,1599077,1936922174.60,39854
12,02-Jun-2023,EQ,1211.80,1216.20,1199.25,1207.75,1203.50,1202.50,1205.99,1340.35,1051.55,737046,888866840.40,41604
13,01-Jun-2023,EQ,1241.50,1243.00,1204.40,1235.00,1210.00,1207.75,1220.44,1340.35,1051.55,1041761,1271404301.15,61820
14,31-May-2023,EQ,1215.55,1239.65,1211.95,1215.90,1238.00,1235.00,1232.41,1340.35,1051.55,2382996,2936820465.10,64165
