,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1007.65,1007.75,989.60,1001.80,992.60,991.95,993.94,1072.15,794.5,1445688,1436923770.45,66648
1,19-Jun-2023,EQ,995.15,1006.70,993.75,992.00,1000.25,1001.80,1001.73,1072.15,794.5,1327862,1330165553.05,60018
2,16-Jun-2023,EQ,990.00,994.65,987.20,988.40,994.50,992.00,990.69,1072.15,789.9,3611214,3577601431.35,94320
3,15-Jun-2023,EQ,988.50,994.80,985.70,986.70,987.05,988.40,989.36,1072.15,789.9,2731724,2702648558.05,228329
4,14-Jun-2023,EQ,991.60,995.00,984.25,988.10,988.45,986.70,989.86,1072.15,789.9,2139387,2117697465.75,60732
5,13-Jun-2023,EQ,990.00,996.00,985.55,985.45,988.00,988.10,990.80,1072.15,789.9,2413311,2391116073.30,56561
6,12-Jun-2023,EQ,987.90,989.90,981.05,983.95,988.90,985.45,985.24,1072.15,789.9,593319,584563371.15,47574
7,09-Jun-2023,EQ,984.00,990.70,981.00,987.00,985.45,983.95,985.18,1072.15,789.9,2306206,2272027937.90,58845
8,08-Jun-2023,EQ,1015.00,1016.00,983.25,1014.60,991.00,987.00,994.03,1072.15,789.9,3395935,3375678155.75,69351
9,07-Jun-2023,EQ,1015.00,1017.50,1010.00,1013.80,1015.00,1014.60,1013.66,1072.15,789.9,1608613,1630582456.75,63989
10,06-Jun-2023,EQ,1008.90,1015.95,1004.00,1008.75,1010.30,1013.80,1011.07,1072.15,789.9,1632644,1650717817.10,70936
11,05-Jun-2023,EQ,1005.35,1017.70,998.50,999.60,1006.05,1008.75,1010.91,1072.15,789.9,3629780,3669377509.35,133862
12,02-Jun-2023,EQ,986.55,1003.70,981.00,987.70,1001.50,999.60,994.55,1072.15,789.9,3734815,3714466000.05,113823
13,01-Jun-2023,EQ,979.80,990.45,975.00,975.35,986.55,987.70,983.55,1072.15,789.9,3261906,3208253096.70,74533
14,31-May-2023,EQ,965.00,979.30,960.75,959.60,976.00,975.35,973.98,1072.15,789.9,5595631,5450034758.05,105928
15,30-May-2023,EQ,965.00,967.45,956.30,968.45,960.90,959.60,960.70,1072.15,789.9,2624815,2521672254.65,92196
16,29-May-2023,EQ,969.95,973.25,946.40,969.90,968.50,968.45,958.17,1072.15,789.9,5344765,5121168398.30,134349
17,26-May-2023,EQ,943.95,976.70,937.00,945.00,966.95,969.90,959.02,1072.15,789.9,4137189,3967651622.65,120512
