,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,45097.0,EQ,1402.6,1409.9,1380.7,1402.55,1397.65,1396.45,1389.88,1422.8,972.65,1042428.0,1448848860.75,75030.0
1,45096.0,EQ,1409.5,1415.35,1396.0,1403.85,1400.5,1402.55,1406.43,1422.8,972.65,1476764.0,2076959980.9,50352.0
2,45093.0,EQ,1399.0,1409.8,1393.4,1392.75,1406.0,1403.85,1403.03,1422.8,972.65,2132678.0,2992214928.45,83278.0
3,45092.0,EQ,1381.8,1407.2,1371.5,1378.65,1393.05,1392.75,1393.96,1422.8,972.65,1720070.0,2397714144.8,69075.0
4,45091.0,EQ,1374.0,1381.0,1366.0,1373.15,1378.15,1378.65,1376.09,1422.8,972.65,905086.0,1245481508.85,39756.0
5,45090.0,EQ,1383.15,1388.5,1368.2,1381.4,1374.2,1373.15,1374.16,1422.8,972.65,2516583.0,3458194422.9,88930.0
6,45089.0,EQ,1377.9,1384.8,1369.3,1370.65,1384.0,1381.4,1377.34,1422.8,972.65,1389300.0,1913542866.75,87121.0
7,45086.0,EQ,1380.75,1387.0,1363.0,1381.05,1371.85,1370.65,1369.64,1422.8,972.65,1881329.0,2576741282.0,77964.0
8,45085.0,EQ,1412.7,1415.55,1377.5,1406.4,1379.95,1381.05,1390.27,1422.8,972.65,1776230.0,2469433713.7,58863.0
9,45084.0,EQ,1422.8,1422.8,1395.0,1411.2,1409.0,1406.4,1405.42,1422.8,972.65,2491079.0,3501008994.0,85909.0
10,45083.0,EQ,1395.4,1414.9,1388.05,1395.4,1410.1,1411.2,1404.61,1414.9,972.65,2335838.0,3280949721.2,148600.0
11,45082.0,EQ,1349.8,1401.0,1346.35,1341.4,1394.95,1395.4,1382.09,1401.0,972.65,5105293.0,7055993111.65,222575.0
12,45079.0,EQ,1324.85,1345.0,1320.3,1318.9,1343.0,1341.4,1333.58,1397.0,957.05,2313841.0,3085684622.0,119337.0
13,45078.0,EQ,1319.0,1337.7,1312.8,1319.0,1319.8,1318.9,1324.42,1397.0,957.05,2364455.0,3131520548.2,161465.0
14,45077.0,EQ,1325.0,1328.25,1303.25,1328.45,1316.2,1319.0,1318.27,1397.0,957.05,5629378.0,7421049375.1,136284.0
15,45076.0,EQ,1329.95,1335.3,1320.0,1330.15,1327.05,1328.45,1330.4,1397.0,957.05,2493657.0,3317565304.05,102790.0
16,45075.0,EQ,1321.5,1350.0,1298.0,1281.85,1325.05,1330.15,1329.3,1397.0,957.05,6185862.0,8222850122.7,267574.0
17,45072.0,EQ,1290.0,1292.8,1268.35,1277.8,1277.0,1281.85,1283.55,1397.0,910.25,3508112.0,4502827826.0,97532.0
18,45071.0,EQ,1280.0,1280.8,1257.55,1275.7,1279.35,1277.8,1268.92,1397.0,910.25,2040166.0,2588799776.75,88205.0
19,45070.0,EQ,1260.0,1278.0,1254.5,1268.55,1277.1,1275.7,1268.82,1397.0,910.25,1369297.0,1737394061.3,51832.0
20,45069.0,EQ,1265.55,1270.75,1256.55,1265.55,1268.0,1268.55,1265.72,1397.0,910.25,1803955.0,2283309711.0,63990.0
21,45068.0,EQ,1259.25,1269.45,1251.3,1260.4,1265.0,1265.55,1264.15,1397.0,910.25,917769.0,1160198733.6,50047.0
22,45065.0,EQ,1252.9,1262.45,1237.45,1245.5,1258.0,1260.4,1252.59,1397.0,880.15,1588996.0,1990359577.4,76012.0
23,45064.0,EQ,1269.95,1269.95,1241.25,1263.1,1248.8,1245.5,1253.56,1397.0,880.15,1900447.0,2382323213.5,58030.0
24,45063.0,EQ,1265.0,1271.7,1260.7,1262.45,1262.0,1263.1,1265.63,1397.0,880.15,1643851.0,2080508122.7,70293.0
25,45062.0,EQ,1287.0,1291.7,1258.85,1285.65,1265.0,1262.45,1271.96,1397.0,880.15,1571371.0,1998728640.75,88509.0
26,45061.0,EQ,1279.9,1287.75,1272.6,1275.95,1287.5,1285.65,1283.33,1397.0,880.15,2647630.0,3397782400.75,88203.0
27,45058.0,EQ,1256.4,1278.8,1251.3,1251.3,1275.05,1275.95,1267.7,1397.0,853.7,2427624.0,3077503825.2,81774.0
28,45057.0,EQ,1250.0,1260.85,1244.15,1248.65,1251.05,1251.3,1251.6,1397.0,853.7,4100467.0,5132138074.8,81913.0
29,45056.0,EQ,1250.0,1255.8,1235.0,1245.45,1250.0,1248.65,1244.32,1397.0,853.7,2108081.0,2623126522.95,101400.0
30,45055.0,EQ,1239.0,1250.0,1234.05,1231.8,1244.7,1245.45,1244.17,1397.0,853.7,1846359.0,2297176570.65,96037.0
31,45054.0,EQ,1216.95,1239.85,1213.7,1211.2,1233.5,1231.8,1233.24,1397.0,853.7,3513667.0,4333184372.7,119692.0
32,45051.0,EQ,1232.8,1242.35,1208.05,1231.7,1213.0,1211.2,1220.48,1397.0,853.7,4753718.0,5801823647.55,74419.0
33,45050.0,EQ,1235.0,1238.05,1228.0,1235.45,1230.45,1231.7,1231.41,1397.0,853.7,1541188.0,1897827472.0,107298.0
34,45049.0,EQ,1237.3,1242.0,1230.1,1237.3,1235.0,1235.45,1235.35,1397.0,853.7,1307304.0,1614983470.55,51373.0
