,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,114.1,115.25,113.5,114.1,114.5,114.25,114.53,976.70,95.0,30371599,3478440270.40,137218
1,19-Jun-2023,EQ,115.45,115.6,113.05,114.25,114.2,114.1,114.08,976.70,95.0,33502185,3822038084.40,140304
2,16-Jun-2023,EQ,114.4,114.8,113.85,113.75,114.35,114.25,114.24,1013.70,95.0,31715807,3623157859.10,119137
3,15-Jun-2023,EQ,113.9,114.2,113.25,113.8,113.65,113.75,113.75,1013.70,95.0,39430138,4485256302.80,148524
4,14-Jun-2023,EQ,111.5,114.0,111.4,111.15,113.75,113.8,113.22,1013.70,95.0,66696433,7551041425.20,245307
5,13-Jun-2023,EQ,110.0,111.85,109.65,109.5,111.05,111.15,110.85,1013.70,95.0,30018212,3327632939.35,129410
6,12-Jun-2023,EQ,109.15,110.6,109.15,108.9,109.55,109.5,109.79,1013.70,95.0,23472313,2577057322.15,129504
7,09-Jun-2023,EQ,111.25,111.65,108.65,111.15,109.15,108.9,109.42,1088.90,95.0,36392617,3982174835.80,160353
8,08-Jun-2023,EQ,111.5,113.0,110.95,111.5,111.25,111.15,111.81,1088.90,95.0,46380294,5185782963.20,163368
9,07-Jun-2023,EQ,109.5,111.75,108.9,109.0,111.5,111.5,110.46,1088.90,95.0,45157197,4987884439.90,172381
10,06-Jun-2023,EQ,109.75,109.85,108.3,109.4,109.1,109.0,108.94,1088.90,95.0,26751372,2914420221.25,123777
11,05-Jun-2023,EQ,108.65,109.9,107.8,108.0,109.6,109.4,108.83,1088.90,95.0,39642539,4314334583.10,143608
12,02-Jun-2023,EQ,106.5,108.3,106.5,105.95,108.05,108.0,107.48,1092.80,95.0,46686933,5017725667.70,138198
13,01-Jun-2023,EQ,105.9,106.7,105.8,105.8,106.0,105.95,106.15,1092.80,95.0,21211538,2251551758.05,94464
14,31-May-2023,EQ,106.4,106.95,105.6,107.05,105.85,105.8,106.14,1092.80,95.0,41249944,4378251037.75,131061
15,30-May-2023,EQ,108.95,108.95,106.9,108.45,106.95,107.05,107.57,1092.80,95.0,33475211,3600917274.85,134867
16,29-May-2023,EQ,107.0,108.85,106.3,106.4,108.35,108.45,107.92,1092.80,95.0,41062311,4431534295.90,149388
17,26-May-2023,EQ,105.0,106.75,104.95,104.85,106.45,106.4,105.85,1097.00,95.0,28362042,3002217896.90,106252
18,25-May-2023,EQ,105.0,105.2,104.3,105.2,105.0,104.85,104.66,1097.00,95.0,25885062,2709050705.20,120182
19,24-May-2023,EQ,105.1,105.8,104.9,105.6,105.0,105.2,105.3,1097.00,95.0,28454367,2996344304.75,113015
20,23-May-2023,EQ,105.1,106.05,105.0,105.0,105.6,105.6,105.58,1097.00,95.0,21304034,2249349513.10,120258
21,22-May-2023,EQ,105.0,105.25,104.3,104.65,105.1,105.0,104.88,1097.00,95.0,21588716,2264331112.70,146640
22,19-May-2023,EQ,105.6,105.7,104.05,105.2,104.7,104.65,104.56,1209.00,95.0,29848841,3120908345.85,164196
23,18-May-2023,EQ,106.5,107.15,105.1,106.0,105.35,105.2,105.92,1209.00,95.0,24208481,2564275088.30,153094
24,17-May-2023,EQ,107.4,107.5,105.55,107.4,106.05,106.0,106.26,1209.00,95.0,28895465,3070486552.55,158469
25,16-May-2023,EQ,108.2,108.65,107.2,107.7,107.55,107.4,107.62,1209.00,95.0,18587658,2000332266.55,95237
26,15-May-2023,EQ,107.05,108.2,105.65,106.75,107.65,107.7,107.17,1209.00,95.0,22148028,2373507495.90,124207
27,12-May-2023,EQ,108.35,108.4,106.55,108.55,106.85,106.75,107.06,1274.20,95.0,36794838,3939190769.55,152385
28,11-May-2023,EQ,109.2,109.5,108.25,109.25,108.65,108.55,108.8,1274.20,95.0,19817637,2156137340.30,108331
29,10-May-2023,EQ,109.6,110.0,108.6,109.55,109.35,109.25,109.03,1274.20,95.0,19213215,2094912629.60,102095
30,09-May-2023,EQ,109.6,111.2,109.15,109.55,109.65,109.55,110.22,1274.20,95.0,27999202,3085964389.15,124913
31,08-May-2023,EQ,109.25,109.85,108.25,108.65,109.75,109.55,109.36,1274.20,95.0,23130472,2529484680.95,100999
32,05-May-2023,EQ,110.85,110.85,108.4,111.05,108.7,108.65,109.25,1330.00,95.0,32958346,3600677932.40,132104
33,04-May-2023,EQ,110.0,111.9,109.5,109.7,110.9,111.05,111.1,1330.00,95.0,38636907,4292397887.10,141966
34,03-May-2023,EQ,109.8,111.0,108.75,110.3,109.75,109.7,109.71,1330.00,95.0,51272624,5625037044.30,164302
35,02-May-2023,EQ,108.0,110.85,108.0,107.95,110.4,110.3,109.88,1330.00,95.0,52822162,5803926375.60,177776
36,28-Apr-2023,EQ,107.8,108.5,107.3,107.65,108.0,107.95,107.8,1330.00,95.0,30072920,3241848071.05,121074
37,27-Apr-2023,EQ,106.3,107.85,106.3,106.85,107.65,107.65,107.29,1330.00,95.0,22364308,2399360923.30,101664
38,26-Apr-2023,EQ,106.5,107.05,105.85,107.05,106.9,106.85,106.61,1330.00,95.0,23590297,2514895123.15,102154
39,25-Apr-2023,EQ,106.7,107.6,106.25,106.5,106.95,107.05,107.17,1330.00,95.0,23333425,2500546363.50,117726
40,24-Apr-2023,EQ,106.4,106.7,105.35,106.15,106.7,106.5,106.21,1330.00,95.0,23475012,2493311630.90,104865
41,21-Apr-2023,EQ,108.0,108.1,105.35,108.0,106.1,106.15,106.06,1366.65,95.0,37638506,3991843098.75,155242
42,20-Apr-2023,EQ,108.2,108.7,107.4,108.1,108.1,108.0,108.02,1366.65,95.0,18337948,1980844661.65,99645
43,19-Apr-2023,EQ,107.85,110.4,107.75,107.6,108.1,108.1,109.04,1366.65,95.0,62100775,6771763621.70,184789
44,18-Apr-2023,EQ,107.2,107.9,106.85,107.15,107.55,107.6,107.33,1366.65,95.0,25476339,2734457761.10,81880
45,17-Apr-2023,EQ,107.6,108.3,106.75,107.5,107.2,107.15,107.25,1366.65,95.0,24642162,2642835449.50,124418
46,13-Apr-2023,EQ,107.5,108.15,105.9,107.6,107.6,107.5,106.9,1384.00,95.0,34880922,3728837192.45,123611
47,12-Apr-2023,EQ,108.2,108.4,106.95,107.55,107.7,107.6,107.81,1384.00,95.0,27349538,2948517983.10,128731
48,11-Apr-2023,EQ,105.55,107.85,105.1,104.95,107.6,107.55,106.2,1384.00,95.0,49304956,5236110495.10,130047
49,10-Apr-2023,EQ,104.5,105.75,104.5,104.35,105.1,104.95,105.07,1384.00,95.0,19992257,2100642987.95,99915
50,06-Apr-2023,EQ,104.85,105.1,104.2,104.85,104.5,104.35,104.58,1386.70,95.0,21053782,2201800059.70,95727
51,05-Apr-2023,EQ,104.1,105.0,103.2,104.1,104.8,104.85,104.27,1386.70,95.0,25194802,2627043258.30,126999
52,03-Apr-2023,EQ,105.1,105.25,103.8,104.5,104.15,104.1,104.3,1386.70,95.0,21840428,2278058629.40,111674
53,31-Mar-2023,EQ,105.0,105.5,104.1,103.6,104.5,104.5,104.9,1386.70,95.0,34579415,3627314028.05,143838
54,29-Mar-2023,EQ,102.5,104.5,101.65,102.5,103.8,103.6,102.55,1386.70,95.0,37221124,3817072842.05,150605
55,28-Mar-2023,EQ,102.85,103.1,102.35,102.3,102.6,102.5,102.66,1386.70,95.0,18703734,1920212067.45,119164
56,27-Mar-2023,EQ,102.55,103.4,102.1,102.1,102.3,102.3,102.63,1386.70,95.0,24753289,2540528569.55,149006
57,24-Mar-2023,EQ,105.0,105.05,101.55,104.9,102.05,102.1,103.1,1386.70,95.0,39014278,4022377160.10,241782
58,23-Mar-2023,EQ,104.4,105.5,104.35,104.8,105.0,104.9,105.06,1386.70,95.0,20913844,2197143347.90,114789
59,22-Mar-2023,EQ,104.75,105.95,104.4,104.75,104.95,104.8,105.21,1386.70,95.0,25891259,2724080059.55,105023
60,21-Mar-2023,EQ,105.1,105.4,104.3,104.5,104.8,104.75,104.71,1386.70,95.0,26434897,2768091153.40,142994
61,20-Mar-2023,EQ,106.1,106.45,103.85,107.0,104.5,104.5,104.71,1386.70,95.0,41569640,4352603949.85,182679
62,17-Mar-2023,EQ,106.45,107.35,105.0,105.05,107.15,107.0,106.25,1386.70,95.0,48962238,5202472538.40,165069
63,16-Mar-2023,EQ,107.25,107.25,103.7,108.65,105.3,105.05,104.83,1386.70,95.0,81088340,8500165789.10,276188
64,15-Mar-2023,EQ,107.5,109.15,107.4,106.4,108.7,108.65,108.53,1386.70,95.0,38930902,4225315557.85,150243
65,14-Mar-2023,EQ,107.0,108.55,106.2,106.8,106.55,106.4,107.38,1386.70,95.0,48584984,5217199866.90,166949
66,13-Mar-2023,EQ,108.25,109.0,106.35,108.1,107.15,106.8,107.66,1386.70,95.0,34552596,3720063116.85,143686
67,10-Mar-2023,EQ,107.0,108.35,106.6,108.2,108.15,108.1,107.74,1386.70,95.0,47699832,5138944228.45,154176
68,09-Mar-2023,EQ,107.85,108.95,107.5,106.5,108.2,108.2,108.41,1386.70,95.0,51967449,5633985537.85,199963
69,08-Mar-2023,EQ,105.3,106.9,104.0,105.65,106.4,106.5,106.1,1386.70,95.0,43939583,4661890631.85,176234
70,06-Mar-2023,EQ,107.5,107.6,105.0,107.0,105.85,105.65,106.04,1386.70,95.0,106868143,11331946650.00,235575
71,03-Mar-2023,EQ,106.0,107.45,105.0,104.65,107.45,107.0,105.92,1386.70,95.0,117175295,12410956853.75,212882
