,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,3214.00,3232.50,3201.05,3210.40,3229.90,3227.70,3218.86,3575.00,2926.10,1528452,4919876426.10,72353
1,19-Jun-2023,EQ,3190.00,3214.90,3175.00,3174.90,3207.10,3210.40,3194.51,3575.00,2926.10,1468186,4690130908.90,88271
2,16-Jun-2023,EQ,3197.00,3199.40,3156.00,3216.30,3177.30,3174.90,3175.76,3575.00,2926.10,4156189,13199071871.50,214155
3,15-Jun-2023,EQ,3245.30,3247.45,3210.00,3251.05,3215.30,3216.30,3225.77,3575.00,2926.10,2273810,7334785641.40,104925
4,14-Jun-2023,EQ,3243.70,3255.85,3225.85,3243.70,3245.30,3251.05,3244.95,3575.00,2926.10,1658544,5381890991.70,92990
5,13-Jun-2023,EQ,3260.00,3265.00,3239.00,3246.90,3244.90,3243.70,3249.64,3575.00,2926.10,1371928,4458273417.90,90189
6,12-Jun-2023,EQ,3215.00,3254.40,3211.00,3209.30,3248.40,3246.90,3238.21,3575.00,2926.10,2324605,7527561262.20,99385
7,09-Jun-2023,EQ,3245.00,3250.00,3205.35,3236.45,3210.00,3209.30,3219.25,3575.00,2926.10,1775689,5716388482.00,119166
8,08-Jun-2023,EQ,3261.00,3270.00,3233.00,3274.90,3236.00,3236.45,3246.40,3575.00,2926.10,1759366,5711613268.75,105766
9,07-Jun-2023,EQ,3253.00,3278.85,3241.00,3232.30,3274.55,3274.90,3261.20,3575.00,2926.10,1567196,5110939240.45,82630
10,06-Jun-2023,EQ,3280.00,3288.85,3220.60,3288.90,3237.00,3232.30,3235.85,3575.00,2926.10,2022849,6545633590.60,158147
11,05-Jun-2023,EQ,3315.00,3327.00,3285.05,3305.60,3289.30,3288.90,3301.42,3575.00,2926.10,1861468,6145482702.90,94288
12,02-Jun-2023,EQ,3326.25,3335.90,3297.45,3324.00,3306.40,3305.60,3310.69,3575.00,2926.10,2030661,6722879743.50,132777
13,01-Jun-2023,EQ,3314.00,3340.00,3297.50,3289.50,3322.00,3324.00,3325.54,3575.00,2926.10,1177314,3915200315.10,107605
14,31-May-2023,EQ,3309.00,3327.70,3265.15,3316.20,3286.00,3289.50,3294.05,3575.00,2926.10,5815424,19156282297.40,171593
15,30-May-2023,EQ,3315.00,3326.95,3301.35,3320.35,3315.15,3316.20,3311.75,3575.00,2926.10,1344224,4451739910.30,105175
16,29-May-2023,EQ,3360.80,3372.00,3312.00,3328.90,3320.70,3320.35,3333.70,3575.00,2926.10,1210372,4035020143.50,89980
17,26-May-2023,EQ,3293.50,3338.65,3291.00,3293.50,3331.70,3328.90,3310.97,3575.00,2926.10,1791115,5930331787.45,103741
18,25-May-2023,EQ,3294.00,3306.00,3267.10,3303.35,3295.00,3293.50,3287.20,3575.00,2926.10,1374917,4519633216.35,76662
19,24-May-2023,EQ,3276.00,3317.20,3276.00,3297.05,3303.50,3303.35,3302.83,3575.00,2926.10,1016555,3357504888.10,57423
20,23-May-2023,EQ,3306.00,3327.95,3290.10,3298.70,3295.00,3297.05,3310.23,3575.00,2926.10,1687418,5585748304.90,140257
21,22-May-2023,EQ,3230.00,3308.45,3217.05,3222.85,3292.00,3298.70,3272.82,3575.00,2926.10,1333243,4363457756.40,116693
22,19-May-2023,EQ,3210.00,3234.50,3203.05,3199.85,3224.55,3222.85,3219.92,3575.00,2926.10,1152449,3710796199.45,74505
23,18-May-2023,EQ,3225.95,3228.95,3195.00,3208.70,3200.00,3199.85,3203.72,3575.00,2926.10,1369364,4387053720.55,96133
24,17-May-2023,EQ,3255.95,3280.00,3198.25,3258.15,3209.00,3208.70,3216.79,3575.00,2926.10,1588815,5110882505.40,132490
25,16-May-2023,EQ,3256.20,3285.00,3250.45,3255.05,3255.95,3258.15,3266.60,3575.00,2926.10,986306,3221871014.75,84131
26,15-May-2023,EQ,3284.00,3292.00,3248.35,3274.30,3251.50,3255.05,3272.51,3575.00,2926.10,1150390,3764661351.00,84958
27,12-May-2023,EQ,3279.15,3290.00,3260.00,3282.15,3277.00,3274.30,3274.10,3575.00,2926.10,1027479,3364070116.35,96840
28,11-May-2023,EQ,3309.00,3309.70,3272.00,3286.80,3281.05,3282.15,3293.20,3575.00,2926.10,1719623,5663054332.75,124781
29,10-May-2023,EQ,3290.00,3306.50,3266.05,3283.25,3280.00,3286.80,3286.72,3575.00,2926.10,1559987,5127237024.20,93564
30,09-May-2023,EQ,3252.60,3298.00,3246.00,3250.60,3292.00,3283.25,3267.91,3575.00,2926.10,1107375,3618799710.35,72883
31,08-May-2023,EQ,3245.00,3254.85,3231.30,3230.70,3250.00,3250.60,3245.43,3575.00,2926.10,928235,3012519753.35,75785
32,05-May-2023,EQ,3220.00,3244.00,3210.05,3220.70,3227.05,3230.70,3226.43,3575.00,2926.10,1710027,5517280324.15,97481
33,04-May-2023,EQ,3180.15,3224.45,3178.00,3179.90,3217.00,3220.70,3210.20,3575.00,2926.10,1953253,6270328109.65,105190
34,03-May-2023,EQ,3216.00,3216.00,3173.15,3219.40,3180.00,3179.90,3184.78,3575.00,2926.10,2468285,7860949808.85,138897
35,02-May-2023,EQ,3235.00,3235.00,3210.00,3219.25,3217.00,3219.40,3222.28,3575.00,2926.10,2321159,7479433934.75,134310
36,28-Apr-2023,EQ,3200.40,3227.25,3196.25,3187.95,3215.00,3219.25,3213.13,3623.25,2926.10,2931312,9418688035.60,174975
37,27-Apr-2023,EQ,3185.00,3199.20,3170.65,3198.15,3188.00,3187.95,3182.88,3623.25,2926.10,2434446,7748559406.65,113044
38,26-Apr-2023,EQ,3181.00,3208.40,3181.00,3176.00,3196.00,3198.15,3197.96,3623.25,2926.10,2000029,6396014873.50,112753
39,25-Apr-2023,EQ,3183.00,3191.20,3147.50,3174.80,3175.05,3176.00,3176.72,3623.25,2926.10,2024090,6429959859.00,88772
40,24-Apr-2023,EQ,3151.10,3180.95,3126.15,3160.85,3172.00,3174.80,3151.83,3623.25,2926.10,1640676,5171132958.30,97265
41,21-Apr-2023,EQ,3110.00,3164.45,3100.80,3104.80,3159.00,3160.85,3135.53,3644.00,2926.10,1929184,6049023043.65,98768
42,20-Apr-2023,EQ,3090.00,3113.00,3078.00,3089.60,3104.95,3104.80,3094.26,3644.00,2926.10,2419999,7488105309.45,121048
43,19-Apr-2023,EQ,3130.75,3140.00,3071.50,3130.75,3089.00,3089.60,3098.63,3644.00,2926.10,3298034,10219387105.80,171133
44,18-Apr-2023,EQ,3154.95,3156.85,3110.60,3139.50,3130.60,3130.75,3127.60,3644.00,2926.10,2617302,8185866833.90,132615
45,17-Apr-2023,EQ,3134.10,3163.40,3070.25,3188.85,3139.00,3139.50,3111.19,3644.00,2926.10,5505048,17127231513.30,254319
46,13-Apr-2023,EQ,3210.00,3230.00,3180.00,3241.65,3192.00,3188.85,3193.66,3739.00,2926.10,4174070,13330566471.80,192421
47,12-Apr-2023,EQ,3227.95,3260.95,3199.00,3213.80,3245.50,3241.65,3232.53,3739.00,2926.10,2417727,7815384018.70,121292
48,11-Apr-2023,EQ,3264.00,3272.95,3192.15,3263.40,3205.00,3213.80,3223.89,3739.00,2926.10,2348779,7572201705.65,118593
49,10-Apr-2023,EQ,3220.00,3272.00,3215.00,3220.70,3263.00,3263.40,3251.36,3739.00,2926.10,2203187,7163363204.95,102711
50,06-Apr-2023,EQ,3225.00,3257.35,3215.00,3239.80,3218.90,3220.70,3229.19,3835.60,2926.10,1703464,5500806837.65,76885
51,05-Apr-2023,EQ,3185.50,3264.35,3185.50,3200.00,3240.00,3239.80,3240.85,3835.60,2926.10,2655065,8604670873.15,132453
52,03-Apr-2023,EQ,3224.95,3224.95,3173.75,3205.90,3201.00,3200.00,3191.35,3835.60,2926.10,1521830,4856698008.65,142863
53,31-Mar-2023,EQ,3189.95,3213.00,3152.00,3138.90,3204.00,3205.90,3189.41,3835.60,2926.10,2382581,7599029056.20,124442
54,29-Mar-2023,EQ,3129.00,3150.00,3104.10,3115.90,3148.00,3138.90,3125.35,3835.60,2926.10,1740616,5440031709.60,113706
55,28-Mar-2023,EQ,3127.00,3149.55,3110.15,3122.30,3117.00,3115.90,3129.98,3835.60,2926.10,1303530,4080026205.95,75814
56,27-Mar-2023,EQ,3135.00,3152.75,3106.00,3120.50,3124.00,3122.30,3134.00,3835.60,2926.10,1524217,4776889691.90,87684
57,24-Mar-2023,EQ,3148.90,3170.00,3106.00,3124.65,3110.15,3120.50,3144.39,3835.60,2926.10,1329577,4180707274.55,99584
58,23-Mar-2023,EQ,3114.90,3146.35,3101.00,3130.80,3130.95,3124.65,3128.36,3835.60,2926.10,1372218,4292796106.40,94843
59,22-Mar-2023,EQ,3130.05,3143.50,3106.10,3106.10,3129.80,3130.80,3124.38,3835.60,2926.10,1123939,3511607192.25,85984
60,21-Mar-2023,EQ,3143.30,3156.75,3097.45,3143.30,3111.00,3106.10,3117.90,3835.60,2926.10,1815297,5659909677.90,116265
61,20-Mar-2023,EQ,3169.65,3169.65,3095.05,3179.30,3146.00,3143.30,3125.39,3835.60,2926.10,2289468,7155478256.10,186340
62,17-Mar-2023,EQ,3150.50,3221.40,3144.00,3185.00,3175.00,3179.30,3178.88,3835.60,2926.10,6739966,21425539933.40,285153
63,16-Mar-2023,EQ,3208.00,3219.80,3172.00,3198.90,3182.00,3185.00,3193.73,3835.60,2926.10,1901060,6071480261.75,170243
64,15-Mar-2023,EQ,3250.00,3260.35,3192.00,3214.95,3199.00,3198.90,3225.94,3835.60,2926.10,1780522,5743851297.00,165162
65,14-Mar-2023,EQ,3280.00,3304.40,3209.40,3281.95,3221.70,3214.95,3244.96,3835.60,2926.10,2670334,8665116216.45,151178
66,13-Mar-2023,EQ,3333.00,3369.80,3272.00,3331.00,3286.25,3281.95,3313.09,3835.60,2926.10,1901233,6298947595.45,120533
67,10-Mar-2023,EQ,3312.90,3337.25,3290.00,3336.85,3335.85,3331.00,3318.60,3835.60,2926.10,1024404,3399583381.80,99387
