,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,1093.60,1110.95,1088.20,1093.60,1108.50,1107.35,1104.87,1165.00,948.05,3318866,3666930050.85,74779
1,19-Jun-2023,EQ,1079.00,1095.80,1074.05,1077.20,1093.45,1093.60,1083.61,1165.00,948.05,2188899,2371911768.70,46535
2,16-Jun-2023,EQ,1083.50,1086.95,1071.45,1081.50,1079.00,1077.20,1077.70,1165.00,943.7,4392418,4733730623.70,70416
3,15-Jun-2023,EQ,1078.95,1083.50,1069.35,1077.60,1078.20,1081.50,1078.89,1165.00,943.7,1389325,1498926120.05,48845
4,14-Jun-2023,EQ,1080.00,1084.95,1071.05,1079.40,1078.00,1077.60,1077.86,1165.00,943.7,1321534,1424432042.90,44108
5,13-Jun-2023,EQ,1079.55,1087.90,1075.40,1074.75,1079.95,1079.40,1082.38,1165.00,943.7,1846534,1998659995.50,58787
6,12-Jun-2023,EQ,1066.00,1079.00,1062.15,1063.05,1075.00,1074.75,1074.81,1165.00,943.7,1767945,1900208886.55,46547
7,09-Jun-2023,EQ,1079.00,1079.00,1060.10,1071.30,1062.00,1063.05,1065.51,1165.00,943.7,2782697,2965003670.80,58346
8,08-Jun-2023,EQ,1101.00,1101.50,1069.00,1095.70,1073.40,1071.30,1079.17,1165.00,943.7,4054486,4375496081.50,81034
9,07-Jun-2023,EQ,1095.00,1099.00,1084.20,1086.25,1095.50,1095.70,1091.14,1165.00,943.7,2086377,2276523177.20,71588
10,06-Jun-2023,EQ,1100.00,1102.00,1071.55,1109.35,1089.00,1086.25,1083.32,1165.00,943.7,3284841,3558533798.85,116005
11,05-Jun-2023,EQ,1124.10,1134.55,1107.50,1123.10,1111.00,1109.35,1112.39,1165.00,943.7,1754521,1951717339.70,53064
