,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,2972.70,2986.35,2948.30,2968.60,2978.00,2974.00,2966.73,3024.40,1825.05,672298,1994524730.20,48830
1,19-Jun-2023,EQ,2967.00,3024.40,2963.35,2954.30,2971.00,2968.60,2991.42,3024.40,1825.05,1382633,4136032047.60,73859
2,16-Jun-2023,EQ,2911.80,2960.00,2911.80,2908.00,2959.00,2954.30,2941.55,2960.00,1825.05,1022389,3007405052.40,66580
3,15-Jun-2023,EQ,2911.05,2924.65,2900.00,2907.05,2906.15,2908.00,2911.59,2928.20,1825.05,564711,1644205347.45,53202
4,14-Jun-2023,EQ,2920.00,2928.20,2897.00,2912.50,2908.00,2907.05,2906.64,2928.20,1825.05,617700,1795429832.70,52853
5,13-Jun-2023,EQ,2859.90,2918.00,2855.10,2852.60,2908.50,2912.50,2905.13,2921.85,1825.05,776313,2255291379.65,62355
6,12-Jun-2023,EQ,2884.95,2885.45,2833.25,2876.25,2857.40,2852.60,2848.82,2921.85,1825.05,1112274,3168673942.25,72723
7,09-Jun-2023,EQ,2890.00,2919.95,2863.25,2877.00,2878.80,2876.25,2889.14,2921.85,1825.05,727880,2102950744.05,51540
8,08-Jun-2023,EQ,2906.90,2921.85,2871.05,2906.95,2874.50,2877.00,2897.10,2921.85,1825.05,560514,1623865253.65,53768
9,07-Jun-2023,EQ,2895.00,2910.00,2870.00,2881.45,2905.00,2906.95,2894.23,2910.00,1825.05,862821,2497200078.50,55818
10,06-Jun-2023,EQ,2860.95,2893.00,2858.30,2855.70,2883.00,2881.45,2878.11,2893.00,1825.05,1148132,3304449530.40,57854
11,05-Jun-2023,EQ,2875.00,2875.00,2840.00,2861.65,2853.80,2855.70,2854.64,2875.00,1825.05,724102,2067050145.90,51244
12,02-Jun-2023,EQ,2830.00,2871.00,2826.45,2827.25,2858.00,2861.65,2854.47,2871.00,1825.05,1116501,3187019130.85,93466
13,01-Jun-2023,EQ,2823.25,2837.65,2814.70,2823.25,2820.00,2827.25,2824.91,2841.90,1825.05,538550,1521355131.05,52732
14,31-May-2023,EQ,2802.50,2832.10,2790.10,2802.50,2819.00,2823.25,2816.22,2841.90,1825.05,1394580,3927448261.80,59853
15,30-May-2023,EQ,2829.50,2841.90,2797.70,2812.25,2802.00,2802.50,2816.60,2841.90,1825.05,1263691,3559316805.25,70847
16,29-May-2023,EQ,2745.00,2821.80,2745.00,2742.15,2813.95,2812.25,2788.87,2821.80,1825.05,1107678,3089168389.60,62993
17,26-May-2023,EQ,2707.95,2759.70,2699.15,2707.95,2740.25,2742.15,2737.12,2802.10,1825.05,811400,2220901707.30,56724
18,25-May-2023,EQ,2714.45,2720.00,2682.00,2707.25,2710.00,2707.95,2693.13,2802.10,1825.05,651488,1754543904.90,37505
19,24-May-2023,EQ,2675.00,2722.00,2670.00,2683.45,2710.00,2707.25,2705.62,2802.10,1825.05,814553,2203870111.90,43954
20,23-May-2023,EQ,2719.95,2726.40,2677.30,2712.55,2692.00,2683.45,2694.59,2802.10,1825.05,713749,1923263401.30,47750
21,22-May-2023,EQ,2701.60,2734.00,2701.10,2701.65,2715.00,2712.55,2719.35,2802.10,1825.05,559506,1521493258.50,36971
22,19-May-2023,EQ,2719.95,2719.95,2683.05,2721.85,2703.00,2701.65,2700.82,2802.10,1825.05,846419,2286023055.80,49857
23,18-May-2023,EQ,2782.00,2782.00,2716.10,2762.40,2722.00,2721.85,2736.39,2802.10,1825.05,612441,1675875969.55,34062
24,17-May-2023,EQ,2785.00,2790.00,2750.05,2790.25,2765.00,2762.40,2764.87,2802.10,1825.05,539547,1491776880.55,50158
25,16-May-2023,EQ,2785.00,2800.80,2774.55,2779.55,2788.40,2790.25,2791.89,2802.10,1825.05,548885,1532428058.20,50533
26,15-May-2023,EQ,2774.00,2802.10,2764.25,2773.20,2773.00,2779.55,2784.69,2802.10,1825.05,772914,2152327874.30,70305
27,12-May-2023,EQ,2760.80,2784.50,2756.85,2757.85,2771.95,2773.20,2773.48,2791.00,1825.05,705516,1956733168.60,57873
28,11-May-2023,EQ,2758.00,2765.00,2744.05,2745.45,2760.80,2757.85,2752.30,2791.00,1825.05,621067,1709360738.65,49812
29,10-May-2023,EQ,2760.00,2767.70,2736.20,2748.40,2746.00,2745.45,2745.98,2791.00,1825.05,522149,1433810694.75,40547
30,09-May-2023,EQ,2753.30,2790.00,2738.45,2751.25,2746.00,2748.40,2761.70,2791.00,1825.05,893686,2468096877.35,76043
