,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,8268.00,8291.40,8171.30,8268.60,8230.60,8243.45,8207.94,8432.15,5161.80,343189,2816875135.80,31484
1,19-Jun-2023,EQ,8358.00,8415.60,8252.90,8333.25,8260.00,8268.60,8315.28,8432.15,5161.80,187488,1559014959.90,23541
2,16-Jun-2023,EQ,8364.95,8432.15,8305.85,8333.20,8328.00,8333.25,8347.22,8432.15,5157.05,356982,2979808738.55,45896
3,15-Jun-2023,EQ,8380.00,8428.00,8309.00,8358.30,8331.10,8333.20,8370.41,8428.00,5157.05,406197,3400034548.40,46924
4,14-Jun-2023,EQ,8308.95,8366.95,8276.75,8276.30,8362.35,8358.30,8324.33,8366.95,5157.05,289643,2411083670.70,46957
5,13-Jun-2023,EQ,8212.50,8318.30,8211.75,8198.60,8280.00,8276.30,8271.02,8318.30,5157.05,249199,2061129674.40,33629
6,12-Jun-2023,EQ,8160.50,8205.00,8102.35,8153.25,8185.20,8198.60,8173.58,8217.70,5157.05,195134,1594943003.30,39762
7,09-Jun-2023,EQ,8158.00,8217.70,8108.20,8100.15,8170.00,8153.25,8159.11,8217.70,5157.05,325814,2658351125.55,38780
8,08-Jun-2023,EQ,8170.00,8213.95,8086.00,8157.60,8104.00,8100.15,8143.47,8213.95,5157.05,349085,2842763054.55,40115
9,07-Jun-2023,EQ,8135.10,8171.90,8082.55,8109.55,8152.40,8157.60,8131.37,8171.90,5157.05,298650,2428434239.30,36848
10,06-Jun-2023,EQ,7888.00,8120.00,7888.00,7882.00,8115.00,8109.55,8047.21,8120.00,5157.05,635244,5111938769.15,73615
11,05-Jun-2023,EQ,7897.00,7925.00,7865.00,7850.65,7865.50,7882.00,7889.65,7970.00,5157.05,186015,1467593338.35,24602
12,02-Jun-2023,EQ,7861.00,7947.45,7826.45,7842.80,7841.00,7850.65,7882.71,7970.00,5157.05,248325,1957475195.90,24294
