,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,685.0,685.1,678.7,685.6,685.0,683.45,681.64,807.0,607.5,1537058,1047723249.85,40704
1,19-Jun-2023,EQ,694.95,696.0,681.5,690.85,685.65,685.6,685.52,807.0,607.5,1510117,1035210108.25,38501
2,16-Jun-2023,EQ,681.3,695.8,681.1,680.8,692.0,690.85,691.03,807.0,607.5,3397721,2347919793.30,48749
3,15-Jun-2023,EQ,682.75,688.0,676.65,682.75,680.3,680.8,680.75,807.0,607.5,1890165,1286731359.90,44817
4,14-Jun-2023,EQ,682.0,689.45,678.65,682.25,682.95,682.75,683.19,807.0,607.5,4009140,2739015463.90,60273
5,13-Jun-2023,EQ,676.1,684.0,676.1,678.95,683.0,682.25,681.52,807.0,607.5,2175343,1482540074.40,39504
6,12-Jun-2023,EQ,680.25,682.55,674.2,680.25,679.8,678.95,678.8,807.0,607.5,2017017,1369151642.40,51513
7,09-Jun-2023,EQ,692.0,692.4,677.8,690.05,679.0,680.25,685.94,807.0,607.5,1411515,968219830.65,47369
8,08-Jun-2023,EQ,695.0,698.9,689.05,693.95,690.2,690.05,693.38,807.0,607.5,1312986,910394847.55,26462
9,07-Jun-2023,EQ,697.0,697.75,692.8,694.0,695.0,693.95,695.05,807.0,607.5,1147072,797266715.80,27779
10,06-Jun-2023,EQ,691.0,696.95,690.4,690.0,694.05,694.0,694.24,807.0,607.5,1618425,1123576688.00,42329
11,05-Jun-2023,EQ,689.0,691.5,684.65,683.35,690.0,690.0,688.67,807.0,607.5,1227013,845007504.30,23808
12,02-Jun-2023,EQ,679.0,684.5,678.9,677.95,683.8,683.35,682.38,807.0,607.5,1168519,797379188.85,30594
13,01-Jun-2023,EQ,685.0,685.1,676.5,685.1,678.4,677.95,679.19,807.0,607.5,2470088,1677652206.25,52454
14,31-May-2023,EQ,684.25,691.05,682.0,689.05,683.0,685.1,686.15,807.0,607.5,3370272,2312526330.35,45835
15,30-May-2023,EQ,691.0,694.0,684.1,690.0,689.0,689.05,687.9,807.0,607.5,900153,619218013.60,26814
16,29-May-2023,EQ,690.0,691.5,686.25,688.1,690.1,690.0,689.56,807.0,607.5,1116759,770069506.70,25355
17,26-May-2023,EQ,676.0,688.95,676.0,675.8,687.2,688.1,684.43,815.35,607.5,2131442,1458820674.50,48716
18,25-May-2023,EQ,682.5,685.45,674.15,682.25,676.45,675.8,677.6,815.35,607.5,2210598,1497892217.40,34438
19,24-May-2023,EQ,680.65,684.8,674.0,680.65,682.3,682.25,681.72,815.35,607.5,1920527,1309265468.45,29981
20,23-May-2023,EQ,670.45,681.75,670.45,670.4,680.7,680.65,678.03,815.35,607.5,2087867,1415628048.00,36177
21,22-May-2023,EQ,668.0,672.05,661.95,668.0,671.2,670.4,666.27,815.35,607.5,2116815,1410371700.85,36171
22,19-May-2023,EQ,674.0,676.0,657.05,673.35,667.9,668.0,664.76,828.0,607.5,4632213,3079330555.15,88570
23,18-May-2023,EQ,679.0,681.8,672.15,677.8,673.0,673.35,675.73,828.0,607.5,1408554,951807549.80,31296
24,17-May-2023,EQ,673.25,683.45,672.15,672.85,679.0,677.8,677.14,828.0,607.5,2527136,1711212833.30,56772
25,16-May-2023,EQ,677.0,677.85,671.0,675.95,674.0,672.85,673.66,828.0,607.5,1866298,1257252549.30,42526
26,15-May-2023,EQ,679.4,680.95,675.0,678.2,676.7,675.95,677.84,828.0,607.5,2432818,1649055724.10,45096
27,12-May-2023,EQ,685.05,685.8,673.0,682.9,678.25,678.2,677.25,828.0,607.5,1805619,1222862204.40,56996
28,11-May-2023,EQ,682.2,687.45,680.35,679.7,684.6,682.9,684.18,828.0,607.5,2228828,1524924279.25,70351
29,10-May-2023,EQ,695.8,695.8,677.3,694.4,680.5,679.7,682.06,828.0,607.5,5803203,3958142157.00,119722
30,09-May-2023,EQ,710.0,710.0,692.65,715.4,693.75,694.4,698.33,828.0,607.5,8030712,5608051108.20,152020
31,08-May-2023,EQ,718.7,725.0,700.45,714.85,718.35,715.4,715.29,828.0,607.5,6201290,4435737845.50,99513
32,05-May-2023,EQ,735.1,735.1,709.65,731.5,717.0,714.85,720.15,848.0,607.5,3930399,2830479979.90,57503
33,04-May-2023,EQ,740.25,742.75,728.15,739.8,731.65,731.5,734.24,848.0,607.5,1655943,1215861761.95,34087
34,03-May-2023,EQ,751.5,755.8,738.55,752.5,739.5,739.8,744.05,848.0,607.5,1031469,767463033.95,27944
35,02-May-2023,EQ,744.3,759.95,743.55,740.3,752.0,752.5,753.71,848.0,607.5,2225369,1677288491.45,44926
36,28-Apr-2023,EQ,733.0,741.9,730.8,727.2,739.2,740.3,736.45,848.0,607.5,2374556,1748736761.30,50315
37,27-Apr-2023,EQ,716.3,730.75,716.3,715.35,728.1,727.2,725.51,848.0,607.5,2470510,1792375909.55,53958
38,26-Apr-2023,EQ,714.7,716.8,707.5,714.65,715.5,715.35,712.23,848.0,607.5,3621655,2579464594.35,53593
39,25-Apr-2023,EQ,719.9,721.2,705.3,729.85,715.55,714.65,714.8,848.0,607.5,3407713,2435833067.85,77754
40,24-Apr-2023,EQ,735.0,739.2,723.25,734.7,729.7,729.85,728.47,848.0,607.5,1049786,764740930.05,39806
41,21-Apr-2023,EQ,732.5,743.9,731.0,732.05,735.0,734.7,736.71,848.0,607.5,1829162,1347564434.45,47665
42,20-Apr-2023,EQ,738.4,739.0,730.65,735.95,730.65,732.05,734.0,848.0,607.5,1084257,795841202.95,39343
43,19-Apr-2023,EQ,741.9,741.9,731.5,738.65,736.6,735.95,736.62,848.0,607.5,1012743,746008737.35,42883
44,18-Apr-2023,EQ,737.15,743.1,735.25,737.15,740.25,738.65,739.21,848.0,607.5,1280463,946528291.60,39088
45,17-Apr-2023,EQ,742.95,744.5,732.0,737.0,737.1,737.15,737.44,848.0,607.5,1043080,769211125.10,51033
46,13-Apr-2023,EQ,739.9,744.1,734.0,739.9,740.0,737.0,737.19,848.0,607.5,994060,732809955.95,34888
47,12-Apr-2023,EQ,746.0,747.7,736.0,742.55,738.5,739.9,740.31,848.0,607.5,1347769,997760375.00,48482
48,11-Apr-2023,EQ,742.0,744.0,737.7,737.75,740.55,742.55,740.99,848.0,607.5,731229,541835990.00,21352
49,10-Apr-2023,EQ,729.95,739.0,727.3,726.15,735.3,737.75,735.42,848.0,607.5,883124,649464370.45,35207
