,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,381.8,384.95,380.6,380.15,383.35,382.5,382.82,444.9,352.0,5901329,2259166985.10,93420
1,19-Jun-2023,EQ,382.0,382.0,377.1,381.3,380.2,380.15,379.58,444.9,352.0,5314720,2017347500.55,91249
2,16-Jun-2023,EQ,385.55,388.65,379.15,388.95,380.4,381.3,382.64,453.7,352.0,20555324,7865200135.80,204749
3,15-Jun-2023,EQ,397.1,397.45,388.25,396.45,388.8,388.95,391.44,453.7,352.0,14351160,5617591712.45,165386
4,14-Jun-2023,EQ,396.3,397.15,392.7,395.55,397.1,396.45,395.06,453.7,352.0,9256282,3656777068.15,107916
5,13-Jun-2023,EQ,397.95,398.5,394.5,395.6,395.25,395.55,395.73,453.7,352.0,6508093,2575439247.45,91010
6,12-Jun-2023,EQ,399.8,399.8,394.6,397.3,395.65,395.6,397.06,453.7,352.0,5986811,2377135110.15,95232
7,09-Jun-2023,EQ,399.45,400.35,396.05,399.55,397.25,397.3,397.52,476.15,352.0,6009116,2388760106.00,101103
8,08-Jun-2023,EQ,404.1,404.75,398.75,402.8,399.95,399.55,400.27,476.15,352.0,5307526,2124432474.40,83358
9,07-Jun-2023,EQ,402.4,403.6,401.0,399.95,403.6,402.8,402.52,476.15,352.0,4107930,1653524386.75,64560
10,06-Jun-2023,EQ,403.35,403.35,395.55,404.2,400.0,399.95,398.98,476.15,352.0,6853700,2734492969.80,86185
11,05-Jun-2023,EQ,408.9,409.75,403.7,404.95,404.55,404.2,405.51,476.15,352.0,3626430,1470554210.75,65499
12,02-Jun-2023,EQ,408.7,409.8,404.0,407.15,405.35,404.95,406.53,488.0,352.0,3160377,1284773695.60,67783
13,01-Jun-2023,EQ,405.0,408.0,404.05,403.65,407.4,407.15,406.86,488.0,352.0,3532742,1437320552.70,59327
14,31-May-2023,EQ,401.75,404.8,400.5,402.5,403.9,403.65,403.43,488.0,352.0,5891791,2376934523.20,61934
15,30-May-2023,EQ,400.0,403.85,399.45,399.8,403.0,402.5,402.23,488.0,352.0,3689486,1484010896.85,76385
16,29-May-2023,EQ,404.0,406.0,399.35,401.7,400.0,399.8,401.85,488.0,352.0,3979654,1599237603.15,82196
17,26-May-2023,EQ,395.15,402.55,395.0,394.1,401.05,401.7,399.88,488.0,352.0,3963090,1584753034.70,65343
18,25-May-2023,EQ,399.0,399.0,392.65,399.7,395.0,394.1,395.45,488.0,352.0,6802527,2690075398.45,79994
19,24-May-2023,EQ,394.5,400.45,393.35,397.65,399.5,399.7,398.36,488.0,352.0,4128487,1644642807.90,56094
20,23-May-2023,EQ,397.0,402.1,396.05,395.75,397.2,397.65,399.3,488.0,352.0,6362817,2540697150.80,105221
21,22-May-2023,EQ,386.5,396.6,385.4,386.2,396.0,395.75,392.6,488.0,352.0,6098695,2394346544.80,94635
22,19-May-2023,EQ,384.8,388.2,383.5,382.6,385.9,386.2,386.09,495.25,352.0,3640791,1405689204.00,54093
23,18-May-2023,EQ,385.2,385.35,382.25,382.3,382.7,382.6,383.53,495.25,352.0,2118508,812517380.75,45499
